#: table_doi: 10.17182/hepdata.91127.v1/t16
#: name: Expected Upper Limits
#: description: Upper limits on expected wino-bino simplified model signal cross section $\sigma_\text{exp}^\text{95}$.
#: data_file: Expected_Upper_Limits.yaml
#: keyword reaction: P P --> CHARGINO NEUTRALINO
#: keyword observables: CLS
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | Electroweak | Proton-Proton Scattering
#: cmenergies [GeV],13000
#: reaction,P P --> CHARGINO NEUTRALINO
#$m\left(\widetilde{\chi}^{\pm}_{1}/\widetilde{\chi}^{0}_{2}\right)$ [GeV],$m\left(\widetilde{\chi}^{0}_{1}\right)$ [GeV],$\sigma_\text{exp}^\text{95}$ [pb]
100.0,20.0,19.31
100.0,30.0,32.41
100.0,40.0,43.08
100.0,60.0,103.28
110.0,20.0,7.81
110.0,30.0,17.73
110.0,40.0,27.63
110.0,50.0,39.27
110.0,70.0,272.28
125.0,35.0,3.91
125.0,45.0,13.43
125.0,55.0,20.57
125.0,65.0,34.02
125.0,85.0,247.03
140.0,50.0,2.84
140.0,60.0,10.99
140.0,70.0,19.34
140.0,80.0,27.81
140.0,100.0,228.14
150.0,1.0,0.88
150.0,50.0,1.81
150.0,60.0,2.38
150.0,70.0,8.53
150.0,80.0,17.33
150.0,90.0,34.82
150.0,110.0,78.83
200.0,1.0,0.39
200.0,50.0,0.43
200.0,100.0,1.01
200.0,110.0,1.08
200.0,120.0,3.86
200.0,130.0,17.66
200.0,140.0,20.77
200.0,160.0,71.02
250.0,1.0,0.26
250.0,50.0,0.28
250.0,100.0,0.32
250.0,150.0,0.73
250.0,170.0,3.42
250.0,190.0,21.58
300.0,100.0,0.22
300.0,150.0,0.29
300.0,200.0,0.61
300.0,220.0,2.37
300.0,240.0,22.38
350.0,0.0,0.16
350.0,50.0,0.17
350.0,100.0,0.18
350.0,150.0,0.2
350.0,200.0,0.28
350.0,250.0,0.52
350.0,270.0,1.82
350.0,290.0,18.14
400.0,0.0,0.14
400.0,100.0,0.16
400.0,200.0,0.2
400.0,300.0,0.47
450.0,50.0,0.12
450.0,150.0,0.13
450.0,250.0,0.2
500.0,0.0,0.12
500.0,50.0,0.11
500.0,100.0,0.12
500.0,150.0,0.13
500.0,200.0,0.13
500.0,300.0,0.17

