#: table_doi: 10.17182/hepdata.90835.v1/t73
#: name: T1tttt significance
#: description: The observed significance of the SMS models for T1tttt as function of the gluino and LSP masses. 
#: data_file: t1tttt_significance.yaml
#: keyword observables: SIGNIF
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> GLUINO GLUINO | GLUINO --> TQ TQBAR NEUTRALINO1
#: Significance,
M(GLUINO) [GeV],M(NEUTRALINO1) [GeV],Significance [s.d.]
608.01,5.9969,0.877
608.01,15.991,0.88324
608.01,25.984,0.88949
608.01,35.978,0.89574
608.01,45.972,0.90199
608.01,55.966,0.90824
608.01,65.959,0.91449
608.01,75.953,0.92074
608.01,85.947,0.92698
608.01,95.941,0.93264
608.01,105.93,0.93134
608.01,115.93,0.92594
608.01,125.92,0.92054
608.01,135.92,0.91514
608.01,145.91,0.90974
608.01,155.9,0.90434
608.01,165.9,0.89893
608.01,175.89,0.89353
608.01,185.88,0.88813
608.01,195.88,0.89695
608.01,205.87,0.91342
608.01,215.87,0.91956
608.01,225.86,0.90676
608.01,235.85,0.89367
608.01,245.85,0.88059
608.01,255.84,0.8675
608.01,265.83,0.85442
608.01,275.83,0.84134
608.01,285.82,0.82825
608.01,295.82,0.81517
608.01,305.81,0.7931
608.01,315.8,0.66592
608.01,325.8,0.51091
608.01,335.79,0.35589
608.01,345.78,0.20088
608.01,355.78,0.023921
608.01,365.77,-0.16906
608.01,375.77,-0.35305
608.01,385.76,0.0
608.01,395.75,0.0
608.01,405.75,0.0
608.01,415.74,0.0
608.01,425.73,0.0
608.01,435.73,0.0
608.01,445.72,0.0
608.01,455.72,0.0
608.01,465.71,0.0
608.01,475.7,0.0
608.01,485.7,0.0
608.01,495.69,0.0
608.01,505.68,0.0
608.01,515.68,0.0
608.01,525.67,0.0
608.01,535.67,0.0
608.01,545.66,0.0
608.01,555.65,0.0
608.01,565.65,0.0
608.01,575.64,0.0
608.01,585.63,0.0
608.01,595.63,0.0
608.01,605.62,0.0
608.01,615.62,0.0
608.01,625.61,0.0
608.01,635.6,0.0
608.01,645.6,0.0
608.01,655.59,0.0
608.01,665.58,0.0
608.01,675.58,0.0
608.01,685.57,0.0
608.01,695.57,0.0
608.01,705.56,0.0
608.01,715.55,0.0
608.01,725.55,0.0
608.01,735.54,0.0
608.01,745.53,0.0
608.01,755.53,0.0
608.01,765.52,0.0
608.01,775.52,0.0
608.01,785.51,0.0
608.01,795.5,0.0
608.01,805.5,0.0
608.01,815.49,0.0
608.01,825.48,0.0
608.01,835.48,0.0
608.01,845.47,0.0
608.01,855.47,0.0
608.01,865.46,0.0
608.01,875.45,0.0
608.01,885.45,0.0
608.01,895.44,0.0
608.01,905.43,0.0
608.01,915.43,0.0
608.01,925.42,0.0
608.01,935.42,0.0
608.01,945.41,0.0
608.01,955.4,0.0
608.01,965.4,0.0
608.01,975.39,0.0
608.01,985.38,0.0
608.01,995.38,0.0
608.01,1005.4,0.0
608.01,1015.4,0.0
608.01,1025.4,0.0
608.01,1035.4,0.0
608.01,1045.3,0.0
608.01,1055.3,0.0
608.01,1065.3,0.0
608.01,1075.3,0.0
608.01,1085.3,0.0
608.01,1095.3,0.0
608.01,1105.3,0.0
608.01,1115.3,0.0
608.01,1125.3,0.0
608.01,1135.3,0.0
608.01,1145.3,0.0
608.01,1155.3,0.0
608.01,1165.3,0.0
608.01,1175.3,0.0
608.01,1185.3,0.0
608.01,1195.3,0.0
608.01,1205.2,0.0
608.01,1215.2,0.0
608.01,1225.2,0.0
608.01,1235.2,0.0
608.01,1245.2,0.0
608.01,1255.2,0.0
608.01,1265.2,0.0
608.01,1275.2,0.0
608.01,1285.2,0.0
608.01,1295.2,0.0
608.01,1305.2,0.0
608.01,1315.2,0.0
608.01,1325.2,0.0
608.01,1335.2,0.0
608.01,1345.2,0.0
608.01,1355.2,0.0
608.01,1365.1,0.0
608.01,1375.1,0.0
608.01,1385.1,0.0
608.01,1395.1,0.0
608.01,1405.1,0.0
608.01,1415.1,0.0
608.01,1425.1,0.0
608.01,1435.1,0.0
608.01,1445.1,0.0
608.01,1455.1,0.0
608.01,1465.1,0.0
608.01,1475.1,0.0
608.01,1485.1,0.0
608.01,1495.1,0.0
608.01,1505.1,0.0
608.01,1515.1,0.0
608.01,1525.0,0.0
608.01,1535.0,0.0
608.01,1545.0,0.0
608.01,1555.0,0.0
608.01,1565.0,0.0
608.01,1575.0,0.0
608.01,1585.0,0.0
608.01,1595.0,0.0
624.02,5.9969,0.81572
624.02,15.991,0.82197
624.02,25.984,0.82821
624.02,35.978,0.83446
624.02,45.972,0.84071
624.02,55.966,0.84696
624.02,65.959,0.85321
624.02,75.953,0.85946
624.02,85.947,0.86421
624.02,95.941,0.86892
624.02,105.93,0.86763
624.02,115.93,0.86222
624.02,125.92,0.85682
624.02,135.92,0.85142
624.02,145.91,0.84602
624.02,155.9,0.84062
624.02,165.9,0.83522
624.02,175.89,0.82981
624.02,185.88,0.86068
624.02,195.88,0.89186
624.02,205.87,0.90832
624.02,215.87,0.91446
624.02,225.86,0.9206
624.02,235.85,0.92673
624.02,245.85,0.93287
624.02,255.84,0.92402
624.02,265.83,0.91093
624.02,275.83,0.89785
624.02,285.82,0.88476
624.02,295.82,0.87168
624.02,305.81,0.84962
624.02,315.8,0.82109
624.02,325.8,0.77012
624.02,335.79,0.61511
624.02,345.78,0.4601
624.02,355.78,0.28313
624.02,365.77,0.095399
624.02,375.77,-0.07876
624.02,385.76,-0.25292
624.02,395.75,-0.46115
624.02,405.75,0.0
624.02,415.74,0.0
