#: table_doi: 10.17182/hepdata.90835.v1/t56
#: name: T2bb observed - 1 s.d.(theory) mass limit curve
#: description: Exclusion limits assuming the approximate-NNLO+NNLL cross sections
#: data_file: t2bb_observed_-_1_s.d.(theory)_mass_limit_curve.yaml
#: keyword observables: CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SBOTTOM SBOTTOM | SBOTTOM --> BQ NEUTRALINO1
#: LUMINOSITY [fb$^{-1}$],137
#: Limit boundary,Observed - 1 s.d.(theory)
M(SBOTTOM) [GeV],M(NEUTRALINO1) [GeV]
409.62,384.7
409.62,384.7
542.36,517.07
587.17,561.29
612.69,585.51
617.45,589.44
625.0,595.18
629.2,597.96
650.0,610.07
664.35,618.02
668.18,620.29
675.0,623.99
696.35,636.08
700.0,637.89
717.47,646.56
725.0,647.99
728.33,648.21
736.26,646.06
742.58,642.58
750.0,638.31
767.33,627.31
771.41,625.96
779.77,621.84
800.0,617.13
810.73,614.64
850.0,608.72
859.77,607.25
900.0,609.98
938.11,611.89
950.0,613.72
988.42,611.58
1000.0,609.49
1048.0,602.04
1050.0,602.32
1051.8,601.81
1056.1,600.0
1100.0,558.61
1104.4,550.0
1121.0,520.96
1130.7,500.0
1134.5,484.51
1148.2,450.0
1148.3,448.33
1150.0,441.67
1157.3,400.0
1161.7,376.53
1176.2,300.0
1179.9,259.7
1187.6,200.0
1188.7,177.38
1191.3,1.0
1191.7,100.0
1191.7,100.0

