#: table_doi: 10.17182/hepdata.90835.v1/t34
#: name: T1qqqq observed + 1 s.d.(theory) mass limit curve
#: description: Exclusion limits assuming the approximate-NNLO+NNLL cross sections
#: data_file: t1qqqq_observed_+_1_s.d.(theory)_mass_limit_curve.yaml
#: keyword observables: CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> GLUINO GLUINO | GLUINO --> Q QBAR NEUTRALINO1
#: LUMINOSITY [fb$^{-1}$],137
#: Limit boundary,Observed + 1 s.d.(theory)
M(GLUINO) [GeV],M(NEUTRALINO1) [GeV]
839.97,816.01
1120.4,1092.5
1195.5,1166.5
1212.1,1177.5
1224.0,1186.0
1250.0,1195.5
1283.8,1200.9
1300.0,1202.1
1347.8,1199.6
1350.0,1194.6
1355.6,1196.4
1400.0,1165.7
1425.4,1148.2
1450.0,1131.5
1486.7,1107.4
1500.0,1102.4
1515.7,1094.9
1550.0,1087.0
1555.2,1084.6
1600.0,1072.9
1641.8,1059.1
1650.0,1055.9
1665.8,1049.4
1700.0,1034.2
1726.7,1022.0
1750.0,1011.3
1769.5,1002.4
1820.0,950.0
1830.8,930.76
1850.0,902.89
1851.3,900.0
1864.8,864.77
1890.0,809.95
1895.3,800.0
1900.0,791.33
1909.8,780.32
1950.0,736.42
1973.1,700.0
1983.4,666.77
2000.0,621.24
2003.4,606.82
2005.1,600.0
2011.0,578.09
2026.4,500.0
2031.5,436.97
2036.2,400.0
2038.5,377.04
2047.7,300.0
2046.8,206.42
2047.2,200.0
2050.0,135.46
2051.7,103.46
2051.4,100.0
2051.3,97.344
2050.0,68.24
2046.5,7.8818
2046.5,1.0
2046.5,1.0

