#: table_doi: 10.17182/hepdata.90835.v1/t47
#: name: T2tt observed mass limit curve
#: description: Exclusion limits assuming the approximate-NNLO+NNLL cross sections
#: data_file: t2tt_observed_mass_limit_curve.yaml
#: keyword observables: CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> STOP STOP | STOP --> TQ NEUTRALINO1
#: LUMINOSITY [fb$^{-1}$],137
#: Limit boundary,Observed
M(STOP) [GeV],M(NEUTRALINO1) [GeV]
0.0,-86.9
501.48,413.73
504.02,414.19
504.1,415.64
519.46,422.54
525.0,425.04
525.61,425.52
525.44,425.8
532.91,431.51
550.0,444.45
555.97,448.7
564.26,454.7
575.0,461.97
585.22,468.7
592.69,473.9
594.21,474.81
600.0,478.46
615.59,488.11
625.0,494.21
630.74,498.22
632.05,499.0
650.0,512.61
664.0,522.99
672.12,527.99
675.0,530.19
689.11,537.22
700.0,542.09
717.73,549.4
725.0,551.0
728.33,552.4
750.0,555.69
768.33,558.1
775.0,558.75
785.93,559.9
800.0,561.18
813.66,562.48
825.0,563.62
839.19,565.04
850.0,566.22
864.33,567.69
883.49,569.63
900.0,571.24
923.72,573.72
950.0,576.48
976.56,579.26
1000.0,576.78
1031.6,568.42
1050.0,558.92
1062.3,550.0
1078.0,522.02
1089.4,500.0
1100.0,476.34
1109.1,459.1
1110.8,450.0
1121.8,428.19
1133.4,400.0
1136.4,386.41
1136.9,350.0
1139.2,339.21
1150.0,319.93
1156.1,306.11
1157.6,300.0
1158.3,291.66
1163.9,250.0
1164.9,235.06
1162.5,200.0
1171.0,170.96
1174.6,150.0
1175.8,124.22
1176.4,100.0
1179.9,70.063
1182.3,50.0
1181.9,18.714
1180.3,1.0
1180.3,1.0

