#: table_doi: 10.17182/hepdata.90835.v1/t48
#: name: T2tt observed + 1 s.d.(theory) mass limit curve
#: description: Exclusion limits assuming the approximate-NNLO+NNLL cross sections
#: data_file: t2tt_observed_+_1_s.d.(theory)_mass_limit_curve.yaml
#: keyword observables: CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> STOP STOP | STOP --> TQ NEUTRALINO1
#: LUMINOSITY [fb$^{-1}$],137
#: Limit boundary,Observed + 1 s.d.(theory)
M(STOP) [GeV],M(NEUTRALINO1) [GeV]
345.76,258.87
490.77,402.69
509.22,420.98
512.34,422.87
512.41,423.59
525.0,432.06
529.74,435.49
550.0,448.92
550.94,449.44
561.41,456.41
575.0,465.32
582.76,470.43
588.41,474.25
590.82,475.95
600.0,482.19
613.73,491.67
625.0,499.56
625.48,499.95
625.59,499.96
650.0,517.77
657.39,523.08
670.37,532.12
675.0,535.4
684.25,541.63
698.07,550.35
700.0,551.0
710.42,556.14
725.0,560.63
738.3,563.68
750.0,565.5
759.77,566.62
775.0,567.7
779.32,567.91
800.0,569.93
806.22,570.67
825.0,573.23
832.18,574.54
838.25,575.88
839.87,575.88
871.6,576.64
850.0,576.68
875.82,577.05
873.96,578.46
900.0,583.86
909.97,585.83
950.0,594.51
954.67,595.37
983.27,600.62
1000.0,601.26
1001.7,601.74
1003.6,600.0
1050.0,576.7
1087.6,550.0
1100.0,528.2
1111.7,511.66
1121.0,500.0
1131.2,481.24
1137.2,450.0
1150.0,425.06
1159.8,400.0
1163.2,386.78
1163.7,350.0
1175.1,325.06
1181.3,300.0
1184.4,265.63
1186.5,250.0
1189.3,210.68
1188.6,200.0
1191.2,191.19
1198.5,150.0
1200.0,116.62
1200.7,100.0
1200.7,99.314
1205.4,50.0
1206.4,43.735
1205.8,1.0
1205.8,1.0

