#: table_doi: 10.17182/hepdata.90835.v1/t65
#: name: T2qq expected + 1 s.d. mass limit curve
#: description: Exclusion limits assuming the approximate-NNLO+NNLL cross sections (u d s c)
#: data_file: t2qq_expected_+_1_s.d._mass_limit_curve.yaml
#: keyword observables: CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SQUARK SQUARK | SQUARK --> Q NEUTRALINO1
#: LUMINOSITY [fb$^{-1}$],137
#: Limit boundary,Expected + 1 s.d.
M(SQUARK) [GeV],M(NEUTRALINO1) [GeV]
586.99,561.99
910.2,885.16
922.01,896.97
926.56,900.26
927.87,901.88
939.91,909.68
950.0,915.52
971.03,927.38
988.99,937.52
1003.7,950.0
1009.6,940.44
1026.8,900.0
1050.0,867.08
1054.4,854.45
1090.7,850.0
1100.0,848.37
1101.7,848.25
1150.0,834.4
1165.4,834.55
1200.0,843.24
1207.3,842.7
1250.0,831.07
1273.5,826.5
1300.0,823.81
1332.4,817.61
1350.0,813.8
1397.8,800.0
1400.0,799.01
1402.3,797.75
1450.0,773.44
1461.9,761.88
1500.0,724.69
1527.0,700.0
1550.0,674.44
1574.0,652.07
1600.0,627.46
1620.2,600.0
1633.6,567.25
1650.0,544.76
1673.4,500.0
1700.0,402.84
1700.8,400.0
1701.5,396.99
1726.8,300.0
1732.2,264.44
1742.6,200.0
1748.3,103.35
1748.5,100.0
1750.0,60.252
1751.8,1.0
1751.8,1.0

