#: table_doi: 10.17182/hepdata.90835.v1/t51
#: name: T2tt expected + 1 s.d. mass limit curve
#: description: Exclusion limits assuming the approximate-NNLO+NNLL cross sections
#: data_file: t2tt_expected_+_1_s.d._mass_limit_curve.yaml
#: keyword observables: CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> STOP STOP | STOP --> TQ NEUTRALINO1
#: LUMINOSITY [fb$^{-1}$],137
#: Limit boundary,Expected + 1 s.d.
M(STOP) [GeV],M(NEUTRALINO1) [GeV]
353.99,267.0
522.91,435.87
557.35,470.29
564.42,476.35
575.61,486.92
575.74,484.46
575.85,486.92
600.0,487.37
612.47,489.57
625.0,491.62
638.55,495.55
645.02,498.26
650.0,500.4
659.1,504.72
675.0,512.55
698.4,524.34
699.63,524.87
700.0,524.61
700.79,524.74
701.94,524.05
710.96,521.83
725.0,520.66
732.49,520.39
750.0,522.27
751.2,522.76
767.86,526.89
774.01,531.52
775.0,530.08
799.37,549.03
799.79,547.58
800.0,549.45
808.37,549.11
825.0,549.11
847.0,548.57
850.0,548.83
854.1,548.86
864.15,549.72
894.83,552.35
900.0,555.88
929.51,550.0
950.0,542.12
958.47,541.53
1000.0,539.57
1036.1,536.14
1050.0,533.03
1097.5,502.53
1100.0,500.99
1100.6,500.56
1101.3,500.0
1124.1,474.07
1150.0,452.13
1151.0,451.0
1151.9,450.0
1156.0,444.0
1187.4,400.0
1200.0,374.49
1210.4,350.0
1215.8,334.21
1226.9,300.0
1234.8,265.19
1237.5,250.0
1241.7,208.33
1242.5,200.0
1250.0,156.97
1250.8,150.0
1252.7,102.7
1253.0,100.0
1254.0,53.955
1254.0,50.0
1254.1,45.958
1259.3,1.0
1259.3,1.0

