#: table_doi: 10.17182/hepdata.90835.v1/t32
#: name: T1qqqq cross section upper limits
#: description: The 95% CL expected upper limits on the production cross sections of the T1qqqq signal model as a function of the gluino and LSP masses.
#: data_file: t1qqqq_cross_section_upper_limits.yaml
#: keyword observables: SIG | CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> GLUINO GLUINO | GLUINO --> Q QBAR NEUTRALINO1
#: Upper Limit,Expected
#: LUMINOSITY [fb$^{-1}$],137
M(GLUINO) [GeV],M(NEUTRALINO1) [GeV],Cross section upper limit at 95% CL [pb]
622.27,790.27,0.0
622.27,802.14,0.0
622.27,814.01,0.0
622.27,825.88,0.0
622.27,837.75,0.0
622.27,849.62,0.0
622.27,861.48,0.0
622.27,873.35,0.0
622.27,885.22,0.0
622.27,897.09,0.0
622.27,908.96,0.0
622.27,920.83,0.0
622.27,932.7,0.0
622.27,944.57,0.0
622.27,956.43,0.0
622.27,968.3,0.0
622.27,980.17,0.0
622.27,992.04,0.0
622.27,1003.9,0.0
622.27,1015.8,0.0
622.27,1027.6,0.0
622.27,1039.5,0.0
622.27,1051.4,0.0
622.27,1063.3,0.0
622.27,1075.1,0.0
622.27,1087.0,0.0
622.27,1098.9,0.0
622.27,1110.7,0.0
622.27,1122.6,0.0
622.27,1134.5,0.0
622.27,1146.3,0.0
622.27,1158.2,0.0
622.27,1170.1,0.0
622.27,1181.9,0.0
622.27,1193.8,0.0
622.27,1205.7,0.0
622.27,1217.5,0.0
622.27,1229.4,0.0
622.27,1241.3,0.0
622.27,1253.2,0.0
622.27,1265.0,0.0
622.27,1276.9,0.0
622.27,1288.8,0.0
622.27,1300.6,0.0
622.27,1312.5,0.0
622.27,1324.4,0.0
622.27,1336.2,0.0
622.27,1348.1,0.0
622.27,1360.0,0.0
622.27,1371.8,0.0
622.27,1383.7,0.0
622.27,1395.6,0.0
622.27,1407.4,0.0
622.27,1419.3,0.0
622.27,1431.2,0.0
622.27,1443.1,0.0
622.27,1454.9,0.0
622.27,1466.8,0.0
622.27,1478.7,0.0
622.27,1490.5,0.0
622.27,1502.4,0.0
622.27,1514.3,0.0
622.27,1526.1,0.0
622.27,1538.0,0.0
622.27,1549.9,0.0
622.27,1561.7,0.0
622.27,1573.6,0.0
622.27,1585.5,0.0
622.27,1597.3,0.0
622.27,1609.2,0.0
622.27,1621.1,0.0
622.27,1633.0,0.0
622.27,1644.8,0.0
622.27,1656.7,0.0
622.27,1668.6,0.0
622.27,1680.4,0.0
622.27,1692.3,0.0
622.27,1704.2,0.0
622.27,1716.0,0.0
622.27,1727.9,0.0
622.27,1739.8,0.0
622.27,1751.6,0.0
622.27,1763.5,0.0
622.27,1775.4,0.0
622.27,1787.2,0.0
622.27,1799.1,0.0
622.27,1811.0,0.0
622.27,1822.9,0.0
622.27,1834.7,0.0
622.27,1846.6,0.0
622.27,1858.5,0.0
622.27,1870.3,0.0
622.27,1882.2,0.0
622.27,1894.1,0.0
637.11,6.9344,0.032901
637.11,18.803,0.032901
637.11,30.672,0.032901
637.11,42.541,0.032901
637.11,54.409,0.032901
637.11,66.278,0.032901
637.11,78.147,0.032901
637.11,90.016,0.032901
637.11,101.88,0.033213
637.11,113.75,0.035177
637.11,125.62,0.037142
637.11,137.49,0.039107
637.11,149.36,0.041071
637.11,161.23,0.043036
637.11,173.1,0.045
637.11,184.97,0.046965
637.11,196.83,0.04893
637.11,208.7,0.050894
637.11,220.57,0.052859
637.11,232.44,0.054142
637.11,244.31,0.054894
637.11,256.18,0.055645
637.11,268.05,0.056396
637.11,279.92,0.057147
637.11,291.78,0.057898
637.11,303.65,0.059034
637.11,315.52,0.061037
637.11,327.39,0.06304
637.11,339.26,0.065392
637.11,351.13,0.069321
637.11,363.0,0.07325
637.11,374.87,0.077179
637.11,386.73,0.081108
637.11,398.6,0.085038
637.11,410.47,0.088893
637.11,422.34,0.092738
637.11,434.21,0.096583
637.11,446.08,0.10043
637.11,457.95,0.10427
637.11,469.82,0.10812
637.11,481.68,0.11449
637.11,493.55,0.12235
637.11,505.42,0.13619
637.11,517.29,0.15234
637.11,529.16,0.16034
637.11,541.03,0.16833
637.11,552.9,0.18781
637.11,564.77,0.21659
637.11,576.63,0.23418
637.11,588.5,0.25178
637.11,600.37,0.28866
637.11,612.24,0.33884
637.11,624.11,0.0
637.11,635.98,0.0
637.11,647.85,0.0
637.11,659.72,0.0
637.11,671.58,0.0
637.11,683.45,0.0
637.11,695.32,0.0
637.11,707.19,0.0
637.11,719.06,0.0
637.11,730.93,0.0
637.11,742.8,0.0
637.11,754.67,0.0
637.11,766.53,0.0
637.11,778.4,0.0
637.11,790.27,0.0
637.11,802.14,0.0
637.11,814.01,0.0
637.11,825.88,0.0
637.11,837.75,0.0
637.11,849.62,0.0
637.11,861.48,0.0
637.11,873.35,0.0
637.11,885.22,0.0
637.11,897.09,0.0
637.11,908.96,0.0
637.11,920.83,0.0
637.11,932.7,0.0
637.11,944.57,0.0
637.11,956.43,0.0
637.11,968.3,0.0
637.11,980.17,0.0
637.11,992.04,0.0
637.11,1003.9,0.0
637.11,1015.8,0.0
637.11,1027.6,0.0
637.11,1039.5,0.0
637.11,1051.4,0.0
637.11,1063.3,0.0
637.11,1075.1,0.0
637.11,1087.0,0.0
637.11,1098.9,0.0
637.11,1110.7,0.0
637.11,1122.6,0.0
637.11,1134.5,0.0
637.11,1146.3,0.0
637.11,1158.2,0.0
637.11,1170.1,0.0
637.11,1181.9,0.0
637.11,1193.8,0.0
637.11,1205.7,0.0
637.11,1217.5,0.0
637.11,1229.4,0.0
637.11,1241.3,0.0
637.11,1253.2,0.0
637.11,1265.0,0.0
637.11,1276.9,0.0
637.11,1288.8,0.0
637.11,1300.6,0.0
637.11,1312.5,0.0
637.11,1324.4,0.0
637.11,1336.2,0.0
637.11,1348.1,0.0
637.11,1360.0,0.0
637.11,1371.8,0.0
637.11,1383.7,0.0
637.11,1395.6,0.0
637.11,1407.4,0.0
637.11,1419.3,0.0
637.11,1431.2,0.0
637.11,1443.1,0.0
637.11,1454.9,0.0
637.11,1466.8,0.0
637.11,1478.7,0.0
637.11,1490.5,0.0
637.11,1502.4,0.0
637.11,1514.3,0.0
637.11,1526.1,0.0
637.11,1538.0,0.0
637.11,1549.9,0.0
637.11,1561.7,0.0
637.11,1573.6,0.0
637.11,1585.5,0.0
637.11,1597.3,0.0
637.11,1609.2,0.0
637.11,1621.1,0.0
637.11,1633.0,0.0
637.11,1644.8,0.0
637.11,1656.7,0.0
637.11,1668.6,0.0
637.11,1680.4,0.0
637.11,1692.3,0.0
637.11,1704.2,0.0
637.11,1716.0,0.0
637.11,1727.9,0.0
637.11,1739.8,0.0
637.11,1751.6,0.0
637.11,1763.5,0.0
637.11,1775.4,0.0
637.11,1787.2,0.0
637.11,1799.1,0.0
637.11,1811.0,0.0
637.11,1822.9,0.0
637.11,1834.7,0.0
637.11,1846.6,0.0
637.11,1858.5,0.0
637.11,1870.3,0.0
637.11,1882.2,0.0
637.11,1894.1,0.0
651.95,6.9344,0.030612
651.95,18.803,0.030612
651.95,30.672,0.030612
651.95,42.541,0.030612
651.95,54.409,0.030612
651.95,66.278,0.030612
651.95,78.147,0.030612
651.95,90.016,0.030612
651.95,101.88,0.030924
651.95,113.75,0.032888
651.95,125.62,0.034853
651.95,137.49,0.036818
651.95,149.36,0.038782
651.95,161.23,0.040747
651.95,173.1,0.042711
651.95,184.97,0.044676
651.95,196.83,0.046565
651.95,208.7,0.047316
651.95,220.57,0.048067
651.95,232.44,0.048818
651.95,244.31,0.049569
651.95,256.18,0.05032
651.95,268.05,0.051071
651.95,279.92,0.051822
651.95,291.78,0.052573
651.95,303.65,0.05371
651.95,315.52,0.055713
651.95,327.39,0.057716
651.95,339.26,0.059718
651.95,351.13,0.061721
651.95,363.0,0.065517
651.95,374.87,0.069446
651.95,386.73,0.073375
651.95,398.6,0.077304
651.95,410.47,0.081159
651.95,422.34,0.085004
651.95,434.21,0.08885
651.95,446.08,0.092695
651.95,457.95,0.09654
651.95,469.82,0.10039
651.95,481.68,0.10423
651.95,493.55,0.10808
651.95,505.42,0.11288
651.95,517.29,0.12088
651.95,529.16,0.12888
651.95,541.03,0.13688
651.95,552.9,0.14564
651.95,564.77,0.16323
651.95,576.63,0.18083
651.95,588.5,0.19842
651.95,600.37,0.21707
651.95,612.24,0.26825
651.95,624.11,0.31918
651.95,635.98,0.0
651.95,647.85,0.0
651.95,659.72,0.0
651.95,671.58,0.0
651.95,683.45,0.0
651.95,695.32,0.0
651.95,707.19,0.0
651.95,719.06,0.0
651.95,730.93,0.0
651.95,742.8,0.0
651.95,754.67,0.0
651.95,766.53,0.0
651.95,778.4,0.0
651.95,790.27,0.0
651.95,802.14,0.0
651.95,814.01,0.0
651.95,825.88,0.0
651.95,837.75,0.0
651.95,849.62,0.0
651.95,861.48,0.0
651.95,873.35,0.0
651.95,885.22,0.0
651.95,897.09,0.0
651.95,908.96,0.0
651.95,920.83,0.0
651.95,932.7,0.0
651.95,944.57,0.0
651.95,956.43,0.0
651.95,968.3,0.0
651.95,980.17,0.0
651.95,992.04,0.0
651.95,1003.9,0.0
651.95,1015.8,0.0
651.95,1027.6,0.0
651.95,1039.5,0.0
651.95,1051.4,0.0
651.95,1063.3,0.0
651.95,1075.1,0.0
651.95,1087.0,0.0
651.95,1098.9,0.0
651.95,1110.7,0.0
651.95,1122.6,0.0
651.95,1134.5,0.0
651.95,1146.3,0.0
651.95,1158.2,0.0
651.95,1170.1,0.0
651.95,1181.9,0.0
651.95,1193.8,0.0
651.95,1205.7,0.0
651.95,1217.5,0.0
651.95,1229.4,0.0
651.95,1241.3,0.0
651.95,1253.2,0.0
651.95,1265.0,0.0
651.95,1276.9,0.0
651.95,1288.8,0.0
651.95,1300.6,0.0
651.95,1312.5,0.0
651.95,1324.4,0.0
651.95,1336.2,0.0
651.95,1348.1,0.0
651.95,1360.0,0.0
651.95,1371.8,0.0
651.95,1383.7,0.0
651.95,1395.6,0.0
651.95,1407.4,0.0
651.95,1419.3,0.0
651.95,1431.2,0.0
651.95,1443.1,0.0
651.95,1454.9,0.0
651.95,1466.8,0.0
651.95,1478.7,0.0
651.95,1490.5,0.0
651.95,1502.4,0.0
651.95,1514.3,0.0
651.95,1526.1,0.0
651.95,1538.0,0.0
651.95,1549.9,0.0
651.95,1561.7,0.0
651.95,1573.6,0.0
651.95,1585.5,0.0
651.95,1597.3,0.0
651.95,1609.2,0.0
651.95,1621.1,0.0
651.95,1633.0,0.0
651.95,1644.8,0.0
651.95,1656.7,0.0
651.95,1668.6,0.0
651.95,1680.4,0.0
651.95,1692.3,0.0
651.95,1704.2,0.0
651.95,1716.0,0.0
651.95,1727.9,0.0
651.95,1739.8,0.0
651.95,1751.6,0.0
651.95,1763.5,0.0
651.95,1775.4,0.0
651.95,1787.2,0.0
651.95,1799.1,0.0
651.95,1811.0,0.0
651.95,1822.9,0.0
651.95,1834.7,0.0
651.95,1846.6,0.0
651.95,1858.5,0.0
651.95,1870.3,0.0
651.95,1882.2,0.0
651.95,1894.1,0.0
666.8,6.9344,0.028323
666.8,18.803,0.028323
666.8,30.672,0.028323
666.8,42.541,0.028323
666.8,54.409,0.028323
666.8,66.278,0.028323
666.8,78.147,0.028323
666.8,90.016,0.028323
666.8,101.88,0.028635
666.8,113.75,0.0306
666.8,125.62,0.032564
666.8,137.49,0.034529
666.8,149.36,0.036493
666.8,161.23,0.038458
666.8,173.1,0.039738
666.8,184.97,0.04049
666.8,196.83,0.041241
666.8,208.7,0.041992
666.8,220.57,0.042743
666.8,232.44,0.043494
666.8,244.31,0.044245
666.8,256.18,0.044996
666.8,268.05,0.045747
666.8,279.92,0.046498
666.8,291.78,0.047249
666.8,303.65,0.048386
666.8,315.52,0.050388
666.8,327.39,0.052391
666.8,339.26,0.054394
666.8,351.13,0.056397
666.8,363.0,0.0584
666.8,374.87,0.061712
666.8,386.73,0.065641
666.8,398.6,0.069571
666.8,410.47,0.073426
666.8,422.34,0.077271
666.8,434.21,0.081116
666.8,446.08,0.084961
666.8,457.95,0.088806
666.8,469.82,0.09241
666.8,481.68,0.095414
666.8,493.55,0.098419
666.8,505.42,0.10188
666.8,517.29,0.10605
666.8,529.16,0.11405
666.8,541.03,0.12205
666.8,552.9,0.13005
666.8,564.77,0.13806
666.8,576.63,0.15401
666.8,588.5,0.17161
666.8,600.37,0.19026
666.8,612.24,0.24144
666.8,624.11,0.27038
666.8,635.98,0.29119
666.8,647.85,0.0
666.8,659.72,0.0
666.8,671.58,0.0
666.8,683.45,0.0
666.8,695.32,0.0
666.8,707.19,0.0
666.8,719.06,0.0
666.8,730.93,0.0
666.8,742.8,0.0
666.8,754.67,0.0
666.8,766.53,0.0
666.8,778.4,0.0
666.8,790.27,0.0
666.8,802.14,0.0
666.8,814.01,0.0
666.8,825.88,0.0
666.8,837.75,0.0
666.8,849.62,0.0
666.8,861.48,0.0
666.8,873.35,0.0
666.8,885.22,0.0
666.8,897.09,0.0
666.8,908.96,0.0
666.8,920.83,0.0
666.8,932.7,0.0
666.8,944.57,0.0
666.8,956.43,0.0
666.8,968.3,0.0
666.8,980.17,0.0
666.8,992.04,0.0
666.8,1003.9,0.0
666.8,1015.8,0.0
666.8,1027.6,0.0
666.8,1039.5,0.0
666.8,1051.4,0.0
666.8,1063.3,0.0
666.8,1075.1,0.0
666.8,1087.0,0.0
666.8,1098.9,0.0
666.8,1110.7,0.0
666.8,1122.6,0.0
666.8,1134.5,0.0
666.8,1146.3,0.0
666.8,1158.2,0.0
666.8,1170.1,0.0
666.8,1181.9,0.0
666.8,1193.8,0.0
666.8,1205.7,0.0
666.8,1217.5,0.0
666.8,1229.4,0.0
666.8,1241.3,0.0
666.8,1253.2,0.0
666.8,1265.0,0.0
666.8,1276.9,0.0
666.8,1288.8,0.0
666.8,1300.6,0.0
666.8,1312.5,0.0
666.8,1324.4,0.0
666.8,1336.2,0.0
666.8,1348.1,0.0
666.8,1360.0,0.0
666.8,1371.8,0.0
666.8,1383.7,0.0
666.8,1395.6,0.0
666.8,1407.4,0.0
666.8,1419.3,0.0
666.8,1431.2,0.0
666.8,1443.1,0.0
666.8,1454.9,0.0
666.8,1466.8,0.0
666.8,1478.7,0.0
666.8,1490.5,0.0
666.8,1502.4,0.0
666.8,1514.3,0.0
666.8,1526.1,0.0
666.8,1538.0,0.0
666.8,1549.9,0.0
666.8,1561.7,0.0
666.8,1573.6,0.0
666.8,1585.5,0.0
666.8,1597.3,0.0
666.8,1609.2,0.0
666.8,1621.1,0.0
666.8,1633.0,0.0
666.8,1644.8,0.0
666.8,1656.7,0.0
666.8,1668.6,0.0
666.8,1680.4,0.0
666.8,1692.3,0.0
666.8,1704.2,0.0
666.8,1716.0,0.0
666.8,1727.9,0.0
666.8,1739.8,0.0
666.8,1751.6,0.0
666.8,1763.5,0.0
666.8,1775.4,0.0
666.8,1787.2,0.0
666.8,1799.1,0.0
666.8,1811.0,0.0
666.8,1822.9,0.0
666.8,1834.7,0.0
666.8,1846.6,0.0
666.8,1858.5,0.0
666.8,1870.3,0.0
666.8,1882.2,0.0
666.8,1894.1,0.0
681.64,6.9344,0.026034
681.64,18.803,0.026034
681.64,30.672,0.026034
681.64,42.541,0.026034
681.64,54.409,0.026034
681.64,66.278,0.026034
681.64,78.147,0.026034
681.64,90.016,0.026034
681.64,101.88,0.026346
681.64,113.75,0.028311
681.64,125.62,0.030275
681.64,137.49,0.032161
681.64,149.36,0.032912
681.64,161.23,0.033663
681.64,173.1,0.034414
681.64,184.97,0.035165
681.64,196.83,0.035916
681.64,208.7,0.036667
681.64,220.57,0.037418
681.64,232.44,0.038169
681.64,244.31,0.038921
681.64,256.18,0.039672
681.64,268.05,0.040423
681.64,279.92,0.041174
681.64,291.78,0.041925
681.64,303.65,0.043061
681.64,315.52,0.045064
681.64,327.39,0.047067
681.64,339.26,0.04907
681.64,351.13,0.051073
681.64,363.0,0.053075
681.64,374.87,0.055078
681.64,386.73,0.057908
681.64,398.6,0.061837
681.64,410.47,0.065692
681.64,422.34,0.069537
681.64,434.21,0.073383
681.64,446.08,0.076565
681.64,457.95,0.079569
681.64,469.82,0.082573
681.64,481.68,0.085577
681.64,493.55,0.088582
681.64,505.42,0.092043
681.64,517.29,0.096049
681.64,529.16,0.10005
681.64,541.03,0.10722
681.64,552.9,0.11522
681.64,564.77,0.12323
681.64,576.63,0.13124
681.64,588.5,0.14479
681.64,600.37,0.16344
681.64,612.24,0.20556
681.64,624.11,0.22158
681.64,635.98,0.2376
681.64,647.85,0.26667
681.64,659.72,0.0
681.64,671.58,0.0
681.64,683.45,0.0
681.64,695.32,0.0
681.64,707.19,0.0
681.64,719.06,0.0
681.64,730.93,0.0
681.64,742.8,0.0
681.64,754.67,0.0
681.64,766.53,0.0
681.64,778.4,0.0
681.64,790.27,0.0
681.64,802.14,0.0
681.64,814.01,0.0
681.64,825.88,0.0
681.64,837.75,0.0
681.64,849.62,0.0
681.64,861.48,0.0
681.64,873.35,0.0
681.64,885.22,0.0
681.64,897.09,0.0
681.64,908.96,0.0
681.64,920.83,0.0
681.64,932.7,0.0
681.64,944.57,0.0
681.64,956.43,0.0
681.64,968.3,0.0
681.64,980.17,0.0
681.64,992.04,0.0
681.64,1003.9,0.0
681.64,1015.8,0.0
681.64,1027.6,0.0
681.64,1039.5,0.0
681.64,1051.4,0.0
681.64,1063.3,0.0
681.64,1075.1,0.0
681.64,1087.0,0.0
681.64,1098.9,0.0
681.64,1110.7,0.0
681.64,1122.6,0.0
681.64,1134.5,0.0
681.64,1146.3,0.0
681.64,1158.2,0.0
681.64,1170.1,0.0
681.64,1181.9,0.0
681.64,1193.8,0.0
681.64,1205.7,0.0
681.64,1217.5,0.0
681.64,1229.4,0.0
681.64,1241.3,0.0
681.64,1253.2,0.0
681.64,1265.0,0.0
681.64,1276.9,0.0
681.64,1288.8,0.0
681.64,1300.6,0.0
681.64,1312.5,0.0
681.64,1324.4,0.0
681.64,1336.2,0.0
681.64,1348.1,0.0
681.64,1360.0,0.0
681.64,1371.8,0.0
681.64,1383.7,0.0
681.64,1395.6,0.0
681.64,1407.4,0.0
681.64,1419.3,0.0
681.64,1431.2,0.0
681.64,1443.1,0.0
681.64,1454.9,0.0
681.64,1466.8,0.0
681.64,1478.7,0.0
681.64,1490.5,0.0
681.64,1502.4,0.0
681.64,1514.3,0.0
681.64,1526.1,0.0
681.64,1538.0,0.0
681.64,1549.9,0.0
681.64,1561.7,0.0
681.64,1573.6,0.0
681.64,1585.5,0.0
681.64,1597.3,0.0
681.64,1609.2,0.0
681.64,1621.1,0.0
681.64,1633.0,0.0
681.64,1644.8,0.0
681.64,1656.7,0.0
681.64,1668.6,0.0
681.64,1680.4,0.0
681.64,1692.3,0.0
681.64,1704.2,0.0
681.64,1716.0,0.0
681.64,1727.9,0.0
681.64,1739.8,0.0
681.64,1751.6,0.0
681.64,1763.5,0.0
681.64,1775.4,0.0
681.64,1787.2,0.0
681.64,1799.1,0.0
