#: table_doi: 10.17182/hepdata.90835.v1/t80
#: name: T1tttt efficiency
#: description: The efficiency times acceptance of the SMS models for T1tttt as function of the gluino and LSP masses. The efficiency times acceptance is given for the total signal across the set of 174 search regions.
#: data_file: t1tttt_efficiency.yaml
#: keyword observables: EFF
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> GLUINO GLUINO | GLUINO --> TQ TQBAR NEUTRALINO1
#: Efficiency,
M(GLUINO) [GeV],M(NEUTRALINO1) [GeV],Efficiency $\times$ Acceptance
607.24,5.9969,0.0145
607.24,15.991,0.014264
607.24,25.984,0.014028
607.24,35.978,0.013792
607.24,45.972,0.013556
607.24,55.966,0.01332
607.24,65.959,0.013084
607.24,75.953,0.012848
607.24,85.947,0.012612
607.24,95.941,0.012411
607.24,105.93,0.011941
607.24,115.93,0.011234
607.24,125.92,0.010527
607.24,135.92,0.0098201
607.24,145.91,0.0091131
607.24,155.9,0.0084062
607.24,165.9,0.0076992
607.24,175.89,0.0069923
607.24,185.88,0.0062853
607.24,195.88,0.0054088
607.24,205.87,0.0042504
607.24,215.87,0.0033159
607.24,225.86,0.0033629
607.24,235.85,0.0034099
607.24,245.85,0.0034568
607.24,255.84,0.0035038
607.24,265.83,0.0035508
607.24,275.83,0.0035978
607.24,285.82,0.0036447
607.24,295.82,0.0036917
607.24,305.81,0.0040272
607.24,315.8,0.0043995
607.24,325.8,0.0047434
607.24,335.79,0.0050872
607.24,345.78,0.0054311
607.24,355.78,0.005792
607.24,365.77,0.0061652
607.24,375.77,0.0065504
607.24,385.76,0.0
607.24,395.75,0.0
607.24,405.75,0.0
607.24,415.74,0.0
607.24,425.73,0.0
607.24,435.73,0.0
607.24,445.72,0.0
607.24,455.72,0.0
607.24,465.71,0.0
607.24,475.7,0.0
607.24,485.7,0.0
607.24,495.69,0.0
607.24,505.68,0.0
607.24,515.68,0.0
607.24,525.67,0.0
607.24,535.67,0.0
607.24,545.66,0.0
607.24,555.65,0.0
607.24,565.65,0.0
607.24,575.64,0.0
607.24,585.63,0.0
607.24,595.63,0.0
607.24,605.62,0.0
607.24,615.62,0.0
607.24,625.61,0.0
607.24,635.6,0.0
607.24,645.6,0.0
607.24,655.59,0.0
607.24,665.58,0.0
607.24,675.58,0.0
607.24,685.57,0.0
607.24,695.57,0.0
607.24,705.56,0.0
607.24,715.55,0.0
607.24,725.55,0.0
607.24,735.54,0.0
607.24,745.53,0.0
607.24,755.53,0.0
607.24,765.52,0.0
607.24,775.52,0.0
607.24,785.51,0.0
