#: table_doi: 10.17182/hepdata.90835.v1/t85
#: name: T2bb efficiency
#: description: The efficiency times acceptance of the SMS models for T2bb as function of the bottom squark and LSP masses. The efficiency times acceptance is given for the total signal across the set of 174 search regions.
#: data_file: t2bb_efficiency.yaml
#: keyword observables: EFF
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SBOTTOM SBOTTOM | SBOTTOM --> BQ NEUTRALINO1
#: Efficiency,
M(SBOTTOM) [GeV],M(NEUTRALINO1) [GeV],Efficiency $\times$ Acceptance
307.57,7.5594,0.066679
307.57,20.678,0.064107
307.57,33.797,0.061536
307.57,46.916,0.058965
307.57,60.034,0.056393
307.57,73.153,0.053822
307.57,86.272,0.051251
307.57,99.391,0.047653
307.57,112.51,0.044896
307.57,125.63,0.042225
307.57,138.75,0.039554
307.57,151.87,0.036883
307.57,164.98,0.034212
307.57,178.1,0.031541
307.57,191.22,0.02887
307.57,204.34,0.020677
307.57,217.46,0.018737
307.57,230.58,0.018374
307.57,243.7,0.01801
307.57,256.82,0.018259
307.57,269.93,0.018903
307.57,283.05,0.0
307.57,296.17,0.0
307.57,309.29,0.0
307.57,322.41,0.0
307.57,335.53,0.0
307.57,348.65,0.0
307.57,361.77,0.0
307.57,374.88,0.0
307.57,388.0,0.0
307.57,401.12,0.0
307.57,414.24,0.0
307.57,427.36,0.0
307.57,440.48,0.0
307.57,453.6,0.0
307.57,466.72,0.0
307.57,479.83,0.0
307.57,492.95,0.0
307.57,506.07,0.0
307.57,519.19,0.0
307.57,532.31,0.0
307.57,545.43,0.0
307.57,558.55,0.0
307.57,571.67,0.0
307.57,584.78,0.0
307.57,597.9,0.0
307.57,611.02,0.0
307.57,624.14,0.0
307.57,637.26,0.0
307.57,650.38,0.0
307.57,663.5,0.0
307.57,676.62,0.0
307.57,689.73,0.0
307.57,702.85,0.0
307.57,715.97,0.0
307.57,729.09,0.0
307.57,742.21,0.0
307.57,755.33,0.0
307.57,768.45,0.0
307.57,781.57,0.0
307.57,794.68,0.0
307.57,807.8,0.0
307.57,820.92,0.0
307.57,834.04,0.0
307.57,847.16,0.0
307.57,860.28,0.0
307.57,873.4,0.0
307.57,886.52,0.0
307.57,899.63,0.0
307.57,912.75,0.0
307.57,925.87,0.0
307.57,938.99,0.0
307.57,952.11,0.0
307.57,965.23,0.0
307.57,978.35,0.0
307.57,991.47,0.0
307.57,1004.6,0.0
307.57,1017.7,0.0
307.57,1030.8,0.0
307.57,1043.9,0.0
307.57,1057.1,0.0
307.57,1070.2,0.0
307.57,1083.3,0.0
307.57,1096.4,0.0
307.57,1109.5,0.0
307.57,1122.7,0.0
307.57,1135.8,0.0
307.57,1148.9,0.0
307.57,1162.0,0.0
307.57,1175.1,0.0
307.57,1188.2,0.0
307.57,1201.4,0.0
307.57,1214.5,0.0
307.57,1227.6,0.0
307.57,1240.7,0.0
307.57,1253.8,0.0
307.57,1267.0,0.0
307.57,1280.1,0.0
307.57,1293.2,0.0
307.57,1306.3,0.0
307.57,1319.4,0.0
307.57,1332.6,0.0
307.57,1345.7,0.0
307.57,1358.8,0.0
307.57,1371.9,0.0
307.57,1385.0,0.0
307.57,1398.1,0.0
307.57,1411.3,0.0
307.57,1424.4,0.0
307.57,1437.5,0.0
307.57,1450.6,0.0
307.57,1463.7,0.0
307.57,1476.9,0.0
307.57,1490.0,0.0
307.57,1503.1,0.0
307.57,1516.2,0.0
307.57,1529.3,0.0
307.57,1542.5,0.0
307.57,1555.6,0.0
307.57,1568.7,0.0
307.57,1581.8,0.0
307.57,1594.9,0.0
307.57,1608.0,0.0
307.57,1621.2,0.0
307.57,1634.3,0.0
307.57,1647.4,0.0
307.57,1660.5,0.0
307.57,1673.6,0.0
307.57,1686.8,0.0
307.57,1699.9,0.0
307.57,1713.0,0.0
307.57,1726.1,0.0
307.57,1739.2,0.0
307.57,1752.4,0.0
307.57,1765.5,0.0
307.57,1778.6,0.0
