#: table_doi: 10.17182/hepdata.90835.v1/t20
#: name: T1tttt observed + 1 s.d.(theory) mass limit curve
#: description: Exclusion limits assuming the approximate-NNLO+NNLL cross sections
#: data_file: t1tttt_observed_+_1_s.d.(theory)_mass_limit_curve.yaml
#: keyword observables: CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> GLUINO GLUINO | GLUINO --> TQ TQBAR NEUTRALINO1
#: LUMINOSITY [fb$^{-1}$],137
#: Limit boundary,Observed + 1 s.d.(theory)
M(GLUINO) [GeV],M(NEUTRALINO1) [GeV]
725.68,500.96
1243.9,1018.1
1370.3,1144.2
1413.7,1187.6
1415.5,1183.5
1417.6,1190.0
1450.0,1194.0
1490.1,1197.5
1495.8,1197.1
1500.0,1197.2
1503.7,1197.0
1550.0,1200.1
1552.7,1200.9
1566.6,1202.9
1583.9,1207.9
1600.0,1213.0
1609.7,1216.5
1650.0,1234.3
1682.7,1249.7
1691.5,1253.2
1700.0,1257.7
1732.0,1271.7
1750.0,1280.3
1768.1,1288.6
1781.7,1295.3
1800.0,1302.4
1816.2,1307.4
1850.0,1312.8
1875.7,1314.0
1900.0,1308.9
1911.1,1306.1
1943.9,1289.8
1950.0,1286.2
1993.1,1260.5
2000.0,1243.7
2019.2,1230.8
2050.0,1209.5
2065.7,1200.0
2100.0,1159.5
2107.3,1150.0
2150.0,1104.3
2151.9,1100.0
2156.2,1087.6
2183.7,1000.0
2189.1,978.14
2198.5,900.0
2200.0,891.56
2214.8,800.0
2217.2,765.66
2222.8,700.0
2221.9,643.83
2228.3,600.0
2232.8,565.6
2231.6,500.0
2233.1,466.27
2234.1,400.0
2232.9,334.19
2230.3,300.0
2227.6,244.89
2226.5,200.0
2228.6,142.86
2228.0,100.0
2222.2,56.071
2219.6,1.0
2219.6,1.0

