#: table_doi: 10.17182/hepdata.90835.v1/t86
#: name: T2qq efficiency
#: description: The efficiency times acceptance of the SMS models for T2qq as function of the LSP and light squark masses. The efficiency times acceptance is given for the total signal across the set of 174 search regions.
#: data_file: t2qq_efficiency.yaml
#: keyword observables: EFF
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SQUARK SQUARK | SQUARK --> Q NEUTRALINO1
#: Efficiency,
M(SQUARK) [GeV],M(NEUTRALINO1) [GeV],Efficiency $\times$ Acceptance
506.91,7.8719,0.35
506.91,21.616,0.34739
506.91,35.359,0.34454
506.91,49.103,0.34168
506.91,62.847,0.33883
506.91,76.591,0.33597
506.91,90.334,0.33312
506.91,104.08,0.32825
506.91,117.82,0.3186
506.91,131.57,0.30894
506.91,145.31,0.29929
506.91,159.05,0.28964
506.91,172.8,0.27998
506.91,186.54,0.2704
506.91,200.28,0.26316
506.91,214.03,0.24833
506.91,227.77,0.23183
506.91,241.52,0.21534
506.91,255.26,0.19853
506.91,269.0,0.17909
506.91,282.75,0.15936
506.91,296.49,0.13963
506.91,310.23,0.124
506.91,323.98,0.10978
506.91,337.72,0.095563
506.91,351.47,0.077589
506.91,365.21,0.067729
506.91,378.95,0.06191
506.91,392.7,0.056091
506.91,406.44,0.049972
506.91,420.18,0.048334
506.91,433.93,0.046866
506.91,447.67,0.045398
506.91,461.42,0.045466
506.91,475.16,0.045291
506.91,488.9,0.0
506.91,502.65,0.0
506.91,516.39,0.0
506.91,530.13,0.0
506.91,543.88,0.0
506.91,557.62,0.0
506.91,571.37,0.0
506.91,585.11,0.0
506.91,598.85,0.0
506.91,612.6,0.0
506.91,626.34,0.0
506.91,640.08,0.0
506.91,653.83,0.0
506.91,667.57,0.0
506.91,681.32,0.0
506.91,695.06,0.0
506.91,708.8,0.0
506.91,722.55,0.0
506.91,736.29,0.0
506.91,750.03,0.0
506.91,763.78,0.0
506.91,777.52,0.0
506.91,791.27,0.0
506.91,805.01,0.0
506.91,818.75,0.0
506.91,832.5,0.0
506.91,846.24,0.0
506.91,859.98,0.0
506.91,873.73,0.0
506.91,887.47,0.0
506.91,901.22,0.0
506.91,914.96,0.0
506.91,928.7,0.0
506.91,942.45,0.0
506.91,956.19,0.0
506.91,969.93,0.0
506.91,983.68,0.0
506.91,997.42,0.0
506.91,1011.2,0.0
506.91,1024.9,0.0
506.91,1038.7,0.0
506.91,1052.4,0.0
506.91,1066.1,0.0
506.91,1079.9,0.0
506.91,1093.6,0.0
506.91,1107.4,0.0
506.91,1121.1,0.0
506.91,1134.9,0.0
506.91,1148.6,0.0
506.91,1162.3,0.0
506.91,1176.1,0.0
506.91,1189.8,0.0
506.91,1203.6,0.0
506.91,1217.3,0.0
506.91,1231.1,0.0
506.91,1244.8,0.0
506.91,1258.6,0.0
506.91,1272.3,0.0
506.91,1286.0,0.0
506.91,1299.8,0.0
506.91,1313.5,0.0
506.91,1327.3,0.0
506.91,1341.0,0.0
506.91,1354.8,0.0
506.91,1368.5,0.0
506.91,1382.2,0.0
506.91,1396.0,0.0
506.91,1409.7,0.0
506.91,1423.5,0.0
506.91,1437.2,0.0
506.91,1451.0,0.0
506.91,1464.7,0.0
506.91,1478.5,0.0
506.91,1492.2,0.0
506.91,1505.9,0.0
506.91,1519.7,0.0
506.91,1533.4,0.0
506.91,1547.2,0.0
506.91,1560.9,0.0
506.91,1574.7,0.0
506.91,1588.4,0.0
506.91,1602.1,0.0
506.91,1615.9,0.0
506.91,1629.6,0.0
506.91,1643.4,0.0
506.91,1657.1,0.0
506.91,1670.9,0.0
506.91,1684.6,0.0
506.91,1698.4,0.0
506.91,1712.1,0.0
506.91,1725.8,0.0
506.91,1739.6,0.0
506.91,1753.3,0.0
506.91,1767.1,0.0
506.91,1780.8,0.0
506.91,1794.6,0.0
506.91,1808.3,0.0
506.91,1822.0,0.0
506.91,1835.8,0.0
506.91,1849.5,0.0
506.91,1863.3,0.0
506.91,1877.0,0.0
506.91,1890.8,0.0
506.91,1904.5,0.0
506.91,1918.3,0.0
506.91,1932.0,0.0
506.91,1945.7,0.0
506.91,1959.5,0.0
506.91,1973.2,0.0
506.91,1987.0,0.0
506.91,2000.7,0.0
506.91,2014.5,0.0
506.91,2028.2,0.0
506.91,2041.9,0.0
506.91,2055.7,0.0
506.91,2069.4,0.0
506.91,2083.2,0.0
506.91,2096.9,0.0
506.91,2110.7,0.0
506.91,2124.4,0.0
506.91,2138.2,0.0
506.91,2151.9,0.0
506.91,2165.6,0.0
506.91,2179.4,0.0
506.91,2193.1,0.0
520.72,7.8719,0.36379
520.72,21.616,0.36144
520.72,35.359,0.35908
520.72,49.103,0.35647
520.72,62.847,0.35361
520.72,76.591,0.35076
520.72,90.334,0.3479
520.72,104.08,0.34303
520.72,117.82,0.33338
520.72,131.57,0.32373
520.72,145.31,0.31407
520.72,159.05,0.30451
520.72,172.8,0.2974
520.72,186.54,0.29029
520.72,200.28,0.28306
520.72,214.03,0.27
520.72,227.77,0.25518
520.72,241.52,0.23869
520.72,255.26,0.22188
520.72,269.0,0.20457
520.72,282.75,0.18514
520.72,296.49,0.16541
520.72,310.23,0.14979
520.72,323.98,0.13557
520.72,337.72,0.11699
520.72,351.47,0.096247
520.72,365.21,0.080225
520.72,378.95,0.070313
520.72,392.7,0.064493
520.72,406.44,0.058374
520.72,420.18,0.051916
520.72,433.93,0.050252
520.72,447.67,0.048784
520.72,461.42,0.048852
520.72,475.16,0.047614
520.72,488.9,0.046357
520.72,502.65,0.0
520.72,516.39,0.0
520.72,530.13,0.0
520.72,543.88,0.0
520.72,557.62,0.0
520.72,571.37,0.0
520.72,585.11,0.0
520.72,598.85,0.0
520.72,612.6,0.0
520.72,626.34,0.0
520.72,640.08,0.0
520.72,653.83,0.0
520.72,667.57,0.0
520.72,681.32,0.0
520.72,695.06,0.0
520.72,708.8,0.0
520.72,722.55,0.0
520.72,736.29,0.0
520.72,750.03,0.0
520.72,763.78,0.0
520.72,777.52,0.0
520.72,791.27,0.0
520.72,805.01,0.0
520.72,818.75,0.0
520.72,832.5,0.0
520.72,846.24,0.0
520.72,859.98,0.0
520.72,873.73,0.0
520.72,887.47,0.0
520.72,901.22,0.0
520.72,914.96,0.0
520.72,928.7,0.0
520.72,942.45,0.0
520.72,956.19,0.0
520.72,969.93,0.0
520.72,983.68,0.0
520.72,997.42,0.0
520.72,1011.2,0.0
520.72,1024.9,0.0
520.72,1038.7,0.0
520.72,1052.4,0.0
520.72,1066.1,0.0
520.72,1079.9,0.0
520.72,1093.6,0.0
520.72,1107.4,0.0
520.72,1121.1,0.0
520.72,1134.9,0.0
520.72,1148.6,0.0
520.72,1162.3,0.0
520.72,1176.1,0.0
520.72,1189.8,0.0
520.72,1203.6,0.0
520.72,1217.3,0.0
520.72,1231.1,0.0
520.72,1244.8,0.0
520.72,1258.6,0.0
520.72,1272.3,0.0
520.72,1286.0,0.0
520.72,1299.8,0.0
520.72,1313.5,0.0
520.72,1327.3,0.0
520.72,1341.0,0.0
520.72,1354.8,0.0
520.72,1368.5,0.0
520.72,1382.2,0.0
520.72,1396.0,0.0
520.72,1409.7,0.0
520.72,1423.5,0.0
520.72,1437.2,0.0
520.72,1451.0,0.0
520.72,1464.7,0.0
520.72,1478.5,0.0
520.72,1492.2,0.0
520.72,1505.9,0.0
520.72,1519.7,0.0
520.72,1533.4,0.0
520.72,1547.2,0.0
520.72,1560.9,0.0
520.72,1574.7,0.0
520.72,1588.4,0.0
520.72,1602.1,0.0
520.72,1615.9,0.0
520.72,1629.6,0.0
520.72,1643.4,0.0
520.72,1657.1,0.0
520.72,1670.9,0.0
520.72,1684.6,0.0
520.72,1698.4,0.0
520.72,1712.1,0.0
520.72,1725.8,0.0
520.72,1739.6,0.0
520.72,1753.3,0.0
520.72,1767.1,0.0
520.72,1780.8,0.0
520.72,1794.6,0.0
520.72,1808.3,0.0
520.72,1822.0,0.0
520.72,1835.8,0.0
520.72,1849.5,0.0
520.72,1863.3,0.0
520.72,1877.0,0.0
520.72,1890.8,0.0
520.72,1904.5,0.0
520.72,1918.3,0.0
520.72,1932.0,0.0
520.72,1945.7,0.0
520.72,1959.5,0.0
520.72,1973.2,0.0
520.72,1987.0,0.0
520.72,2000.7,0.0
520.72,2014.5,0.0
520.72,2028.2,0.0
520.72,2041.9,0.0
520.72,2055.7,0.0
520.72,2069.4,0.0
520.72,2083.2,0.0
520.72,2096.9,0.0
520.72,2110.7,0.0
520.72,2124.4,0.0
520.72,2138.2,0.0
520.72,2151.9,0.0
520.72,2165.6,0.0
520.72,2179.4,0.0
520.72,2193.1,0.0
534.54,7.8719,0.37758
534.54,21.616,0.37523
534.54,35.359,0.37287
534.54,49.103,0.37051
534.54,62.847,0.36816
534.54,76.591,0.36554
534.54,90.334,0.36268
534.54,104.08,0.35781
534.54,117.82,0.34816
534.54,131.57,0.33863
534.54,145.31,0.33152
534.54,159.05,0.3244
534.54,172.8,0.31729
534.54,186.54,0.31018
534.54,200.28,0.30295
534.54,214.03,0.28989
534.54,227.77,0.27683
534.54,241.52,0.26203
534.54,255.26,0.24523
534.54,269.0,0.22792
534.54,282.75,0.21061
534.54,296.49,0.1912
534.54,310.23,0.17557
534.54,323.98,0.15696
534.54,337.72,0.13565
534.54,351.47,0.11491
534.54,365.21,0.098884
534.54,378.95,0.082862
534.54,392.7,0.072896
534.54,406.44,0.066777
534.54,420.18,0.060319
534.54,433.93,0.053861
534.54,447.67,0.052171
