#: table_doi: 10.17182/hepdata.90835.v1/t22
#: name: T1tttt expected mass limit curve
#: description: Exclusion limits assuming the approximate-NNLO+NNLL cross sections
#: data_file: t1tttt_expected_mass_limit_curve.yaml
#: keyword observables: CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> GLUINO GLUINO | GLUINO --> TQ TQBAR NEUTRALINO1
#: LUMINOSITY [fb$^{-1}$],137
#: Limit boundary,Expected
M(GLUINO) [GeV],M(NEUTRALINO1) [GeV]
673.44,448.7
1126.1,900.2
1300.4,1074.0
1300.6,1068.4
1300.9,1074.2
1350.0,1100.5
1374.6,1113.9
1400.0,1126.9
1416.0,1135.1
1443.5,1149.2
1447.7,1151.2
1450.0,1152.3
1454.6,1154.2
1500.0,1171.8
1524.7,1181.0
1550.0,1190.5
1554.8,1192.0
1575.0,1198.7
1596.6,1205.2
1600.0,1207.2
1608.1,1209.5
1650.0,1227.6
1697.5,1248.9
1699.1,1247.6
1700.0,1249.7
1741.3,1259.9
1750.0,1262.2
1783.2,1269.1
1800.0,1271.3
1822.6,1272.6
1850.0,1270.7
1877.9,1264.6
1900.0,1257.6
1931.3,1243.5
1950.0,1233.8
1995.0,1210.7
2000.0,1201.2
2001.4,1200.0
2024.3,1174.3
2044.6,1150.0
2050.0,1143.1
2067.4,1117.4
2078.4,1100.0
2083.0,1083.0
2100.0,1044.1
2114.4,1000.0
2126.8,946.43
2135.6,900.0
2139.7,879.37
2150.0,838.1
2156.2,800.0
2158.3,783.33
2166.1,700.0
2166.4,667.24
2168.0,600.0
2172.4,555.1
2175.0,500.0
2176.7,453.45
2179.8,400.0
2175.8,348.33
2178.0,300.0
2175.8,251.67
2175.8,200.0
2174.2,151.56
2171.6,100.0
2169.5,61.328
2169.0,1.0
2169.0,1.0

