#: table_doi: 10.17182/hepdata.90835.v1/t33
#: name: T1qqqq observed mass limit curve
#: description: Exclusion limits assuming the approximate-NNLO+NNLL cross sections
#: data_file: t1qqqq_observed_mass_limit_curve.yaml
#: keyword observables: CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> GLUINO GLUINO | GLUINO --> Q QBAR NEUTRALINO1
#: LUMINOSITY [fb$^{-1}$],137
#: Limit boundary,Observed
M(GLUINO) [GeV],M(NEUTRALINO1) [GeV]
0.0,-28.0
1164.8,1135.8
1191.0,1157.4
1209.5,1169.1
1223.9,1175.9
1250.0,1180.0
1268.6,1179.2
1300.0,1172.8
1328.8,1162.7
1343.5,1155.1
1350.0,1152.3
1361.0,1146.2
1400.0,1126.7
1429.3,1112.2
1450.0,1101.5
1458.6,1097.1
1500.0,1074.9
1548.4,1049.7
1550.0,1049.5
1550.7,1049.4
1551.5,1050.1
1591.0,1049.1
1600.0,1044.4
1611.3,1043.4
1650.0,1021.5
1692.4,995.95
1700.0,990.12
1725.4,971.14
1750.0,949.82
1754.6,944.47
1762.6,935.69
1789.6,905.97
1825.8,850.0
1850.0,810.18
1855.3,800.0
1900.0,715.68
1913.6,700.0
1928.4,656.71
1950.0,612.3
1952.3,604.63
1954.0,600.0
1957.2,585.52
1976.7,500.0
1989.7,420.61
1993.2,400.0
1993.7,387.38
2000.0,345.11
2003.7,307.31
2004.5,300.0
2004.4,291.15
2009.9,200.0
2010.8,178.36
2007.8,100.0
2007.1,86.026
2006.4,1.0
2006.4,1.0

