#: table_doi: 10.17182/hepdata.90835.v1/t59
#: name: T2bb expected - 1 s.d. mass limit curve
#: description: Exclusion limits assuming the approximate-NNLO+NNLL cross sections
#: data_file: t2bb_expected_-_1_s.d._mass_limit_curve.yaml
#: keyword observables: CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SBOTTOM SBOTTOM | SBOTTOM --> BQ NEUTRALINO1
#: LUMINOSITY [fb$^{-1}$],137
#: Limit boundary,Expected - 1 s.d.
M(SBOTTOM) [GeV],M(NEUTRALINO1) [GeV]
403.72,378.79
403.72,378.79
457.92,432.65
519.49,493.5
520.87,494.5
525.0,497.95
527.24,499.53
550.0,513.97
564.73,523.67
575.0,530.59
592.32,542.34
597.78,546.62
600.0,547.67
606.59,550.86
625.0,555.12
637.73,556.55
650.0,554.73
656.13,552.37
665.11,547.69
670.66,543.96
675.0,541.3
681.48,537.48
700.0,530.66
718.43,525.09
750.0,518.07
766.12,515.05
800.0,508.82
808.26,507.21
845.07,499.75
848.8,498.9
850.0,498.63
851.79,498.23
900.0,487.06
923.52,476.48
950.0,466.55
963.48,463.48
990.38,450.0
996.42,446.42
1000.0,441.95
1016.3,416.29
1027.7,400.0
1050.0,368.53
1056.6,356.56
1071.7,328.25
1084.2,300.0
1089.9,279.79
1100.0,249.94
1108.9,217.78
1112.9,200.0
1120.9,141.7
1126.4,100.0
1129.5,1.0
1129.5,1.0

