#: table_doi: 10.17182/hepdata.90835.v1/t81
#: name: T1bbbb efficiency
#: description: The efficiency times acceptance of the SMS models for T1bbbb as function of the gluino and LSP masses. The efficiency times acceptance is given for the total signal across the set of 174 search regions.
#: data_file: t1bbbb_efficiency.yaml
#: keyword observables: EFF
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> GLUINO GLUINO | GLUINO --> BQ BQBAR NEUTRALINO1
#: Efficiency,
M(GLUINO) [GeV],M(NEUTRALINO1) [GeV],Efficiency $\times$ Acceptance
621.71,1739.8,0.0
621.71,1751.6,0.0
621.71,1763.5,0.0
621.71,1775.4,0.0
621.71,1787.2,0.0
621.71,1799.1,0.0
621.71,1811.0,0.0
621.71,1822.9,0.0
621.71,1834.7,0.0
621.71,1846.6,0.0
621.71,1858.5,0.0
621.71,1870.3,0.0
621.71,1882.2,0.0
621.71,1894.1,0.0
636.18,6.9344,0.21585
636.18,18.803,0.21694
636.18,30.672,0.21804
636.18,42.541,0.21913
636.18,54.409,0.22023
636.18,66.278,0.22139
636.18,78.147,0.22286
636.18,90.016,0.22433
636.18,101.88,0.22516
636.18,113.75,0.22262
636.18,125.62,0.22008
636.18,137.49,0.21754
636.18,149.36,0.215
636.18,161.23,0.21245
636.18,173.1,0.2112
636.18,184.97,0.21031
636.18,196.83,0.20942
636.18,208.7,0.20433
636.18,220.57,0.1977
636.18,232.44,0.19108
636.18,244.31,0.18445
636.18,256.18,0.17783
636.18,268.05,0.17188
636.18,279.92,0.16715
636.18,291.78,0.16242
636.18,303.65,0.15649
636.18,315.52,0.14786
636.18,327.39,0.13923
636.18,339.26,0.13097
636.18,351.13,0.12378
636.18,363.0,0.1166
636.18,374.87,0.10942
636.18,386.73,0.10223
636.18,398.6,0.095046
636.18,410.47,0.088847
636.18,422.34,0.082779
636.18,434.21,0.076712
636.18,446.08,0.070645
636.18,457.95,0.064577
636.18,469.82,0.05851
636.18,481.68,0.055591
636.18,493.55,0.053534
636.18,505.42,0.052605
636.18,517.29,0.052503
636.18,529.16,0.051167
636.18,541.03,0.049831
636.18,552.9,0.04913
636.18,564.77,0.049797
636.18,576.63,0.050157
636.18,588.5,0.050517
636.18,600.37,0.051413
636.18,612.24,0.0
636.18,624.11,0.0
636.18,635.98,0.0
636.18,647.85,0.0
636.18,659.72,0.0
636.18,671.58,0.0
636.18,683.45,0.0
636.18,695.32,0.0
636.18,707.19,0.0
636.18,719.06,0.0
636.18,730.93,0.0
636.18,742.8,0.0
636.18,754.67,0.0
636.18,766.53,0.0
636.18,778.4,0.0
636.18,790.27,0.0
636.18,802.14,0.0
636.18,814.01,0.0
636.18,825.88,0.0
636.18,837.75,0.0
636.18,849.62,0.0
636.18,861.48,0.0
636.18,873.35,0.0
636.18,885.22,0.0
636.18,897.09,0.0
636.18,908.96,0.0
636.18,920.83,0.0
636.18,932.7,0.0
636.18,944.57,0.0
636.18,956.43,0.0
636.18,968.3,0.0
636.18,980.17,0.0
636.18,992.04,0.0
636.18,1003.9,0.0
636.18,1015.8,0.0
636.18,1027.6,0.0
636.18,1039.5,0.0
636.18,1051.4,0.0
636.18,1063.3,0.0
636.18,1075.1,0.0
636.18,1087.0,0.0
636.18,1098.9,0.0
636.18,1110.7,0.0
636.18,1122.6,0.0
636.18,1134.5,0.0
636.18,1146.3,0.0
636.18,1158.2,0.0
636.18,1170.1,0.0
636.18,1181.9,0.0
636.18,1193.8,0.0
636.18,1205.7,0.0
636.18,1217.5,0.0
636.18,1229.4,0.0
636.18,1241.3,0.0
636.18,1253.2,0.0
636.18,1265.0,0.0
636.18,1276.9,0.0
636.18,1288.8,0.0
636.18,1300.6,0.0
636.18,1312.5,0.0
636.18,1324.4,0.0
636.18,1336.2,0.0
636.18,1348.1,0.0
636.18,1360.0,0.0
636.18,1371.8,0.0
636.18,1383.7,0.0
636.18,1395.6,0.0
636.18,1407.4,0.0
636.18,1419.3,0.0
636.18,1431.2,0.0
636.18,1443.1,0.0
636.18,1454.9,0.0
636.18,1466.8,0.0
636.18,1478.7,0.0
636.18,1490.5,0.0
636.18,1502.4,0.0
636.18,1514.3,0.0
636.18,1526.1,0.0
636.18,1538.0,0.0
636.18,1549.9,0.0
636.18,1561.7,0.0
636.18,1573.6,0.0
636.18,1585.5,0.0
636.18,1597.3,0.0
636.18,1609.2,0.0
636.18,1621.1,0.0
636.18,1633.0,0.0
636.18,1644.8,0.0
636.18,1656.7,0.0
636.18,1668.6,0.0
636.18,1680.4,0.0
636.18,1692.3,0.0
636.18,1704.2,0.0
636.18,1716.0,0.0
636.18,1727.9,0.0
636.18,1739.8,0.0
636.18,1751.6,0.0
636.18,1763.5,0.0
636.18,1775.4,0.0
636.18,1787.2,0.0
636.18,1799.1,0.0
636.18,1811.0,0.0
636.18,1822.9,0.0
636.18,1834.7,0.0
636.18,1846.6,0.0
636.18,1858.5,0.0
636.18,1870.3,0.0
636.18,1882.2,0.0
636.18,1894.1,0.0
650.66,6.9344,0.22551
650.66,18.803,0.2266
650.66,30.672,0.22769
650.66,42.541,0.22879
650.66,54.409,0.23003
650.66,66.278,0.2315
650.66,78.147,0.23297
650.66,90.016,0.23444
650.66,101.88,0.23527
650.66,113.75,0.23273
650.66,125.62,0.23019
650.66,137.49,0.22765
650.66,149.36,0.22511
650.66,161.23,0.22422
650.66,173.1,0.22333
650.66,184.97,0.22244
650.66,196.83,0.22154
650.66,208.7,0.21645
650.66,220.57,0.20982
650.66,232.44,0.2032
650.66,244.31,0.19658
650.66,256.18,0.19104
650.66,268.05,0.18631
650.66,279.92,0.18158
650.66,291.78,0.17685
650.66,303.65,0.17092
650.66,315.52,0.16229
650.66,327.39,0.15366
650.66,339.26,0.14503
650.66,351.13,0.13645
650.66,363.0,0.12927
650.66,374.87,0.12208
650.66,386.73,0.1149
650.66,398.6,0.10771
650.66,410.47,0.10152
650.66,422.34,0.095448
650.66,434.21,0.08938
650.66,446.08,0.083313
650.66,457.95,0.077245
650.66,469.82,0.071178
650.66,481.68,0.065111
650.66,493.55,0.059043
650.66,505.42,0.05484
650.66,517.29,0.053504
650.66,529.16,0.052168
650.66,541.03,0.050832
650.66,552.9,0.049677
650.66,564.77,0.050037
650.66,576.63,0.050397
650.66,588.5,0.050757
650.66,600.37,0.051145
650.66,612.24,0.052379
650.66,624.11,0.053614
650.66,635.98,0.0
650.66,647.85,0.0
650.66,659.72,0.0
650.66,671.58,0.0
650.66,683.45,0.0
650.66,695.32,0.0
650.66,707.19,0.0
650.66,719.06,0.0
650.66,730.93,0.0
650.66,742.8,0.0
650.66,754.67,0.0
650.66,766.53,0.0
650.66,778.4,0.0
650.66,790.27,0.0
650.66,802.14,0.0
650.66,814.01,0.0
650.66,825.88,0.0
650.66,837.75,0.0
650.66,849.62,0.0
650.66,861.48,0.0
650.66,873.35,0.0
650.66,885.22,0.0
650.66,897.09,0.0
650.66,908.96,0.0
650.66,920.83,0.0
650.66,932.7,0.0
650.66,944.57,0.0
650.66,956.43,0.0
650.66,968.3,0.0
650.66,980.17,0.0
650.66,992.04,0.0
650.66,1003.9,0.0
650.66,1015.8,0.0
650.66,1027.6,0.0
650.66,1039.5,0.0
650.66,1051.4,0.0
650.66,1063.3,0.0
650.66,1075.1,0.0
