#: table_doi: 10.17182/hepdata.90835.v1/t58
#: name: T2bb expected + 1 s.d. mass limit curve
#: description: Exclusion limits assuming the approximate-NNLO+NNLL cross sections
#: data_file: t2bb_expected_+_1_s.d._mass_limit_curve.yaml
#: keyword observables: CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SBOTTOM SBOTTOM | SBOTTOM --> BQ NEUTRALINO1
#: LUMINOSITY [fb$^{-1}$],137
#: Limit boundary,Expected + 1 s.d.
M(SBOTTOM) [GeV],M(NEUTRALINO1) [GeV]
410.59,385.77
601.1,575.12
614.15,588.09
618.97,592.42
625.0,597.03
627.27,598.93
650.0,613.5
660.44,620.07
663.44,622.21
675.0,630.52
691.58,642.74
697.23,646.9
700.0,649.1
719.4,659.98
725.0,661.9
744.08,666.33
750.0,665.85
765.73,662.76
775.0,658.68
785.72,653.14
790.95,649.2
792.89,648.17
800.0,643.97
827.01,633.35
850.0,626.15
869.31,621.22
900.0,615.07
942.11,607.46
950.0,606.03
986.97,599.09
1000.0,594.87
1004.6,594.48
1050.0,576.88
1085.1,560.9
1100.0,551.41
1108.8,545.8
1129.6,528.37
1150.0,509.93
1160.7,500.06
1181.4,480.93
1200.0,441.14
1216.1,400.0
1250.0,303.91
1251.1,300.0
1251.4,297.21
1262.2,200.0
1265.6,168.89
1270.0,100.0
1274.8,50.926
1278.2,1.0
1278.2,1.0

