#: table_doi: 10.17182/hepdata.90835.v1/t68
#: name: T2qq (1 flavor) observed + 1 s.d.(theory) mass limit curve
#: description: Exclusion limits assuming the approximate-NNLO+NNLL cross sections (single flavor)
#: data_file: t2qq_(1_flavor)_observed_+_1_s.d.(theory)_mass_limit_curve.yaml
#: keyword observables: CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SQUARK SQUARK | SQUARK --> Q NEUTRALINO1
#: LUMINOSITY [fb$^{-1}$],137
#: Limit boundary,Observed + 1 s.d.(theory)
M(SQUARK) [GeV],M(NEUTRALINO1) [GeV]
1156.9,1.0
1160.8,100.0
1150.0,186.14
1148.2,196.38
1147.7,200.0
1131.6,263.18
1121.9,300.0
1100.0,344.97
1078.7,378.68
1050.0,388.62
1036.9,400.0
1016.2,416.19
1000.0,422.29
976.65,426.65
950.0,448.55
949.03,449.03
946.11,450.0
900.0,459.39
890.05,459.95
850.0,466.42
836.92,463.08
800.0,464.61
788.83,461.17
750.0,455.78
714.94,450.0
700.0,446.67
657.65,442.35
650.0,440.9
639.1,439.1
634.72,450.0
618.37,468.37
606.25,500.0
612.96,537.04
610.49,550.0
609.88,570.06
614.97,582.48
615.78,590.78
619.1,594.1
595.34,570.34
588.51,563.51
574.36,549.36
554.78,529.78
552.27,527.27

