#: table_doi: 10.17182/hepdata.90835.v1/t19
#: name: T1tttt observed mass limit curve
#: description: Exclusion limits assuming the approximate-NNLO+NNLL cross sections
#: data_file: t1tttt_observed_mass_limit_curve.yaml
#: keyword observables: CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> GLUINO GLUINO | GLUINO --> TQ TQBAR NEUTRALINO1
#: LUMINOSITY [fb$^{-1}$],137
#: Limit boundary,Observed
M(GLUINO) [GeV],M(NEUTRALINO1) [GeV]
0.0,-225.47
1349.9,1124.2
1395.6,1169.2
1395.9,1168.6
1400.0,1171.6
1403.9,1172.4
1450.0,1176.8
1475.0,1177.6
1500.0,1178.6
1522.5,1179.5
1550.0,1182.2
1568.3,1184.6
1600.0,1192.1
1608.5,1196.0
1621.2,1200.7
1650.0,1215.8
1688.3,1236.5
1700.0,1242.5
1705.0,1244.4
1713.8,1248.3
1742.9,1259.2
1750.0,1261.9
1782.6,1274.8
1800.0,1282.1
1812.5,1286.9
1842.3,1297.5
1850.0,1299.6
1851.2,1297.9
1853.5,1298.4
1900.0,1263.3
1924.1,1244.5
1950.0,1223.9
1978.8,1200.2
1987.2,1193.2
2000.0,1181.7
2017.9,1167.9
2036.8,1150.0
2050.0,1139.1
2069.4,1119.4
2090.1,1100.0
2092.5,1092.5
2100.0,1079.5
2129.8,1000.0
2150.0,922.24
2153.6,907.18
2154.4,900.0
2156.7,886.53
2170.5,800.0
2175.5,749.0
2179.5,700.0
2178.5,643.06
2179.7,600.0
2187.5,524.99
2187.6,500.0
2187.9,475.81
2193.0,400.0
2185.5,328.99
2187.5,300.0
2185.0,269.99
2183.1,200.0
2182.2,135.53
2180.4,100.0
2177.0,46.593
2177.7,1.0
2177.7,1.0

