#: table_doi: 10.17182/hepdata.90835.v1/t23
#: name: T1tttt expected + 1 s.d. mass limit curve
#: description: Exclusion limits assuming the approximate-NNLO+NNLL cross sections
#: data_file: t1tttt_expected_+_1_s.d._mass_limit_curve.yaml
#: keyword observables: CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> GLUINO GLUINO | GLUINO --> TQ TQBAR NEUTRALINO1
#: LUMINOSITY [fb$^{-1}$],137
#: Limit boundary,Expected + 1 s.d.
M(GLUINO) [GeV],M(NEUTRALINO1) [GeV]
710.05,485.5
1203.0,976.76
1344.2,1117.4
1382.2,1153.5
1386.1,1155.9
1400.0,1165.9
1408.5,1170.5
1450.0,1190.2
1460.4,1194.8
1489.0,1207.3
1500.0,1212.4
1534.4,1228.7
1550.0,1237.6
1556.8,1240.0
1565.0,1244.5
1592.9,1255.4
1600.0,1258.6
1639.3,1272.3
1650.0,1276.8
1662.8,1281.5
1700.0,1295.9
1702.7,1296.0
1710.9,1299.6
1743.6,1309.1
1750.0,1311.3
1766.8,1316.4
1800.0,1327.2
1843.6,1339.5
1850.0,1340.6
1884.9,1346.2
1900.0,1346.0
1916.9,1345.9
1943.0,1341.6
1950.0,1340.3
1981.9,1334.3
2000.0,1321.7
2013.8,1313.8
2050.0,1306.4
2059.8,1300.0
2100.0,1264.4
2107.4,1257.4
2117.4,1250.0
2130.2,1230.2
2150.0,1200.1
2150.0,1200.0
2150.1,1200.0
2167.8,1167.8
2190.7,1109.3
2194.0,1100.0
2200.0,1082.0
2225.3,1000.0
2229.5,958.95
2246.1,900.0
2250.0,874.92
2257.2,800.0
2260.6,778.78
2265.8,700.0
2266.2,667.61
2272.7,600.0
2272.7,545.31
2274.3,500.0
2276.2,452.38
2276.5,400.0
2275.4,349.11
2273.9,300.0
2274.9,250.16
2273.8,200.0
2274.1,148.11
2269.3,100.0
2264.4,29.608
2264.3,1.0
2264.3,1.0

