#: table_doi: 10.17182/hepdata.90835.v1/t50
#: name: T2tt expected mass limit curve
#: description: Exclusion limits assuming the approximate-NNLO+NNLL cross sections
#: data_file: t2tt_expected_mass_limit_curve.yaml
#: keyword observables: CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> STOP STOP | STOP --> TQ NEUTRALINO1
#: LUMINOSITY [fb$^{-1}$],137
#: Limit boundary,Expected
M(STOP) [GeV],M(NEUTRALINO1) [GeV]
341.86,255.3
490.19,400.86
501.22,411.68
510.47,420.13
510.94,418.37
511.41,420.29
525.0,420.13
532.58,421.23
550.0,424.33
553.91,425.46
575.0,432.94
591.98,440.08
600.0,444.26
603.37,445.25
606.48,446.93
625.0,450.98
645.63,454.1
650.0,454.63
654.86,455.03
675.0,458.02
677.59,458.57
700.0,464.99
708.13,467.95
725.0,474.43
730.92,476.82
738.67,479.96
750.0,483.76
763.68,487.33
775.0,490.11
796.57,492.58
800.0,493.15
845.89,494.5
850.0,494.55
856.67,494.62
900.0,484.82
915.74,484.26
950.0,477.21
978.7,471.3
1000.0,469.17
1031.9,450.0
1050.0,433.33
1078.9,400.0
1100.0,367.24
1107.5,357.46
1109.6,350.0
1123.1,323.08
1141.9,300.0
1150.0,280.56
1158.3,250.0
1159.3,240.68
1156.4,200.0
1168.8,168.83
1173.8,150.0
1173.4,126.61
1175.0,100.0
1177.5,72.5
1180.1,50.0
1183.1,17.597
1181.3,1.0
1181.3,1.0

