#: table_doi: 10.17182/hepdata.90835.v1/t66
#: name: T2qq expected - 1 s.d. mass limit curve
#: description: Exclusion limits assuming the approximate-NNLO+NNLL cross sections (u d s c)
#: data_file: t2qq_expected_-_1_s.d._mass_limit_curve.yaml
#: keyword observables: CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SQUARK SQUARK | SQUARK --> Q NEUTRALINO1
#: LUMINOSITY [fb$^{-1}$],137
#: Limit boundary,Expected - 1 s.d.
M(SQUARK) [GeV],M(NEUTRALINO1) [GeV]
565.34,548.45
728.55,694.71
808.78,766.61
809.45,762.54
850.0,775.52
860.66,772.25
900.0,758.53
914.84,749.4
929.06,740.59
950.0,726.52
968.84,713.87
1034.3,715.73
1050.0,720.08
1082.7,717.34
1100.0,712.18
1138.4,711.62
1150.0,715.46
1193.9,706.07
1200.0,703.89
1211.2,700.0
1250.0,683.17
1285.3,664.74
1300.0,661.24
1317.6,650.0
1350.0,627.86
1378.9,600.0
1400.0,571.15
1448.2,500.0
1450.0,496.67
1457.7,484.65
1500.0,416.23
1508.4,400.0
1532.5,335.07
1544.9,300.0
1550.0,276.16
1559.2,218.31
1563.8,200.0
1570.3,159.49
1573.6,100.0
1570.9,58.686
1577.3,1.0
1577.3,1.0

