#: table_doi: 10.17182/hepdata.90835.v1/t24
#: name: T1tttt expected - 1 s.d. mass limit curve
#: description: Exclusion limits assuming the approximate-NNLO+NNLL cross sections
#: data_file: t1tttt_expected_-_1_s.d._mass_limit_curve.yaml
#: keyword observables: CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> GLUINO GLUINO | GLUINO --> TQ TQBAR NEUTRALINO1
#: LUMINOSITY [fb$^{-1}$],137
#: Limit boundary,Expected - 1 s.d.
M(GLUINO) [GeV],M(NEUTRALINO1) [GeV]
647.15,422.29
1071.6,846.31
1175.1,949.66
1214.7,988.34
1226.6,998.54
1235.4,1006.3
1250.0,1016.4
1257.9,1021.6
1300.0,1046.3
1302.0,1045.8
1303.9,1048.1
1335.2,1058.5
1350.0,1064.2
1379.7,1075.2
1400.0,1083.8
1416.2,1091.0
1426.2,1096.4
1442.0,1104.3
1450.0,1108.2
1483.2,1122.5
1500.0,1129.2
1512.5,1133.9
1550.0,1146.2
1558.3,1148.9
1591.3,1159.4
1600.0,1162.3
1631.2,1172.6
1650.0,1179.1
1667.3,1184.9
1698.8,1194.3
1700.0,1194.8
1745.4,1204.4
1750.0,1202.0
1758.6,1204.1
1800.0,1193.2
1810.7,1187.8
1830.7,1177.7
1850.0,1164.4
1869.1,1151.1
1900.0,1124.0
1931.5,1100.0
1950.0,1075.8
1956.3,1056.3
1962.1,1050.0
1978.2,1028.2
2000.0,1001.5
2000.5,1000.5
2000.7,1000.0
2018.0,935.96
2025.3,900.0
2039.7,820.62
2043.4,800.0
2050.0,755.9
2058.0,700.0
2059.3,681.32
2067.5,600.0
2069.4,561.21
2069.2,500.0
2072.2,455.59
2071.3,400.0
2069.7,360.57
2072.6,300.0
2070.9,258.23
2070.1,200.0
2070.9,158.11
2067.5,100.0
2064.5,71.333
2062.1,1.0
2062.1,1.0

