#: table_doi: 10.17182/hepdata.90835.v1/t60
#: name: T2qq cross section upper limits
#: description: The 95% CL observed and expected upper limits on the production cross sections of the T2qq signal model as a function of the LSP and light squark masses.
#: data_file: t2qq_cross_section_upper_limits.yaml
#: keyword observables: SIG | CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SQUARK SQUARK | SQUARK --> Q NEUTRALINO1
#: Upper Limit,Expected
#: LUMINOSITY [fb$^{-1}$],137
M(SQUARK) [GeV],M(NEUTRALINO1) [GeV],Cross section upper limit at 95% CL [pb]
517.58,717.68,0.0
517.58,728.14,0.0
517.58,738.61,0.0
517.58,749.07,0.0
517.58,759.53,0.0
517.58,769.99,0.0
517.58,780.46,0.0
517.58,790.92,0.0
517.58,801.38,0.0
517.58,811.84,0.0
517.58,822.31,0.0
517.58,832.77,0.0
517.58,843.23,0.0
517.58,853.69,0.0
517.58,864.16,0.0
517.58,874.62,0.0
517.58,885.08,0.0
517.58,895.54,0.0
517.58,906.01,0.0
517.58,916.47,0.0
517.58,926.93,0.0
517.58,937.39,0.0
517.58,947.86,0.0
517.58,958.32,0.0
517.58,968.78,0.0
517.58,979.24,0.0
517.58,989.71,0.0
517.58,1000.2,0.0
517.58,1010.6,0.0
517.58,1021.1,0.0
517.58,1031.6,0.0
517.58,1042.0,0.0
517.58,1052.5,0.0
517.58,1062.9,0.0
517.58,1073.4,0.0
517.58,1083.9,0.0
517.58,1094.3,0.0
517.58,1104.8,0.0
517.58,1115.3,0.0
517.58,1125.7,0.0
517.58,1136.2,0.0
517.58,1146.6,0.0
517.58,1157.1,0.0
517.58,1167.6,0.0
517.58,1178.0,0.0
517.58,1188.5,0.0
517.58,1199.0,0.0
517.58,1209.4,0.0
517.58,1219.9,0.0
517.58,1230.3,0.0
517.58,1240.8,0.0
517.58,1251.3,0.0
517.58,1261.7,0.0
517.58,1272.2,0.0
517.58,1282.7,0.0
517.58,1293.1,0.0
517.58,1303.6,0.0
517.58,1314.0,0.0
517.58,1324.5,0.0
517.58,1335.0,0.0
517.58,1345.4,0.0
517.58,1355.9,0.0
517.58,1366.4,0.0
517.58,1376.8,0.0
517.58,1387.3,0.0
517.58,1397.7,0.0
517.58,1408.2,0.0
517.58,1418.7,0.0
517.58,1429.1,0.0
517.58,1439.6,0.0
517.58,1450.1,0.0
517.58,1460.5,0.0
517.58,1471.0,0.0
517.58,1481.4,0.0
517.58,1491.9,0.0
517.58,1502.4,0.0
517.58,1512.8,0.0
517.58,1523.3,0.0
517.58,1533.8,0.0
517.58,1544.2,0.0
517.58,1554.7,0.0
517.58,1565.1,0.0
517.58,1575.6,0.0
517.58,1586.1,0.0
517.58,1596.5,0.0
517.58,1607.0,0.0
517.58,1617.5,0.0
517.58,1627.9,0.0
517.58,1638.4,0.0
517.58,1648.8,0.0
517.58,1659.3,0.0
517.58,1669.8,0.0
529.3,6.2313,0.064993
529.3,16.694,0.066256
529.3,27.156,0.06752
529.3,37.619,0.068783
529.3,48.081,0.06973
529.3,58.544,0.07045
529.3,69.006,0.071171
529.3,79.469,0.071891
529.3,89.931,0.072612
529.3,100.39,0.073517
529.3,110.86,0.079144
529.3,121.32,0.084772
529.3,131.78,0.0904
529.3,142.24,0.095805
529.3,152.71,0.098658
529.3,163.17,0.10151
529.3,173.63,0.10436
529.3,184.09,0.10722
529.3,194.56,0.11007
529.3,205.02,0.11755
529.3,215.48,0.13006
529.3,225.94,0.13969
529.3,236.41,0.14647
529.3,246.87,0.15324
529.3,257.33,0.16272
529.3,267.79,0.17335
529.3,278.26,0.18248
529.3,288.72,0.19104
529.3,299.18,0.1996
529.3,309.64,0.20914
529.3,320.11,0.21877
529.3,330.57,0.22852
529.3,341.03,0.23915
529.3,351.49,0.24969
529.3,361.96,0.2597
529.3,372.42,0.26946
529.3,382.88,0.27802
529.3,393.34,0.28658
529.3,403.81,0.29612
529.3,414.27,0.30738
529.3,424.73,0.31745
529.3,435.19,0.32566
529.3,445.66,0.33386
529.3,456.12,0.3592
529.3,466.58,0.38033
529.3,477.04,0.39031
529.3,487.51,0.4003
529.3,497.97,0.42332
529.3,508.43,0.0
529.3,518.89,0.0
529.3,529.36,0.0
529.3,539.82,0.0
529.3,550.28,0.0
529.3,560.74,0.0
529.3,571.21,0.0
529.3,581.67,0.0
529.3,592.13,0.0
529.3,602.59,0.0
529.3,613.06,0.0
529.3,623.52,0.0
529.3,633.98,0.0
529.3,644.44,0.0
529.3,654.91,0.0
529.3,665.37,0.0
529.3,675.83,0.0
529.3,686.29,0.0
529.3,696.76,0.0
529.3,707.22,0.0
529.3,717.68,0.0
529.3,728.14,0.0
529.3,738.61,0.0
529.3,749.07,0.0
529.3,759.53,0.0
529.3,769.99,0.0
529.3,780.46,0.0
529.3,790.92,0.0
529.3,801.38,0.0
529.3,811.84,0.0
529.3,822.31,0.0
529.3,832.77,0.0
529.3,843.23,0.0
529.3,853.69,0.0
529.3,864.16,0.0
529.3,874.62,0.0
529.3,885.08,0.0
529.3,895.54,0.0
529.3,906.01,0.0
529.3,916.47,0.0
529.3,926.93,0.0
529.3,937.39,0.0
529.3,947.86,0.0
529.3,958.32,0.0
529.3,968.78,0.0
529.3,979.24,0.0
529.3,989.71,0.0
529.3,1000.2,0.0
529.3,1010.6,0.0
529.3,1021.1,0.0
529.3,1031.6,0.0
529.3,1042.0,0.0
529.3,1052.5,0.0
529.3,1062.9,0.0
529.3,1073.4,0.0
529.3,1083.9,0.0
529.3,1094.3,0.0
529.3,1104.8,0.0
529.3,1115.3,0.0
529.3,1125.7,0.0
529.3,1136.2,0.0
529.3,1146.6,0.0
529.3,1157.1,0.0
529.3,1167.6,0.0
529.3,1178.0,0.0
529.3,1188.5,0.0
529.3,1199.0,0.0
529.3,1209.4,0.0
529.3,1219.9,0.0
529.3,1230.3,0.0
529.3,1240.8,0.0
529.3,1251.3,0.0
529.3,1261.7,0.0
529.3,1272.2,0.0
529.3,1282.7,0.0
529.3,1293.1,0.0
529.3,1303.6,0.0
529.3,1314.0,0.0
529.3,1324.5,0.0
529.3,1335.0,0.0
529.3,1345.4,0.0
529.3,1355.9,0.0
529.3,1366.4,0.0
529.3,1376.8,0.0
529.3,1387.3,0.0
529.3,1397.7,0.0
529.3,1408.2,0.0
529.3,1418.7,0.0
529.3,1429.1,0.0
529.3,1439.6,0.0
529.3,1450.1,0.0
529.3,1460.5,0.0
529.3,1471.0,0.0
529.3,1481.4,0.0
529.3,1491.9,0.0
529.3,1502.4,0.0
529.3,1512.8,0.0
529.3,1523.3,0.0
529.3,1533.8,0.0
529.3,1544.2,0.0
529.3,1554.7,0.0
529.3,1565.1,0.0
529.3,1575.6,0.0
529.3,1586.1,0.0
529.3,1596.5,0.0
529.3,1607.0,0.0
529.3,1617.5,0.0
529.3,1627.9,0.0
529.3,1638.4,0.0
529.3,1648.8,0.0
529.3,1659.3,0.0
529.3,1669.8,0.0
541.02,6.2313,0.058464
541.02,16.694,0.059727
541.02,27.156,0.060557
541.02,37.619,0.061277
541.02,48.081,0.061997
541.02,58.544,0.062718
541.02,69.006,0.063438
541.02,79.469,0.064158
541.02,89.931,0.064879
541.02,100.39,0.065784
541.02,110.86,0.071411
541.02,121.32,0.076151
541.02,131.78,0.079003
541.02,142.24,0.081856
541.02,152.71,0.084709
541.02,163.17,0.087561
541.02,173.63,0.090414
541.02,184.09,0.093267
541.02,194.56,0.096119
541.02,205.02,0.1036
541.02,215.48,0.11255
541.02,225.94,0.11932
541.02,236.41,0.1261
541.02,246.87,0.13288
541.02,257.33,0.14235
541.02,267.79,0.15124
541.02,278.26,0.15979
541.02,288.72,0.16835
541.02,299.18,0.17691
541.02,309.64,0.18645
541.02,320.11,0.19608
541.02,330.57,0.20571
541.02,341.03,0.21534
541.02,351.49,0.22588
541.02,361.96,0.23547
541.02,372.42,0.24403
541.02,382.88,0.25259
541.02,393.34,0.26115
541.02,403.81,0.27069
541.02,414.27,0.2804
541.02,424.73,0.2886
541.02,435.19,0.2968
541.02,445.66,0.305
541.02,456.12,0.32607
541.02,466.58,0.33605
541.02,477.04,0.34604
541.02,487.51,0.35602
541.02,497.97,0.36987
541.02,508.43,0.39625
541.02,518.89,0.0
541.02,529.36,0.0
541.02,539.82,0.0
541.02,550.28,0.0
541.02,560.74,0.0
541.02,571.21,0.0
541.02,581.67,0.0
541.02,592.13,0.0
541.02,602.59,0.0
541.02,613.06,0.0
541.02,623.52,0.0
541.02,633.98,0.0
541.02,644.44,0.0
541.02,654.91,0.0
541.02,665.37,0.0
541.02,675.83,0.0
541.02,686.29,0.0
541.02,696.76,0.0
541.02,707.22,0.0
541.02,717.68,0.0
541.02,728.14,0.0
541.02,738.61,0.0
541.02,749.07,0.0
541.02,759.53,0.0
541.02,769.99,0.0
541.02,780.46,0.0
541.02,790.92,0.0
541.02,801.38,0.0
541.02,811.84,0.0
541.02,822.31,0.0
541.02,832.77,0.0
541.02,843.23,0.0
541.02,853.69,0.0
541.02,864.16,0.0
541.02,874.62,0.0
541.02,885.08,0.0
541.02,895.54,0.0
541.02,906.01,0.0
541.02,916.47,0.0
541.02,926.93,0.0
541.02,937.39,0.0
541.02,947.86,0.0
541.02,958.32,0.0
541.02,968.78,0.0
541.02,979.24,0.0
541.02,989.71,0.0
541.02,1000.2,0.0
541.02,1010.6,0.0
541.02,1021.1,0.0
541.02,1031.6,0.0
541.02,1042.0,0.0
541.02,1052.5,0.0
541.02,1062.9,0.0
541.02,1073.4,0.0
541.02,1083.9,0.0
541.02,1094.3,0.0
541.02,1104.8,0.0
541.02,1115.3,0.0
541.02,1125.7,0.0
541.02,1136.2,0.0
541.02,1146.6,0.0
541.02,1157.1,0.0
541.02,1167.6,0.0
541.02,1178.0,0.0
541.02,1188.5,0.0
541.02,1199.0,0.0
541.02,1209.4,0.0
541.02,1219.9,0.0
541.02,1230.3,0.0
541.02,1240.8,0.0
541.02,1251.3,0.0
541.02,1261.7,0.0
541.02,1272.2,0.0
541.02,1282.7,0.0
541.02,1293.1,0.0
541.02,1303.6,0.0
541.02,1314.0,0.0
541.02,1324.5,0.0
541.02,1335.0,0.0
541.02,1345.4,0.0
541.02,1355.9,0.0
541.02,1366.4,0.0
541.02,1376.8,0.0
541.02,1387.3,0.0
541.02,1397.7,0.0
541.02,1408.2,0.0
541.02,1418.7,0.0
541.02,1429.1,0.0
541.02,1439.6,0.0
541.02,1450.1,0.0
541.02,1460.5,0.0
541.02,1471.0,0.0
541.02,1481.4,0.0
541.02,1491.9,0.0
541.02,1502.4,0.0
541.02,1512.8,0.0
541.02,1523.3,0.0
541.02,1533.8,0.0
541.02,1544.2,0.0
541.02,1554.7,0.0
541.02,1565.1,0.0
541.02,1575.6,0.0
541.02,1586.1,0.0
541.02,1596.5,0.0
541.02,1607.0,0.0
541.02,1617.5,0.0
541.02,1627.9,0.0
541.02,1638.4,0.0
541.02,1648.8,0.0
541.02,1659.3,0.0
541.02,1669.8,0.0
552.73,6.2313,0.052334
552.73,16.694,0.053054
552.73,27.156,0.053774
552.73,37.619,0.054495
552.73,48.081,0.055215
552.73,58.544,0.055935
552.73,69.006,0.056656
552.73,79.469,0.057376
552.73,89.931,0.058097
552.73,100.39,0.05859
552.73,110.86,0.060876
552.73,121.32,0.063729
552.73,131.78,0.066582
552.73,142.24,0.069434
552.73,152.71,0.072287
552.73,163.17,0.075139
552.73,173.63,0.077992
552.73,184.09,0.080845
552.73,194.56,0.083697
552.73,205.02,0.088432
552.73,215.48,0.095207
552.73,225.94,0.10198
552.73,236.41,0.10876
552.73,246.87,0.11553
552.73,257.33,0.12272
552.73,267.79,0.13128
552.73,278.26,0.13984
552.73,288.72,0.14839
552.73,299.18,0.15639
552.73,309.64,0.16532
552.73,320.11,0.17495
