#: table_doi: 10.17182/hepdata.90835.v1/t62
#: name: T2qq observed + 1 s.d.(theory) mass limit curve
#: description: Exclusion limits assuming the approximate-NNLO+NNLL cross sections (u d s c)
#: data_file: t2qq_observed_+_1_s.d.(theory)_mass_limit_curve.yaml
#: keyword observables: CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SQUARK SQUARK | SQUARK --> Q NEUTRALINO1
#: LUMINOSITY [fb$^{-1}$],137
#: Limit boundary,Observed + 1 s.d.(theory)
M(SQUARK) [GeV],M(NEUTRALINO1) [GeV]
593.71,568.71
913.73,888.73
928.5,903.5
940.81,915.81
949.18,924.18
966.04,941.04
975.65,937.83
965.65,917.17
950.0,900.82
949.19,899.59
950.0,898.08
965.14,850.0
973.13,826.87
964.74,800.0
976.24,776.24
1000.0,780.51
1015.8,784.22
1050.0,777.45
1073.7,776.29
1100.0,794.01
1104.1,795.86
1150.0,792.32
1159.3,790.73
1190.7,800.0
1198.5,801.48
1200.0,801.86
1246.5,803.51
1250.0,803.28
1294.6,805.42
1300.0,807.82
1342.2,807.83
1350.0,807.32
1398.9,801.14
1400.0,801.07
1401.0,800.96
1403.4,800.0
1450.0,773.42
1461.6,761.64
1500.0,710.85
1507.9,700.0
1550.0,617.19
1560.1,600.0
1576.1,552.19
1600.0,503.49
1600.6,501.25
1601.3,500.0
1602.9,494.27
1625.0,400.0
1640.4,319.15
1644.4,300.0
1645.9,291.76
1650.0,268.24
1660.8,200.0
1662.0,176.06
1668.0,100.0
1667.8,64.673
1670.9,1.0

