#: table_doi: 10.17182/hepdata.90835.v1/t64
#: name: T2qq expected mass limit curve
#: description: Exclusion limits assuming the approximate-NNLO+NNLL cross sections (u d s c)
#: data_file: t2qq_expected_mass_limit_curve.yaml
#: keyword observables: CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SQUARK SQUARK | SQUARK --> Q NEUTRALINO1
#: LUMINOSITY [fb$^{-1}$],137
#: Limit boundary,Expected
M(SQUARK) [GeV],M(NEUTRALINO1) [GeV]
574.48,552.78
839.94,806.29
867.81,832.91
869.87,833.4
900.0,846.58
939.17,854.05
950.0,856.02
959.56,857.76
1010.8,800.0
1050.0,781.65
1075.0,775.0
1100.0,773.77
1120.8,779.22
1150.0,778.13
1180.7,769.3
1200.0,769.64
1237.0,763.04
1250.0,761.54
1290.0,750.0
1300.0,747.22
1338.6,738.64
1350.0,734.04
1394.1,705.88
1400.0,702.38
1402.8,700.0
1432.4,664.77
1450.0,650.0
1493.6,600.0
1500.0,590.0
1528.8,557.69
1550.0,526.67
1556.9,513.79
1566.7,500.0
1600.0,431.43
1612.2,400.0
1625.0,350.0
1636.9,300.0
1640.8,281.67
1650.0,231.25
1655.3,200.0
1656.0,188.1
1664.4,100.0
1665.3,69.694
1668.5,1.0
1668.5,1.0

