#: table_doi: 10.17182/hepdata.79538.v7/t73
#: name: EffSRDhigh
#: description: Efficiencies for SRD-high for the natural SUSY-inspired mixed grid in which two decay modes are considered, the $\tilde{t}\to t^{(*)} \tilde{\chi^{0}_{1}}$ and $\tilde{t}\to b \tilde{\chi^{\pm}_{1}} \to b W^{(*)} \tilde{\chi^{0}_{1}}$, with $m(\tilde{\chi^{\pm}_{1}})-m(\tilde{\chi^{0}_{1}}) = 1$ GeV.
#: data_file: AuxFigure11a_2.yaml
#: data_license:   
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword reactions: P P -->  STOP STOP X
#: keyword observables: EFF
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,P P -->  STOP STOP X
#: SQRT(S) [GEV],13000.0
M(NEUTRALINO1) [GEV],M(STOP1) [GEV],SIGNAL EFFICIENCY [PERCENT]
100.0,1000.0,29.64
150.0,1000.0,31.89
200.0,1000.0,31.12
250.0,1000.0,23.74
300.0,1000.0,31.75
350.0,1000.0,31.35
400.0,1000.0,33.65
450.0,1000.0,31.47
500.0,1000.0,29.22
550.0,1000.0,28.92
600.0,1000.0,48.41
100.0,1050.0,25.3
150.0,1050.0,27.53
200.0,1050.0,28.86
250.0,1050.0,27.9
300.0,1050.0,29.58
350.0,1050.0,24.24
400.0,1050.0,29.34
450.0,1050.0,29.92
500.0,1050.0,28.95
550.0,1050.0,33.33
100.0,1100.0,26.55
150.0,1100.0,28.4
200.0,1100.0,24.31
250.0,1100.0,29.82
300.0,1100.0,26.75
350.0,1100.0,28.43
400.0,1100.0,29.32
450.0,1100.0,29.07
500.0,1100.0,26.03
550.0,1100.0,23.52
100.0,1150.0,27.14
150.0,1150.0,30.92
200.0,1150.0,25.92
250.0,1150.0,24.65
300.0,1150.0,33.52
350.0,1150.0,25.98
400.0,1150.0,27.89
450.0,1150.0,25.18
500.0,1150.0,25.11
550.0,1150.0,30.49
100.0,1200.0,23.02
150.0,1200.0,24.95
200.0,1200.0,22.53
250.0,1200.0,27.4
300.0,1200.0,28.8
350.0,1200.0,25.73
400.0,1200.0,27.78
450.0,1200.0,35.14
500.0,1200.0,26.6
550.0,1200.0,26.83
100.0,1250.0,21.63
150.0,1250.0,26.68
200.0,1250.0,27.13
250.0,1250.0,23.23
300.0,1250.0,27.87
350.0,1250.0,24.25
400.0,1250.0,21.85
450.0,1250.0,23.25
500.0,1250.0,25.03
550.0,1250.0,22.85
100.0,1300.0,23.72
150.0,1300.0,22.0
200.0,1300.0,25.64
250.0,1300.0,25.91
300.0,1300.0,19.45
350.0,1300.0,19.6
400.0,1300.0,27.95
450.0,1300.0,21.75
500.0,1300.0,27.34
550.0,1300.0,24.55
100.0,300.0,52.46
100.0,500.0,35.28
100.0,550.0,31.58
150.0,550.0,36.89
100.0,600.0,29.76
150.0,600.0,26.54
250.0,600.0,37.34
300.0,600.0,37.69
100.0,650.0,36.97
150.0,650.0,34.44
200.0,650.0,21.77
250.0,650.0,40.04
300.0,650.0,27.54
350.0,650.0,29.97
100.0,700.0,27.01
200.0,700.0,37.96
250.0,700.0,22.94
300.0,700.0,36.57
350.0,700.0,25.89
400.0,700.0,36.15
450.0,700.0,37.19
100.0,750.0,32.42
150.0,750.0,28.46
200.0,750.0,34.28
250.0,750.0,27.68
300.0,750.0,39.3
350.0,750.0,34.32
400.0,750.0,38.31
450.0,750.0,47.08
500.0,750.0,51.78
550.0,750.0,65.09
100.0,800.0,30.3
150.0,800.0,28.83
200.0,800.0,25.71
250.0,800.0,29.14
300.0,800.0,35.47
350.0,800.0,29.15
400.0,800.0,38.31
450.0,800.0,37.98
500.0,800.0,42.71
100.0,850.0,30.73
150.0,850.0,34.7
200.0,850.0,28.46
250.0,850.0,29.43
300.0,850.0,31.03
350.0,850.0,29.52
400.0,850.0,37.5
450.0,850.0,29.54
500.0,850.0,48.27
550.0,850.0,35.2
100.0,900.0,27.88
150.0,900.0,28.44
200.0,900.0,32.17
250.0,900.0,29.05
300.0,900.0,27.69
350.0,900.0,31.61
400.0,900.0,36.78
450.0,900.0,38.13
500.0,900.0,35.11
550.0,900.0,30.2
600.0,900.0,52.67
100.0,950.0,27.04
150.0,950.0,25.79
200.0,950.0,32.04
250.0,950.0,25.54
300.0,950.0,27.11
350.0,950.0,30.09
400.0,950.0,29.99
450.0,950.0,33.23
500.0,950.0,29.68
550.0,950.0,41.04
600.0,950.0,57.49

