#: table_doi: 10.17182/hepdata.79538.v7/t52
#: name: AccSRC1
#: description: Acceptance for SRC1 for top squark pair production in the case where both top squarks decay via $\tilde{t}\to t^{(*)} \tilde{\chi^{0}_{1}}$.
#: data_file: AuxFigure7a.yaml
#: data_license:   
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword reactions: P P -->  STOP STOP X
#: keyword observables: ACC
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,P P -->  STOP STOP X
#: SQRT(S) [GEV],13000.0
M(STOP1)-M(NEUTRALINO1) [GEV],M(STOP1) [GEV],SIGNAL ACCEPTANCE [PERCENT]
173.0,200.0,0.64
173.0,225.0,2.95
188.0,250.0,11.86
173.0,250.0,19.13
188.0,300.0,22.49
173.0,300.0,27.01
200.0,350.0,16.39
188.0,350.0,15.99
173.0,350.0,8.94
225.0,400.0,10.2
200.0,400.0,12.1
188.0,400.0,7.12
173.0,400.0,4.6
200.0,450.0,13.92
188.0,450.0,7.87
173.0,450.0,1.51
200.0,500.0,7.43
188.0,500.0,5.67
173.0,500.0,2.31
200.0,550.0,13.78
188.0,550.0,1.83
173.0,550.0,3.38
200.0,600.0,2.67
188.0,600.0,4.3
173.0,600.0,4.11
200.0,650.0,6.67
188.0,650.0,0.0
173.0,650.0,3.53
200.0,700.0,0.0
200.0,750.0,0.0
200.0,800.0,12.3
167.0,190.0,0.96
167.0,220.0,3.45
150.0,250.0,7.69
120.0,250.0,2.13
90.0,250.0,0.0
150.0,300.0,4.57
90.0,300.0,0.0
165.0,350.0,2.93
150.0,350.0,2.89
120.0,350.0,0.32
90.0,350.0,0.0
165.0,400.0,3.31
150.0,400.0,2.0
120.0,400.0,0.72
90.0,400.0,0.88
165.0,450.0,5.22
150.0,450.0,1.46
120.0,450.0,0.0
90.0,450.0,0.0
165.0,500.0,0.0
150.0,500.0,0.0
120.0,500.0,0.0
90.0,500.0,0.0
165.0,550.0,7.31
150.0,550.0,0.0
120.0,550.0,0.0
90.0,550.0,0.0
165.0,600.0,0.0
150.0,600.0,4.87
120.0,600.0,0.0
90.0,600.0,0.0
165.0,650.0,0.0
150.0,650.0,5.15
120.0,650.0,0.0
90.0,650.0,0.0

