#: table_doi: 10.17182/hepdata.79538.v7/t59
#: name: AccSREGtc
#: description: Acceptance for SRE for gluino pair production in the case where both gluinos decay via $\tilde{g}\to t \tilde{t} \to t\tilde{\chi^{0}_{1}}+$soft and $\Delta m(\tilde{t},\tilde{\chi^{0}_{1}})=5$ GeV.
#: data_file: AuxFigure8b.yaml
#: data_license:   
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword reactions: P P -->  STOP STOP X
#: keyword observables: ACC
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,P P -->  GLUINO GLUINO X
#: SQRT(S) [GEV],13000.0
M(NEUTRALINO1) [GEV],M(GLUINO) [GEV],SIGNAL ACCEPTANCE [PERCENT]
600.0,1000.0,0.27
700.0,1000.0,0.03
750.0,1000.0,0.02
800.0,1000.0,0.02
750.0,1050.0,0.08
850.0,1050.0,0.02
500.0,1100.0,2.02
600.0,1100.0,0.88
650.0,1100.0,0.57
700.0,1100.0,0.27
800.0,1100.0,0.07
900.0,1100.0,0.02
1000.0,1200.0,0.02
300.0,1200.0,6.07
400.0,1200.0,5.1
500.0,1200.0,3.79
600.0,1200.0,2.51
700.0,1200.0,0.97
800.0,1200.0,0.31
900.0,1200.0,0.06
750.0,1250.0,1.14
1000.0,1300.0,0.12
300.0,1300.0,7.36
400.0,1300.0,6.85
500.0,1300.0,5.44
600.0,1300.0,4.64
700.0,1300.0,2.84
800.0,1300.0,1.29
900.0,1300.0,0.24
1000.0,1400.0,0.41
300.0,1400.0,9.06
400.0,1400.0,8.86
500.0,1400.0,7.6
600.0,1400.0,6.61
700.0,1400.0,4.67
800.0,1400.0,2.92
900.0,1400.0,1.45
1000.0,1500.0,1.56
1100.0,1500.0,0.41
1200.0,1500.0,0.08
1300.0,1500.0,0.05
1400.0,1500.0,0.0
300.0,1500.0,10.67
400.0,1500.0,9.72
500.0,1500.0,8.64
600.0,1500.0,8.25
700.0,1500.0,6.68
800.0,1500.0,5.77
900.0,1500.0,3.63
1000.0,1600.0,3.56
1100.0,1600.0,1.52
1200.0,1600.0,0.38
1300.0,1600.0,0.1
1400.0,1600.0,0.0
300.0,1600.0,11.58
400.0,1600.0,11.42
500.0,1600.0,10.82
600.0,1600.0,9.85
700.0,1600.0,8.65
800.0,1600.0,7.87
900.0,1600.0,5.55
1000.0,1700.0,5.85
1100.0,1700.0,4.09
1200.0,1700.0,1.89
1300.0,1700.0,0.52
1400.0,1700.0,0.11
300.0,1700.0,12.7
400.0,1700.0,11.97
500.0,1700.0,11.29
600.0,1700.0,10.47
700.0,1700.0,9.95
800.0,1700.0,9.33
900.0,1700.0,7.44
1000.0,1800.0,7.69
1100.0,1800.0,5.76
1200.0,1800.0,4.01
1300.0,1800.0,1.71
1400.0,1800.0,0.49
300.0,1800.0,13.03
400.0,1800.0,13.63
500.0,1800.0,12.98
600.0,1800.0,12.12
700.0,1800.0,11.58
800.0,1800.0,10.96
900.0,1800.0,9.09
1000.0,1900.0,9.66
1100.0,1900.0,7.94
1200.0,1900.0,6.62
1300.0,1900.0,4.46
1400.0,1900.0,2.04
300.0,1900.0,14.76
400.0,1900.0,14.05
500.0,1900.0,13.59
600.0,1900.0,12.81
700.0,1900.0,12.19
800.0,1900.0,11.05
900.0,1900.0,10.54
1000.0,2000.0,10.92
1100.0,2000.0,9.54
1200.0,2000.0,8.65
1300.0,2000.0,6.58
1400.0,2000.0,4.24
300.0,2000.0,15.03
400.0,2000.0,14.41
500.0,2000.0,13.42
600.0,2000.0,14.38
700.0,2000.0,12.57
800.0,2000.0,13.31
900.0,2000.0,11.87
600.0,800.0,0.01
650.0,850.0,0.01
650.0,900.0,0.03
700.0,900.0,0.01
650.0,950.0,0.08
700.0,950.0,0.04
750.0,950.0,0.01

