#: table_doi: 10.17182/hepdata.79538.v7/t48
#: name: AccSRATW
#: description: Acceptance for SRA-TW for top squark pair production in the case where both top squarks decay via $\tilde{t}\to t^{(*)} \tilde{\chi^{0}_{1}}$.
#: data_file: AuxFigure6b_1.yaml
#: data_license:   
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword reactions: P P -->  STOP STOP X
#: keyword observables: ACC
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,P P -->  STOP STOP X
#: SQRT(S) [GEV],13000.0
M(NEUTRALINO1) [GEV],M(STOP1) [GEV],SIGNAL ACCEPTANCE [PERCENT]
1.0,1000.0,3.56
100.0,1000.0,3.49
150.0,1000.0,3.44
200.0,1000.0,3.34
250.0,1000.0,3.26
300.0,1000.0,2.98
350.0,1000.0,2.8
400.0,1000.0,2.38
450.0,1000.0,2.27
500.0,1000.0,1.76
550.0,1000.0,1.3
600.0,1000.0,0.87
1.0,1050.0,3.73
100.0,1050.0,3.57
150.0,1050.0,3.66
200.0,1050.0,3.71
250.0,1050.0,3.64
300.0,1050.0,3.74
350.0,1050.0,3.26
400.0,1050.0,2.94
450.0,1050.0,2.17
50.0,1050.0,3.84
500.0,1050.0,2.49
550.0,1050.0,2.11
1.0,1100.0,3.55
150.0,1100.0,3.57
250.0,1100.0,3.36
300.0,1100.0,3.36
350.0,1100.0,3.3
400.0,1100.0,3.1
450.0,1100.0,2.99
500.0,1100.0,2.72
550.0,1100.0,2.13
400.0,1150.0,3.72
450.0,1150.0,3.24
500.0,1150.0,2.92
550.0,1150.0,2.92
450.0,1200.0,3.24
500.0,1200.0,3.3
550.0,1200.0,3.69
1.0,700.0,1.49
100.0,700.0,1.1
200.0,700.0,0.8
50.0,700.0,1.35
1.0,750.0,1.76
100.0,750.0,1.73
150.0,750.0,1.41
200.0,750.0,1.18
250.0,750.0,1.04
50.0,750.0,1.74
1.0,800.0,2.28
100.0,800.0,2.27
150.0,800.0,1.94
200.0,800.0,1.86
250.0,800.0,1.53
300.0,800.0,1.19
350.0,800.0,0.9
50.0,800.0,2.16
1.0,850.0,2.78
100.0,850.0,2.36
150.0,850.0,2.62
200.0,850.0,2.37
250.0,850.0,2.05
300.0,850.0,1.74
350.0,850.0,1.28
400.0,850.0,1.1
450.0,850.0,0.63
50.0,850.0,2.55
1.0,900.0,3.2
100.0,900.0,2.83
150.0,900.0,2.72
200.0,900.0,2.72
250.0,900.0,2.53
300.0,900.0,2.13
350.0,900.0,1.91
400.0,900.0,1.58
450.0,900.0,1.17
50.0,900.0,2.91
500.0,900.0,0.65
550.0,900.0,0.32
1.0,950.0,3.15
100.0,950.0,2.97
150.0,950.0,2.98
200.0,950.0,3.06
250.0,950.0,2.93
300.0,950.0,2.41
350.0,950.0,2.53
400.0,950.0,2.04
450.0,950.0,1.74
50.0,950.0,3.25
500.0,950.0,1.41
550.0,950.0,0.68
600.0,950.0,0.35

