#: table_doi: 10.17182/hepdata.79538.v7/t50
#: name: AccSRAT0
#: description: Acceptance for SRA-T0 for top squark pair production in the case where both top squarks decay via $\tilde{t}\to t^{(*)} \tilde{\chi^{0}_{1}}$.
#: data_file: AuxFigure6c_1.yaml
#: data_license:   
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword reactions: P P -->  STOP STOP X
#: keyword observables: ACC
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,P P -->  STOP STOP X
#: SQRT(S) [GEV],13000.0
M(NEUTRALINO1) [GEV],M(STOP1) [GEV],SIGNAL ACCEPTANCE [PERCENT]
1.0,1000.0,5.81
100.0,1000.0,5.65
150.0,1000.0,5.71
200.0,1000.0,5.46
250.0,1000.0,5.37
300.0,1000.0,4.96
350.0,1000.0,4.52
400.0,1000.0,4.01
450.0,1000.0,3.53
500.0,1000.0,2.97
550.0,1000.0,1.78
600.0,1000.0,1.08
1.0,1050.0,6.26
100.0,1050.0,6.0
150.0,1050.0,5.71
200.0,1050.0,5.77
250.0,1050.0,5.58
300.0,1050.0,5.36
350.0,1050.0,4.98
400.0,1050.0,4.49
450.0,1050.0,4.32
50.0,1050.0,5.91
500.0,1050.0,3.88
550.0,1050.0,2.83
1.0,1100.0,6.15
150.0,1100.0,6.3
250.0,1100.0,5.89
300.0,1100.0,5.86
350.0,1100.0,5.55
400.0,1100.0,5.22
450.0,1100.0,5.26
500.0,1100.0,4.78
550.0,1100.0,4.3
400.0,1150.0,5.51
450.0,1150.0,5.63
500.0,1150.0,5.17
550.0,1150.0,4.82
450.0,1200.0,6.16
500.0,1200.0,5.57
550.0,1200.0,5.35
1.0,700.0,2.08
100.0,700.0,1.78
200.0,700.0,1.01
50.0,700.0,1.89
1.0,750.0,2.88
100.0,750.0,2.64
150.0,750.0,2.26
200.0,750.0,2.01
250.0,750.0,1.45
50.0,750.0,2.52
1.0,800.0,3.64
100.0,800.0,3.15
150.0,800.0,3.22
200.0,800.0,2.6
250.0,800.0,2.22
300.0,800.0,1.86
350.0,800.0,1.06
50.0,800.0,3.47
1.0,850.0,4.36
100.0,850.0,4.26
150.0,850.0,4.06
200.0,850.0,3.87
250.0,850.0,3.35
300.0,850.0,2.71
350.0,850.0,2.13
400.0,850.0,1.34
450.0,850.0,0.71
50.0,850.0,4.38
1.0,900.0,4.97
100.0,900.0,4.55
150.0,900.0,4.62
200.0,900.0,4.2
250.0,900.0,4.12
300.0,900.0,3.66
350.0,900.0,3.07
400.0,900.0,2.43
450.0,900.0,1.46
50.0,900.0,4.78
500.0,900.0,0.75
550.0,900.0,0.2
1.0,950.0,5.45
100.0,950.0,5.08
150.0,950.0,4.97
200.0,950.0,4.85
250.0,950.0,4.82
300.0,950.0,4.32
350.0,950.0,3.72
400.0,950.0,3.36
450.0,950.0,2.29
50.0,950.0,5.34
500.0,950.0,1.55
550.0,950.0,0.8
600.0,950.0,0.48

