#: table_doi: 10.17182/hepdata.79538.v7/t71
#: name: EffSRC5
#: description: Efficiencies for SRC5 for top squark pair production in the case where both top squarks decay via $\tilde{t}\to t^{(*)} \tilde{\chi^{0}_{1}}$.
#: data_file: AuxFigure10e.yaml
#: data_license:   
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword reactions: P P -->  STOP STOP X
#: keyword observables: EFF
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,P P -->  STOP STOP X
#: SQRT(S) [GEV],13000.0
M(STOP1)-M(NEUTRALINO1) [GEV],M(STOP1) [GEV],SIGNAL EFFICIENCY [PERCENT]
173.0,200.0,nan
173.0,225.0,65.56
188.0,250.0,90.73
173.0,250.0,98.85
188.0,300.0,inf
173.0,300.0,inf
200.0,350.0,86.36
188.0,350.0,100.3
173.0,350.0,31.05
225.0,400.0,17.2
200.0,400.0,123.04
188.0,400.0,78.96
173.0,400.0,151.73
200.0,450.0,61.03
188.0,450.0,105.64
173.0,450.0,64.43
200.0,500.0,148.8
188.0,500.0,102.51
173.0,500.0,62.65
200.0,550.0,64.29
188.0,550.0,75.84
173.0,550.0,120.06
200.0,600.0,104.38
188.0,600.0,82.19
173.0,600.0,37.01
200.0,650.0,36.9
188.0,650.0,65.77
173.0,650.0,47.05
200.0,700.0,56.44
200.0,750.0,98.54
200.0,800.0,42.8
167.0,190.0,nan
167.0,220.0,nan
150.0,250.0,nan
120.0,250.0,150.51
90.0,250.0,78.44
150.0,300.0,95.13
90.0,300.0,35.95
165.0,350.0,27.64
150.0,350.0,26.36
120.0,350.0,32.22
90.0,350.0,35.46
165.0,400.0,inf
150.0,400.0,69.95
120.0,400.0,87.8
90.0,400.0,18.56
165.0,450.0,78.32
150.0,450.0,42.51
120.0,450.0,28.49
90.0,450.0,77.25
165.0,500.0,69.32
150.0,500.0,21.38
120.0,500.0,51.1
90.0,500.0,0.0
165.0,550.0,81.92
150.0,550.0,78.41
120.0,550.0,8.39
90.0,550.0,nan
165.0,600.0,56.84
150.0,600.0,53.6
120.0,600.0,12.22
90.0,600.0,0.0
165.0,650.0,43.15
150.0,650.0,86.36
120.0,650.0,67.76
90.0,650.0,46.45

