#: table_doi: 10.17182/hepdata.79538.v7/t62
#: name: EffSRE
#: description: Efficiencies for SRE for top squark pair production in the case where both top squarks decay via $\tilde{t}\to t^{(*)} \tilde{\chi^{0}_{1}}$.
#: data_file: AuxFigure9a_3.yaml
#: data_license:   
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword reactions: P P -->  STOP STOP X
#: keyword observables: EFF
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,P P -->  STOP STOP X
#: SQRT(S) [GEV],13000.0
M(NEUTRALINO1) [GEV],M(STOP1) [GEV],SIGNAL EFFICIENCY [PERCENT]
100.0,1100.0,69.42
200.0,1100.0,64.57
50.0,1100.0,73.17
1.0,1150.0,65.09
100.0,1150.0,67.36
150.0,1150.0,68.14
200.0,1150.0,65.49
250.0,1150.0,65.82
300.0,1150.0,71.05
350.0,1150.0,74.87
50.0,1150.0,69.66
1.0,1200.0,62.24
100.0,1200.0,62.52
150.0,1200.0,65.79
200.0,1200.0,65.99
250.0,1200.0,64.79
300.0,1200.0,66.05
350.0,1200.0,67.67
400.0,1200.0,68.89
50.0,1200.0,67.75
1.0,1250.0,61.43
100.0,1250.0,68.07
150.0,1250.0,64.07
200.0,1250.0,65.82
250.0,1250.0,70.15
300.0,1250.0,69.52
350.0,1250.0,67.46
400.0,1250.0,69.08
450.0,1250.0,75.74
50.0,1250.0,64.17
500.0,1250.0,68.67
550.0,1250.0,70.88
1.0,1300.0,63.57
100.0,1300.0,63.02
150.0,1300.0,60.09
200.0,1300.0,63.93
250.0,1300.0,62.84
300.0,1300.0,62.13
350.0,1300.0,64.27
400.0,1300.0,65.5
450.0,1300.0,66.16
50.0,1300.0,62.35
500.0,1300.0,68.59
550.0,1300.0,68.17

