#: table_doi: 10.17182/hepdata.79538.v7/t46
#: name: AccSRBTT
#: description: Acceptance for SRB-TT for top squark pair production in the case where both top squarks decay via $\tilde{t}\to t^{(*)} \tilde{\chi^{0}_{1}}$.
#: data_file: AuxFigure6a_2.yaml
#: data_license:   
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword reactions: P P -->  STOP STOP X
#: keyword observables: ACC
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,P P -->  STOP STOP X
#: SQRT(S) [GEV],13000.0
M(NEUTRALINO1) [GEV],M(STOP1) [GEV],SIGNAL ACCEPTANCE [PERCENT]
100.0,450.0,0.53
150.0,450.0,0.36
200.0,450.0,0.15
50.0,450.0,0.75
1.0,500.0,1.25
100.0,500.0,1.07
150.0,500.0,0.78
200.0,500.0,0.44
250.0,500.0,0.21
50.0,500.0,1.25
1.0,550.0,1.91
100.0,550.0,1.85
150.0,550.0,1.36
250.0,550.0,0.56
300.0,550.0,0.24
50.0,550.0,1.75
1.0,600.0,2.84
100.0,600.0,2.51
150.0,600.0,2.18
200.0,600.0,1.67
250.0,600.0,1.18
300.0,600.0,0.68
350.0,600.0,0.27
50.0,600.0,2.7
1.0,650.0,3.66
100.0,650.0,3.5
150.0,650.0,3.08
200.0,650.0,2.59
250.0,650.0,2.0
300.0,650.0,1.48
350.0,650.0,0.81
400.0,650.0,0.31
50.0,650.0,3.6
250.0,700.0,2.92
300.0,700.0,2.04
350.0,700.0,1.56
400.0,700.0,0.88
450.0,700.0,0.35
300.0,750.0,3.19
350.0,750.0,2.53
400.0,750.0,1.85
450.0,750.0,0.91
500.0,750.0,0.42
400.0,800.0,2.62
450.0,800.0,1.84
500.0,800.0,1.13
550.0,800.0,0.41
500.0,850.0,1.81
550.0,850.0,1.17
600.0,850.0,0.41
600.0,900.0,1.04

