#: table_doi: 10.17182/hepdata.79538.v7/t60
#: name: EffSRATT
#: description: Efficiencies for SRA-TT for top squark pair production in the case where both top squarks decay via $\tilde{t}\to t^{(*)} \tilde{\chi^{0}_{1}}$.
#: data_file: AuxFigure9a_1.yaml
#: data_license:   
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword reactions: P P -->  STOP STOP X
#: keyword observables: EFF
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,P P -->  STOP STOP X
#: SQRT(S) [GEV],13000.0
M(NEUTRALINO1) [GEV],M(STOP1) [GEV],SIGNAL EFFICIENCY [PERCENT]
1.0,1000.0,50.07
100.0,1000.0,48.42
150.0,1000.0,48.59
200.0,1000.0,47.59
250.0,1000.0,47.78
300.0,1000.0,48.2
350.0,1000.0,48.39
400.0,1000.0,50.27
450.0,1000.0,50.3
500.0,1000.0,55.45
550.0,1000.0,57.88
600.0,1000.0,49.51
1.0,1050.0,48.69
100.0,1050.0,47.02
150.0,1050.0,47.06
200.0,1050.0,47.49
250.0,1050.0,47.25
300.0,1050.0,45.8
350.0,1050.0,53.28
400.0,1050.0,51.04
450.0,1050.0,49.98
50.0,1050.0,43.78
500.0,1050.0,45.47
550.0,1050.0,58.1
1.0,1100.0,49.6
150.0,1100.0,46.37
250.0,1100.0,44.14
300.0,1100.0,47.29
350.0,1100.0,47.19
400.0,1100.0,45.96
450.0,1100.0,46.19
500.0,1100.0,50.91
550.0,1100.0,51.54
400.0,1150.0,49.12
450.0,1150.0,50.57
500.0,1150.0,49.99
550.0,1150.0,48.79
450.0,1200.0,44.83
500.0,1200.0,47.5
550.0,1200.0,47.77
1.0,700.0,52.77
100.0,700.0,49.13
200.0,700.0,57.62
50.0,700.0,49.24
1.0,750.0,49.43
100.0,750.0,51.83
150.0,750.0,52.49
200.0,750.0,46.91
250.0,750.0,46.69
50.0,750.0,53.3
1.0,800.0,50.19
100.0,800.0,52.24
150.0,800.0,48.69
200.0,800.0,55.0
250.0,800.0,51.06
300.0,800.0,50.18
350.0,800.0,42.1
50.0,800.0,52.64
1.0,850.0,50.01
100.0,850.0,50.73
150.0,850.0,50.5
200.0,850.0,48.81
250.0,850.0,50.47
300.0,850.0,52.0
350.0,850.0,52.68
400.0,850.0,53.53
450.0,850.0,57.77
50.0,850.0,50.99
1.0,900.0,50.18
100.0,900.0,47.36
150.0,900.0,48.56
200.0,900.0,49.7
250.0,900.0,50.82
300.0,900.0,52.65
350.0,900.0,49.02
400.0,900.0,50.09
450.0,900.0,47.51
50.0,900.0,49.03
500.0,900.0,67.59
550.0,900.0,80.98
1.0,950.0,48.27
100.0,950.0,48.47
150.0,950.0,48.9
200.0,950.0,46.35
250.0,950.0,48.85
300.0,950.0,51.21
350.0,950.0,51.1
400.0,950.0,49.61
450.0,950.0,50.64
50.0,950.0,48.92
500.0,950.0,52.27
550.0,950.0,48.61
600.0,950.0,56.7

