#: table_doi: 10.17182/hepdata.79538.v7/t65
#: name: EffSRAT0
#: description: Efficiencies for SRA-T0 for top squark pair production in the case where both top squarks decay via $\tilde{t}\to t^{(*)} \tilde{\chi^{0}_{1}}$.
#: data_file: AuxFigure9c_1.yaml
#: data_license:   
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword reactions: P P -->  STOP STOP X
#: keyword observables: EFF
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,P P -->  STOP STOP X
#: SQRT(S) [GEV],13000.0
M(NEUTRALINO1) [GEV],M(STOP1) [GEV],SIGNAL EFFICIENCY [PERCENT]
1.0,1000.0,48.7
100.0,1000.0,49.02
150.0,1000.0,48.8
200.0,1000.0,49.05
250.0,1000.0,51.49
300.0,1000.0,48.99
350.0,1000.0,50.15
400.0,1000.0,49.5
450.0,1000.0,47.83
500.0,1000.0,50.25
550.0,1000.0,54.08
600.0,1000.0,57.33
1.0,1050.0,46.55
100.0,1050.0,44.91
150.0,1050.0,45.83
200.0,1050.0,47.8
250.0,1050.0,45.28
300.0,1050.0,52.21
350.0,1050.0,51.26
400.0,1050.0,48.56
450.0,1050.0,50.71
50.0,1050.0,50.94
500.0,1050.0,55.08
550.0,1050.0,49.86
1.0,1100.0,43.92
150.0,1100.0,45.23
250.0,1100.0,48.83
300.0,1100.0,50.82
350.0,1100.0,52.3
400.0,1100.0,51.18
450.0,1100.0,51.78
500.0,1100.0,52.71
550.0,1100.0,47.33
400.0,1150.0,50.92
450.0,1150.0,50.14
500.0,1150.0,43.46
550.0,1150.0,49.48
450.0,1200.0,46.87
500.0,1200.0,49.58
550.0,1200.0,47.21
1.0,700.0,52.62
100.0,700.0,52.65
200.0,700.0,54.11
50.0,700.0,53.01
1.0,750.0,50.2
100.0,750.0,55.18
150.0,750.0,48.9
200.0,750.0,50.77
250.0,750.0,53.11
50.0,750.0,51.7
1.0,800.0,50.41
100.0,800.0,55.06
150.0,800.0,50.46
200.0,800.0,59.31
250.0,800.0,52.76
300.0,800.0,51.2
350.0,800.0,54.16
50.0,800.0,47.59
1.0,850.0,55.15
100.0,850.0,51.4
150.0,850.0,49.85
200.0,850.0,50.54
250.0,850.0,52.73
300.0,850.0,53.28
350.0,850.0,52.16
400.0,850.0,55.9
450.0,850.0,49.29
50.0,850.0,49.22
1.0,900.0,49.23
100.0,900.0,50.29
150.0,900.0,51.34
200.0,900.0,44.99
250.0,900.0,50.04
300.0,900.0,49.93
350.0,900.0,46.06
400.0,900.0,51.71
450.0,900.0,57.95
50.0,900.0,52.05
500.0,900.0,33.91
550.0,900.0,82.23
1.0,950.0,47.72
100.0,950.0,48.92
150.0,950.0,49.26
200.0,950.0,49.38
250.0,950.0,47.03
300.0,950.0,47.55
350.0,950.0,50.56
400.0,950.0,49.29
450.0,950.0,53.02
50.0,950.0,52.0
500.0,950.0,51.81
550.0,950.0,61.13
600.0,950.0,59.19

