#: table_doi: 10.17182/hepdata.79538.v7/t54
#: name: AccSRC3
#: description: Acceptance for SRC3 for top squark pair production in the case where both top squarks decay via $\tilde{t}\to t^{(*)} \tilde{\chi^{0}_{1}}$.
#: data_file: AuxFigure7c.yaml
#: data_license:   
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword reactions: P P -->  STOP STOP X
#: keyword observables: ACC
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,P P -->  STOP STOP X
#: SQRT(S) [GEV],13000.0
M(STOP1)-M(NEUTRALINO1) [GEV],M(STOP1) [GEV],SIGNAL ACCEPTANCE [PERCENT]
173.0,200.0,0.31
173.0,225.0,0.79
188.0,250.0,2.07
173.0,250.0,1.56
188.0,300.0,15.74
173.0,300.0,10.95
200.0,350.0,33.33
188.0,350.0,49.06
173.0,350.0,72.11
225.0,400.0,32.91
200.0,400.0,38.18
188.0,400.0,61.27
173.0,400.0,116.62
200.0,450.0,52.86
188.0,450.0,60.98
173.0,450.0,108.33
200.0,500.0,57.95
188.0,500.0,70.42
173.0,500.0,74.5
200.0,550.0,69.03
188.0,550.0,66.4
173.0,550.0,46.95
200.0,600.0,58.12
188.0,600.0,85.7
173.0,600.0,48.07
200.0,650.0,56.87
188.0,650.0,32.34
173.0,650.0,30.21
200.0,700.0,143.43
200.0,750.0,32.78
200.0,800.0,54.65
167.0,190.0,0.43
167.0,220.0,0.74
150.0,250.0,7.6
120.0,250.0,13.7
90.0,250.0,6.34
150.0,300.0,25.62
90.0,300.0,6.12
165.0,350.0,39.1
150.0,350.0,29.88
120.0,350.0,14.73
90.0,350.0,2.61
165.0,400.0,43.99
150.0,400.0,44.11
120.0,400.0,11.39
90.0,400.0,1.07
165.0,450.0,54.78
150.0,450.0,22.58
120.0,450.0,12.23
90.0,450.0,1.6
165.0,500.0,43.49
150.0,500.0,36.96
120.0,500.0,5.06
90.0,500.0,6.98
165.0,550.0,29.74
150.0,550.0,22.92
120.0,550.0,13.99
90.0,550.0,10.68
165.0,600.0,20.04
150.0,600.0,9.04
120.0,600.0,9.55
90.0,600.0,4.78
165.0,650.0,42.63
150.0,650.0,21.73
120.0,650.0,19.01
90.0,650.0,5.09

