#: table_doi: 10.17182/hepdata.79538.v7/t51
#: name: AccSRBT0
#: description: Acceptance for SRB-T0 for top squark pair production in the case where both top squarks decay via $\tilde{t}\to t^{(*)} \tilde{\chi^{0}_{1}}$.
#: data_file: AuxFigure6c_2.yaml
#: data_license:   
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword reactions: P P -->  STOP STOP X
#: keyword observables: ACC
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,P P -->  STOP STOP X
#: SQRT(S) [GEV],13000.0
M(NEUTRALINO1) [GEV],M(STOP1) [GEV],SIGNAL ACCEPTANCE [PERCENT]
100.0,450.0,1.48
150.0,450.0,0.91
200.0,450.0,0.3
50.0,450.0,1.95
1.0,500.0,2.96
100.0,500.0,2.51
150.0,500.0,2.01
200.0,500.0,1.2
250.0,500.0,0.4
50.0,500.0,2.67
1.0,550.0,3.5
100.0,550.0,3.17
150.0,550.0,2.97
250.0,550.0,1.55
300.0,550.0,0.53
50.0,550.0,3.49
1.0,600.0,4.21
100.0,600.0,4.11
150.0,600.0,4.05
200.0,600.0,3.43
250.0,600.0,2.74
300.0,600.0,1.65
350.0,600.0,0.74
50.0,600.0,4.29
1.0,650.0,4.72
100.0,650.0,4.46
150.0,650.0,4.49
200.0,650.0,4.15
250.0,650.0,3.78
300.0,650.0,2.81
350.0,650.0,1.93
400.0,650.0,0.84
50.0,650.0,4.79
250.0,700.0,4.11
300.0,700.0,3.93
350.0,700.0,2.98
400.0,700.0,2.06
450.0,700.0,0.8
300.0,750.0,4.61
350.0,750.0,3.94
400.0,750.0,3.29
450.0,750.0,2.19
500.0,750.0,0.88
400.0,800.0,4.25
450.0,800.0,3.24
500.0,800.0,2.52
550.0,800.0,1.01
500.0,850.0,3.6
550.0,850.0,2.37
600.0,850.0,1.02
600.0,900.0,2.38

