#: table_doi: 10.17182/hepdata.79538.v7/t68
#: name: EffSRC2
#: description: Efficiencies for SRC2 for top squark pair production in the case where both top squarks decay via $\tilde{t}\to t^{(*)} \tilde{\chi^{0}_{1}}$.
#: data_file: AuxFigure10b.yaml
#: data_license:   
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword reactions: P P -->  STOP STOP X
#: keyword observables: EFF
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,P P -->  STOP STOP X
#: SQRT(S) [GEV],13000.0
M(STOP1)-M(NEUTRALINO1) [GEV],M(STOP1) [GEV],SIGNAL EFFICIENCY [PERCENT]
173.0,200.0,36.98
173.0,225.0,34.57
188.0,250.0,38.18
173.0,250.0,50.42
188.0,300.0,40.81
173.0,300.0,33.78
200.0,350.0,39.73
188.0,350.0,32.81
173.0,350.0,34.35
225.0,400.0,59.07
200.0,400.0,36.07
188.0,400.0,40.72
173.0,400.0,43.83
200.0,450.0,27.24
188.0,450.0,33.18
173.0,450.0,39.43
200.0,500.0,66.14
188.0,500.0,34.1
173.0,500.0,47.65
200.0,550.0,32.83
188.0,550.0,62.84
173.0,550.0,34.34
200.0,600.0,30.01
188.0,600.0,63.42
173.0,600.0,33.1
200.0,650.0,94.67
188.0,650.0,18.98
173.0,650.0,30.75
200.0,700.0,69.23
200.0,750.0,nan
200.0,800.0,nan
167.0,190.0,18.93
167.0,220.0,27.98
150.0,250.0,32.27
120.0,250.0,20.81
90.0,250.0,39.11
150.0,300.0,22.4
90.0,300.0,29.7
165.0,350.0,35.55
150.0,350.0,22.2
120.0,350.0,45.37
90.0,350.0,23.24
165.0,400.0,42.09
150.0,400.0,37.56
120.0,400.0,19.48
90.0,400.0,0.0
165.0,450.0,32.1
150.0,450.0,10.61
120.0,450.0,32.01
90.0,450.0,51.74
165.0,500.0,100.04
150.0,500.0,85.72
120.0,500.0,nan
90.0,500.0,nan
165.0,550.0,59.13
150.0,550.0,inf
120.0,550.0,nan
90.0,550.0,nan
165.0,600.0,93.97
150.0,600.0,76.91
120.0,600.0,nan
90.0,600.0,nan
165.0,650.0,0.0
150.0,650.0,65.33
120.0,650.0,nan
90.0,650.0,nan

