#: table_doi: 10.17182/hepdata.81996.v1/t15
#: name: Table 15
#: description: Expected 95% CL exclusion limit for direct slepton production.
#: data_file: fig_08b_Expected.yaml
#: data_license:   
#: keyword reactions: P P --> Slepton Slepton
#: keyword observables: GIVE KEY FOR Y-AXIS VARIABLE
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#$m(\tilde{\ell})$ [GEV],$m(\widetilde{\chi}_1^0)$ [GEV]
533.823448231,245.3875
539.058175992,235.4125
542.5,226.909948037
543.191421226,225.4375
547.875422806,215.4625
552.332138031,205.4875
554.751770778,195.5125
555.747869278,185.5375
557.5,177.730715715
558.162243644,175.5625
560.758593136,165.5875
562.65708979,155.6125
564.056033947,145.6375
564.665147588,135.6625
565.353014985,125.6875
566.110408471,115.7125
567.209875029,105.7375
568.388381622,95.7625
569.642555653,85.7875
570.966370243,75.8125
572.181103208,65.8375
572.5,63.0609615943
573.575554867,55.8625
573.630941,45.8875
573.043604698,35.9125
572.5,26.6394433652
572.458948195,25.9375
571.875569669,15.9625
571.292200589,5.9875
118.332989443,5.9875
122.5,7.81954413001
130.018384156,15.9625
129.12255665,25.9375
129.599723892,35.9125
130.402513044,45.8875
134.819892631,55.8625
137.5,60.7161714416
141.919727196,65.8375
149.33872833,75.8125
152.5,79.3933468997
160.988976467,85.7875
167.054716339,95.7625
167.5,96.2077836583
178.334004641,105.7375
182.5,110.211999716
190.291635285,115.7125
197.5,124.166686809
199.574690515,125.6875
211.398815456,135.6625
212.5,136.818549164
224.803983492,145.6375
227.5,148.189723505
237.621641717,155.6125
242.5,160.077116334
249.84418423,165.5875
257.5,170.960176815
264.902131181,175.5625
272.5,180.215141753
281.191530632,185.5375
287.5,189.933273614
301.861020354,195.5125
302.5,195.772143091
317.5,199.233318599
332.5,202.693919414
343.882515177,205.4875
347.5,206.622273052
354.66725555,215.4625
360.451647636,225.4375
362.5,228.413199606
369.483070636,235.4125
376.367925495,245.3875
377.5,246.497463553
392.5,248.459373378
407.5,250.43720968
422.5,252.541283792
430.328162861,255.3625
436.151502131,265.3375
437.5,271.056847066
452.5,267.737477035
461.797283237,265.3375
467.5,263.84936645
471.455543812,265.3375
482.5,271.370783725
497.5,268.712118872
504.591436403,265.3375
512.5,261.574032848
527.195290211,255.3625
527.5,255.127718136
533.823448231,245.3875

