#: table_doi: 10.17182/hepdata.89413.v1/t46
#: name: xsec upper limits 2
#: description: Upper limits on signal cross-section (fb) for chargino-pair production with slepton/sneutrino-mediated decays. The mass relation $m(\tilde{l}_L)=\frac{1}{2}[m(\tilde{\chi}^{\pm}_1 + m(\tilde{\chi}^{0}_1)]$ is assumed.
#: data_file: C1C1_Slep_UpperLimits.yaml
#: data_license:   
#: keyword reactions: pp --> CHARGINO1 CHARGINO1 | CHARGINO1 --> SLEPTON NU | CHARGINO1 -->SNU LEPTON | SLEPTON --> LEPTON NEUTRALINO1
#: keyword observables: CLS
#: keyword phrases: Proton-Proton Scattering | SUSY | Supersymmetry | Electroweak | Chargino | Slepton
#: keyword cmenergies: 13000.0
#: $\sqrt{s}$ [GeV],13000.0
#: $m(\tilde{\chi}^{\pm}_1)$ [GeV],$m(\tilde{\chi}^0_1)$ [GeV],$\sigma$ [fb]
150.0,1.0,183.01
150.0,50.0,2858.03
250.0,150.0,1030.06
300.0,200.0,999.7
350.0,200.0,24.82
400.0,100.0,3.58
400.0,200.0,8.79
400.0,250.0,21.61
400.0,300.0,646.49
500.0,1.0,1.61
500.0,100.0,1.93
500.0,200.0,2.79
500.0,300.0,8.86
500.0,400.0,802.52
550.0,350.0,7.4
600.0,100.0,1.3
600.0,200.0,1.74
600.0,300.0,2.72
600.0,400.0,7.88
650.0,450.0,7.93
700.0,1.0,1.0
700.0,100.0,0.97
700.0,200.0,1.15
700.0,300.0,1.58
700.0,400.0,2.24
700.0,500.0,7.39
750.0,450.0,2.37
800.0,100.0,0.82
800.0,200.0,0.93
800.0,300.0,1.08
800.0,400.0,1.45
800.0,500.0,2.48
850.0,50.0,0.78
850.0,150.0,0.81
850.0,250.0,0.88
850.0,350.0,1.12
850.0,450.0,1.52
900.0,1.0,0.76
900.0,100.0,0.75
900.0,200.0,0.81
900.0,300.0,0.87
900.0,400.0,1.07
900.0,500.0,1.52
950.0,50.0,0.71
950.0,150.0,0.72
950.0,250.0,0.77
950.0,350.0,0.9
1000.0,1.0,0.65
1000.0,100.0,0.69
1000.0,200.0,0.72
1000.0,300.0,0.75
1050.0,50.0,0.7
1050.0,150.0,0.71
1050.0,250.0,0.75
1050.0,350.0,0.75

