#: table_doi: 10.17182/hepdata.89413.v1/t45
#: name: xsec upper limits 1
#: description: Upper limits on signal cross-section (fb) for chargino-pair production with W -boson-mediated decays.
#: data_file: C1C1_WW_UpperLimits.yaml
#: data_license:   
#: keyword reactions: pp --> CHARGINO1 CHARGINO1 | CHARGINO1 --> W NEUTRALINO1
#: keyword observables: CLS
#: keyword phrases: Proton-Proton Scattering | SUSY | Supersymmetry | Electroweak | Chargino | Slepton
#: keyword cmenergies: 13000.0
#: $\sqrt{s}$ [GeV],13000.0
#: $m(\tilde{\chi}^{\pm}_1)$ [GeV],$m(\tilde{\chi}^0_1)$ [GeV],$\sigma$ [fb]
125.0,1.0,6005.43
125.0,25.0,14303.62
150.0,1.0,1527.07
150.0,25.0,2160.92
150.0,50.0,6108.31
175.0,1.0,674.56
175.0,25.0,685.73
175.0,50.0,1342.03
200.0,1.0,368.72
200.0,25.0,414.39
200.0,50.0,473.69
200.0,100.0,2716.99
225.0,1.0,172.61
225.0,25.0,184.28
225.0,50.0,215.48
225.0,100.0,481.43
250.0,1.0,202.27
250.0,25.0,220.73
250.0,50.0,206.05
250.0,75.0,269.17
250.0,100.0,350.62
250.0,125.0,616.25
275.0,25.0,107.69
275.0,50.0,113.66
275.0,75.0,139.35
275.0,100.0,148.37
275.0,125.0,301.34
275.0,175.0,2527.35
300.0,25.0,131.29
300.0,50.0,124.13
300.0,75.0,151.98
300.0,125.0,200.76
300.0,150.0,278.4
325.0,1.0,91.35
325.0,25.0,95.9
325.0,50.0,92.15
325.0,100.0,115.52
325.0,125.0,161.61
350.0,1.0,81.23
350.0,25.0,79.09
350.0,50.0,82.36
350.0,75.0,72.72
350.0,100.0,90.38
350.0,125.0,103.86
350.0,150.0,149.89
375.0,1.0,60.64
375.0,25.0,66.15
375.0,75.0,71.13
375.0,100.0,74.78
375.0,125.0,91.48
375.0,150.0,101.14
400.0,1.0,52.4
400.0,25.0,53.66
400.0,50.0,49.6
400.0,100.0,67.25
400.0,125.0,64.12
400.0,150.0,81.18
425.0,1.0,47.9
425.0,25.0,49.14
425.0,50.0,54.18
425.0,75.0,47.16
425.0,100.0,49.54
450.0,1.0,43.49
450.0,50.0,47.05
450.0,100.0,43.7
450.0,150.0,56.67
475.0,25.0,37.76
475.0,75.0,40.29
475.0,125.0,45.82
500.0,1.0,34.06
500.0,50.0,33.1
500.0,100.0,38.14
500.0,150.0,38.83
500.0,200.0,49.88

