#: table_doi: 10.17182/hepdata.89413.v1/t24
#: name: Exclusion contour (exp) 3
#: description: Expected exclusion limits on SUSY simplified models for slepton-pair production. All limits are computed at 95% CL.
#: data_file: Fig_7c_EXP_DirSlep.yaml
#: data_license:   
#: keyword reactions: pp --> SLEPTON SLEPTON | SLEPTON --> LEPTON NEUTRALINO1
#: keyword observables: CLS
#: keyword phrases: Proton-Proton Scattering | SUSY | Supersymmetry | Electroweak | Chargino | Slepton
#: keyword cmenergies: 13000.0
#: $\sqrt{s}$ [GeV],13000.0
m($\tilde{l}$) [GeV],m($\tilde{\chi}_{1}^{0}$) [GeV]
101.4168,17.30743
115.088,25.96524
131.3954,31.9413
134.7295,33.61486
147.7029,42.75303
154.0923,49.92229
160.8622,66.22971
162.4215,82.53714
164.0103,89.34148
166.5392,98.84457
180.3177,112.3449
182.4186,115.152
196.6251,129.9253
199.231,131.4594
212.9326,137.9021
221.9956,147.7669
229.24,162.5384
230.3553,164.0743
245.5474,176.2417
252.9605,180.3817
261.8549,186.3387
269.8112,196.6891
276.5489,212.9966
278.1623,215.6112
294.4697,226.5131
300.8683,229.304
310.7771,233.9475
322.664,245.6114
327.0846,253.4969
334.1225,261.9189
343.392,268.0024
359.6994,274.179
367.147,278.2263
376.0069,285.1836
385.5012,294.5337
392.3143,302.51
405.2097,310.8411
408.6217,312.6235
424.9291,321.0684
434.0071,327.1486
441.2366,334.15
453.9453,343.456
457.544,345.7286
473.8514,350.78
490.1589,358.1521
494.1069,359.7634
506.4663,365.5301
522.7737,370.8473
539.0595,376.0709
539.0811,376.0795
555.3886,378.6258
563.5742,376.0709
571.696,373.1172
588.0034,362.4894
591.8576,359.7634
604.3109,348.3443
609.5178,343.456
620.6183,330.2975
623.2205,327.1486
634.7428,310.8411
636.9257,307.0183
643.2435,294.5337
647.9831,278.2263
651.4814,261.9189
653.2331,251.8769
654.2626,245.6114
656.625,229.304
658.8116,212.9966
660.7868,196.6891
662.2363,180.3817
663.7365,164.0743
665.0199,147.7669
665.928,131.4594
666.4578,115.152
666.7481,98.84457
666.9923,82.53714
667.0828,66.22971
667.0376,49.92229
667.0336,33.61486
667.4503,17.30743
668.9425,1

