#: table_doi: 10.17182/hepdata.81996.v1/t17
#: name: Table 17
#: description: Expected 95% CL exclusion limit for chargino-neutralino production with slepton-mediated decays.
#: data_file: fig_08c_Expected.yaml
#: data_license:   
#: keyword reactions: P P --> Neutralino2 Chargino1
#: keyword observables: GIVE KEY FOR Y-AXIS VARIABLE
#: keyword phrases: 
#: keyword cmenergies: 13000.0
$m(\widetilde{\chi}_2^0)/m(\widetilde{\chi}_1^\pm)$ [GEV],$m(\widetilde{\chi}_1^0)$ [GEV]
898.125,639.921870774
924.375,645.914991896
950.625,646.525327939
971.179305914,637.5
976.875,633.774910147
1003.125,615.809803073
1006.76576398,612.5
1024.34049295,587.5
1029.375,571.958017969
1032.47559373,562.5
1042.62366823,537.5
1053.23232534,512.5
1055.625,504.10173306
1060.35485311,487.5
1063.80401023,462.5
1066.7213145,437.5
1069.49624111,412.5
1072.96712732,387.5
1077.13396717,362.5
1081.29605738,337.5
1081.875,333.902627392
1085.35181569,312.5
1085.6701351,287.5
1082.47597384,262.5
1081.875,257.796332443
1079.51840619,237.5
1078.7541898,212.5
1081.06949925,187.5
1081.875,173.396263518
1082.55646844,162.5
1084.12001833,137.5
1084.84703938,112.5
1083.13729553,87.5
1082.18915741,62.5
1081.875,54.2165913913
1081.28053167,37.5
1081.02112682,12.5
407.478495663,12.5
399.375,19.0016184996
373.125,20.3726055273
346.875,22.4762920055
320.625,26.1142336054
294.375,33.9282204653
287.840769629,37.5
268.125,47.3578847478
241.875,60.4828852834
237.840770493,62.5
215.625,68.2331020867
189.375,72.3407657897
172.162610097,87.5
177.487775534,112.5
189.375,123.821166159
200.475489114,137.5
204.197483285,162.5
215.625,173.383349252
231.163010029,187.5
241.875,197.701895211
258.201122028,212.5
268.125,221.951312355
285.323455974,237.5
294.375,246.12051812
312.544270943,262.5
320.625,270.195932435
339.881243486,287.5
346.875,294.160720489
367.35654745,312.5
373.125,317.993764333
392.587312619,337.5
399.375,343.964464173
425.625,352.195533041
436.418362649,362.5
451.875,374.766383293
465.218242414,387.5
478.125,397.997726907
496.000447388,412.5
504.375,419.164707138
530.351508871,437.5
530.625,437.714858903
556.875,459.502789625
560.486025125,462.5
583.125,481.290720826
594.761974611,487.5
609.375,499.389662717
628.385131183,512.5
635.625,518.036983491
661.691042131,537.5
661.875,537.640020329
688.125,557.083232567
697.533368399,562.5
714.375,572.196389182
740.625,583.733676979
749.194256003,587.5
766.875,596.963458154
793.125,611.013533002
800.582148272,612.5
819.375,617.289120555
845.625,619.978605943
871.875,624.372360666
895.04459739,637.5
898.125,639.921870774

