#: table_doi: 10.17182/hepdata.81996.v1/t80
#: name: Table 80
#: description: 95% upper limit on production cross-section for chargino-neutralino production with slepton-mediated decays.
#: data_file: figaux_32a.yaml
#: data_license:   
#: keyword reactions: P P --> Chargino1 Neutralino2
#: keyword observables: GIVE KEY FOR Y-AXIS VARIABLE
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: LUMINOSITY [fb$^{-1}$],36.1
#: SQRT(S) [GeV],13000
#: $m(\widetilde{\chi}_1^0)$ [GEV],$m(\widetilde{\chi}_2^0)/m(\widetilde{\chi}_1^\pm)$ [GEV],"X-section U.L., units: [fb]"
0.0,1000.0,0.675716135971
100.0,1000.0,0.613834779358
200.0,1000.0,0.600597827378
300.0,1000.0,0.677419440485
400.0,1000.0,0.700805550815
500.0,1000.0,0.769818000422
600.0,1000.0,0.901418090899
700.0,1000.0,1.2968087015
800.0,1000.0,3.65149364646
0.0,1100.0,0.66312158552
1000.0,1100.0,23.7442260892
100.0,1100.0,0.625045882378
200.0,1100.0,0.608885190437
300.0,1100.0,0.646701171081
400.0,1100.0,0.589988823955
500.0,1100.0,0.704744707062
600.0,1100.0,0.716761610957
900.0,1100.0,3.45430921808
0.0,1200.0,0.60716092239
1000.0,1200.0,3.50405593207
200.0,1200.0,0.615079616173
400.0,1200.0,0.675136615281
600.0,1200.0,0.709352833541
800.0,1200.0,0.815988522953
50.0,150.0,0.0708863026152
100.0,200.0,134.083360698
150.0,200.0,971.10644078
100.0,300.0,7.22560904478
200.0,300.0,51.2737888194
100.0,400.0,2.03737167568
200.0,400.0,5.04752610656
300.0,400.0,37.535282766
350.0,400.0,317.492408335
0.0,500.0,1.04483308548
100.0,500.0,1.3429004005
200.0,500.0,1.72537748791
300.0,500.0,4.51714295458
400.0,500.0,37.76058308
450.0,500.0,474.468181696
0.0,600.0,0.879058664801
200.0,600.0,1.02330324188
300.0,600.0,1.34631306308
400.0,600.0,3.90375944161
500.0,600.0,31.6536755573
550.0,600.0,277.048860064
200.0,700.0,0.857940533674
300.0,700.0,1.02683740376
400.0,700.0,1.51146809851
600.0,700.0,27.9118458406
0.0,800.0,0.711907566301
200.0,800.0,0.703477688686
400.0,800.0,0.796035032491
600.0,800.0,3.56886661055
700.0,800.0,29.7846444027
0.0,900.0,0.650723556921
100.0,900.0,0.29641947297
200.0,900.0,0.650551779902
300.0,900.0,0.72344016474
400.0,900.0,0.95648215693
500.0,900.0,0.908128923433
600.0,900.0,1.24697682079
700.0,900.0,3.72942140209
800.0,900.0,25.7462042941
