#: table_doi: 10.17182/hepdata.82212.v1/t6
#: name: Table 6
#: description: <b>Exclusion contour (exp)</b> Expected (solid blue line) and observed (solid red line) exclusion-limit contours at 95% confidence level in the plane of top-squark and tau-slepton mass for the simplified model, obtained from the statistical combination of the lep-had and had-had channels, using full experimental and theory systematic uncertainties except the theoretical uncertainty in the signal cross section.  The yellow band shows one-standard-deviation variations around the expected limit contour. The dotted red lines indicate how the observed limit moves when varying the signal cross section up or down by the corresponding uncertainty in the theoretical value.  For comparison, the plot also shows the observed exclusion contour from the ATLAS Run-1 analysis as the area shaded in gray and the limit on the mass of the tau slepton (for a massless LSP) from the LEP experiments as a green band.
#: data_file: data6.yaml
#: data_license:   
#: keyword reactions: 
#: keyword observables: 
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GeV],13000.0
#'$m(\tilde{t}_{1})$ [GeV]','$m(\tilde{\tau}_{1})$ [GeV]'
1028.5,951.6
1030.0,960.4
1030.3,962.0
1032.1,972.4
1033.9,982.8
1037.2,989.2
1039.2,993.2
1044.4,997.2
1051.6,1001.6
1058.8,1001.7
1066.0,1001.7
1073.2,1001.8
1080.4,1001.8
1087.6,1002.4
1090.2,1003.6
1094.8,1007.3
1102.0,1011.0
1109.2,1009.1
1116.4,1007.2
1123.6,1005.3
1130.2,1003.6
1130.8,1003.4
1138.0,1001.6
1145.2,1002.4
1146.3,1003.6
1149.2,1014.0
1152.2,1024.4
1152.4,1025.1
1153.0,1024.4
1159.6,1017.0
1162.2,1014.0
1166.8,1008.9

