#: table_doi: 10.17182/hepdata.77891.v5/t74
#: name: X-section U.L. & best SR 12  : Meff
#: description: Observed 95% CL upper limit on the signal cross-section from Meff-based searches for inclusive squark-gluino production in pMSSM models with $m_{\tilde{\chi}_{1}^0}=995$ GeV.
#: data_file: data74.yaml
#: data_license:   
#: keyword reactions: P P --> SQUARK SQUARK or SQUARK GLUINO or GLUINO GLUINO X
#: keyword observables: SIG
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(SQUARK) [GEV],Best SR
1000.0,1000.0,SR2j-2100
1000.0,1500.0,SR2j-1200
1000.0,2000.0,SR2j-2100
1000.0,2500.0,SR2j-2100
1000.0,3000.0,SR2j-2100
1000.0,4000.0,SR2j-2100
1000.0,5000.0,SR2j-2100
1500.0,1000.0,SR2j-1600
1500.0,1500.0,SR2j-1200
1500.0,2000.0,SR4j-1800
1500.0,2500.0,SR5j-2000
1500.0,3000.0,SR5j-2000
1500.0,4000.0,SR4j-1400
1500.0,5000.0,SR4j-1400
2000.0,1000.0,SR2j-2100
2000.0,1500.0,SR2j-1600
2000.0,2000.0,SR2j-2400
2000.0,2500.0,SR4j-2600
2000.0,3000.0,SR4j-3000
2000.0,4000.0,SR4j-2200
2000.0,5000.0,SR4j-2200
2500.0,1000.0,SR2j-2100
2500.0,1500.0,SR2j-1600
2500.0,2000.0,SR2j-2400
2500.0,2500.0,SR2j-3600
2500.0,3000.0,SR4j-3000
2500.0,4000.0,SR4j-3000
2500.0,5000.0,SR4j-3000
3000.0,1000.0,SR2j-2100
3000.0,1500.0,SR2j-1600
3000.0,2000.0,SR2j-2400
3000.0,2500.0,SR2j-3600
4000.0,1000.0,SR2j-2100
4000.0,1500.0,SR2j-1200
4000.0,2000.0,SR2j-2400
4000.0,2500.0,SR2j-3600
5000.0,1000.0,SR2j-2100
5000.0,1500.0,SR2j-1200
5000.0,2000.0,SR2j-2400
5000.0,2500.0,SR2j-3600
6000.0,1000.0,SR2j-2100
6000.0,1500.0,SR2j-1600
6000.0,2000.0,SR2j-2400
6000.0,2500.0,SR2j-3600

#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(SQUARK) [GEV],CROSS-SECTION UPPER LIMIT 95%CL (FB)
1000.0,1000.0,255.155
1000.0,1500.0,192.984
1000.0,2000.0,129.719
1000.0,2500.0,115.502
1000.0,3000.0,163.389
1000.0,4000.0,402.765
1000.0,5000.0,576.782
1500.0,1000.0,76.4499
1500.0,1500.0,44.3919
1500.0,2000.0,6.7639
1500.0,2500.0,5.27766
1500.0,3000.0,8.81057
1500.0,4000.0,20.0077
1500.0,5000.0,19.3419
2000.0,1000.0,215.928
2000.0,1500.0,12.625
2000.0,2000.0,1.85481
2000.0,2500.0,0.824597
2000.0,3000.0,1.18056
2000.0,4000.0,3.50748
2000.0,5000.0,3.92203
2500.0,1000.0,187.002
2500.0,1500.0,13.6159
2500.0,2000.0,1.34469
2500.0,2500.0,1.00873
2500.0,3000.0,0.504448
2500.0,4000.0,0.662477
2500.0,5000.0,0.742892
3000.0,1000.0,297.493
3000.0,1500.0,14.8976
3000.0,2000.0,1.43254
3000.0,2500.0,0.870536
4000.0,1000.0,617.035
4000.0,1500.0,32.6509
4000.0,2000.0,1.55789
4000.0,2500.0,0.874852
5000.0,1000.0,753.15
5000.0,1500.0,34.4225
5000.0,2000.0,1.48786
5000.0,2500.0,0.876381
6000.0,1000.0,636.217
6000.0,1500.0,14.6305
6000.0,2000.0,1.48602
6000.0,2500.0,0.890306

