#: table_doi: 10.17182/hepdata.77891.v5/t72
#: name: Exclusion contour(exp.) 11  : Meff
#: description: Expected 95% CL exclusion contours from Meff-based searches on the gluino and squark masses for inclusive squark-gluino production in pMSSM models with $m_{\tilde{\chi}_{1}^0}=695$ GeV.
#: data_file: data72.yaml
#: data_license:   
#: keyword reactions: P P --> SQUARK SQUARK or SQUARK GLUINO or GLUINO GLUINO X
#: keyword observables: CLS
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(SQUARK) [GEV]
2276.0,3019.0
2312.0,2981.0
2411.0,2886.0
2438.0,2865.0
2562.0,2784.0
2630.0,2754.0
2688.0,2730.0
2812.0,2688.0
2938.0,2650.0
3054.0,2621.0
3062.0,2619.0
3188.0,2596.0
3312.0,2573.0
3438.0,2548.0
3562.0,2520.0
3687.0,2489.0
3688.0,2489.0
3812.0,2459.0
3938.0,2427.0
4062.0,2401.0
4188.0,2384.0
4312.0,2370.0
4436.0,2356.0
4438.0,2356.0
4562.0,2340.0
4688.0,2320.0
4812.0,2297.0
4938.0,2273.0
5062.0,2254.0
5188.0,2239.0
5312.0,2224.0
5315.0,2224.0
5438.0,2205.0
5562.0,2181.0
5688.0,2151.0
5812.0,2121.0
5938.0,2098.0
5938.0,1031.0
5936.0,1031.0
5812.0,1008.0
5688.0,980.6
5562.0,954.8
5438.0,933.7
5312.0,916.4
5188.0,902.8
5158.0,898.8
5062.0,869.4
4938.0,810.7
1876.0,5934.0
1880.0,5801.0
1886.0,5669.0
1891.0,5536.0
1894.0,5404.0
1896.0,5271.0
1898.0,5139.0
1900.0,5006.0
1903.0,4874.0
1906.0,4741.0
1909.0,4609.0
1912.0,4476.0
1913.0,4344.0
1914.0,4211.0
1918.0,4079.0
1932.0,3946.0
1938.0,3919.0
1963.0,3814.0
2003.0,3681.0
2043.0,3549.0
2062.0,3484.0
2090.0,3416.0
2140.0,3284.0
2188.0,3164.0
2193.0,3151.0
2276.0,3019.0

