#: table_doi: 10.17182/hepdata.77891.v5/t38
#: name: Exclusion contour(obs.) 2  : RJR
#: description: Observed 95% CL exclusion contours from RJR-based searches on the gluino and lightest neutralino masses in a SUSY scenario where gluinos are produced in pairs and decay directly into the lightest neutralino, $\tilde{g} \rightarrow qq \tilde{\chi}_{1}^{0}$.
#: data_file: data38.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO X
#: keyword observables: CLS
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(NEUTRALINO1) [GEV]
1896.0,0.0
1901.0,20.2
1911.0,40.4
1917.0,52.11
1922.0,60.61
1927.0,80.81
1929.0,101.0
1929.0,121.2
1928.0,141.4
1925.0,161.6
1918.0,181.8
1917.0,184.3
1908.0,202.0
1892.0,222.2
1891.0,223.0
1875.0,242.4
1865.0,254.7
1860.0,262.6
1851.0,282.8
1846.0,303.0
1844.0,323.2
1844.0,343.4
1844.0,363.6
1844.0,383.8
1842.0,404.0
1839.0,424.2
1838.0,426.6
1834.0,444.4
1828.0,464.6
1822.0,484.8
1815.0,505.1
1812.0,516.1
1809.0,525.3
1804.0,545.5
1799.0,565.7
1794.0,585.9
1786.0,599.4
1781.0,606.1
1760.0,622.5
1757.0,626.3
1749.0,646.5
1756.0,666.7
1760.0,672.9
1770.0,686.9
1778.0,707.1
1783.0,727.3
1786.0,741.5
1787.0,747.5
1793.0,767.7
1800.0,787.9
1804.0,808.1
1799.0,828.3
1788.0,848.5
1786.0,850.6
1760.0,867.8
1735.0,868.7
1733.0,868.7
1733.0,868.7
1707.0,865.0
1681.0,867.0
1675.0,868.7
1655.0,875.6
1630.0,888.9
1628.0,889.9
1602.0,908.0
1600.0,909.1
1576.0,925.1
1568.0,929.3
1549.0,939.5
1529.0,949.5
1523.0,952.6
1497.0,966.4
1491.0,969.7
1471.0,978.8
1444.0,987.9
1436.0,989.9
1418.0,993.4
1392.0,992.4
1385.0,989.9
1366.0,983.8
1339.0,974.8
1326.0,969.7
1313.0,965.2
1287.0,953.7
1279.0,949.5
1261.0,939.5
1245.0,929.3
1234.0,922.8
1215.0,909.1
1208.0,903.9
1190.0,888.9
1182.0,881.8
1169.0,868.7
1156.0,855.4
1138.0,848.5
1129.0,846.5
1103.0,844.5
1077.0,844.9
1061.0,848.5
1051.0,854.7
1042.0,868.7
1034.0,888.9
1028.0,909.1
1033.0,929.3
1051.0,949.1
1051.0,949.5
1055.0,969.7
1051.0,975.2
1024.0,985.3
1010.0,969.7
1012.0,949.5
1017.0,929.3
998.0,910.1
997.2,909.1
971.7,898.0
962.5,888.9
945.5,880.6
934.5,868.7
919.2,855.8
901.9,848.5
892.9,842.3
867.7,828.3
866.7,827.8
840.4,812.8
834.9,808.1
814.1,794.9
805.7,787.9
791.4,767.7
787.9,761.7
775.9,747.5
761.6,731.1
757.7,727.3
735.4,711.9
729.0,707.1
709.1,689.8
706.4,686.9
689.5,666.7
682.8,654.8
676.4,646.5
657.2,626.3
656.6,625.8
630.3,608.8
626.3,606.1
604.0,595.2
593.5,585.9
587.5,565.7
578.5,545.5
577.8,543.8
566.0,525.3
552.7,505.1
551.5,503.3
536.7,484.8
525.3,470.1
520.7,464.6
505.9,444.4
499.0,434.1
491.4,424.2
475.7,404.0
472.7,400.4
455.0,383.8
446.5,377.3
420.3,383.8
420.2,383.9

