#: table_doi: 10.17182/hepdata.91374.v1/t52
#: name: Figure 32d
#: description: Efficiency for the slepton process in the SR-S-high region.  Truth stransverse mass is constrained to be within the range [100,140] GeV.
#: data_file: figure_32d.yaml
#: keyword reactions: P P --> SLEPTON SLEPTON
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
#$m(\tilde{\ell})$ [GeV],"$\Delta m(\tilde{\ell},\tilde{\chi}_{1}^{0})$ [GeV]",Efficiency
100.0,40.0,0.56382
100.0,30.0,0.49661
100.0,20.0,0.48212
100.0,10.0,0.48892
100.0,5.0,0.4674
100.0,2.0,0.40101
100.0,1.0,0.40744
100.0,0.7,0.45962
100.0,0.5,0.5617
125.0,20.0,0.44859
125.0,10.0,0.48044
125.0,5.0,0.42113
125.0,2.0,0.35331
125.0,1.0,0.44326
125.0,0.7,0.34474
125.0,0.5,0.30265
125.0,40.0,0.55704
125.0,30.0,0.49904
150.0,40.0,0.62986
150.0,30.0,0.51647
150.0,25.7,0.53392
150.0,20.0,0.51138
150.0,10.0,0.49691
150.0,5.0,0.46123
150.0,2.0,0.3821
150.0,1.0,0.33608
150.0,0.5,0.42158
175.0,40.0,0.4888
175.0,30.0,0.55273
175.0,20.0,0.57035
175.0,10.0,0.5163
175.0,5.0,0.38866
175.0,2.0,0.42468
175.0,1.0,0.42224
200.0,40.0,0.50088
200.0,30.0,0.60714
200.0,20.0,0.52325
200.0,10.0,0.45736
200.0,5.0,0.48301
200.0,2.0,0.32165
200.0,1.0,0.34602
225.0,40.0,0.56123
225.0,30.0,0.46736
225.0,20.0,0.50467
225.0,10.0,0.44916
225.0,5.0,0.41667
225.0,2.0,0.39082
225.0,1.0,0.32603
250.0,20.0,0.51319
250.0,10.0,0.47484
250.0,5.0,0.39579
250.0,2.0,0.37806
250.0,1.0,0.39729
300.0,10.0,0.45004
300.0,5.0,0.38669
300.0,2.0,0.37414
50.0,5.0,0.50567
50.0,2.0,0.44145
50.0,1.0,0.39325
50.0,0.7,0.35733
50.0,0.5,0.38818
50.0,0.3,0.37416
60.0,5.0,0.48297
60.0,2.0,0.43506
60.0,1.0,0.36693
60.0,0.7,0.34343
60.0,0.5,0.39578
60.0,0.3,0.2913
70.0,5.0,0.4839
70.0,2.0,0.37334
70.0,1.0,0.40202
70.0,0.7,0.36839
70.0,0.5,0.37407
90.0,40.0,0.52844
90.0,20.0,0.51984

