#: table_doi: 10.17182/hepdata.91374.v1/t53
#: name: Figure 32e
#: description: Acceptance (note the $z$-axis is in units of $10^{-3}$) for the slepton process in the SR-S-low region.  Truth stransverse mass is constrained to be within the range [100,140] GeV.
#: data_file: figure_32e.yaml
#: keyword reactions: P P --> SLEPTON SLEPTON
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
#$m(\tilde{\ell})$ [GeV],"$\Delta m(\tilde{\ell},\tilde{\chi}_{1}^{0})$ [GeV]",Acceptance (note the $z$-axis is in units of $10^{-3}$)
100.0,40.0,1.1536
100.0,30.0,1.5312
100.0,20.0,2.6034
100.0,10.0,4.7111
100.0,5.0,2.8612
100.0,2.0,0.41601
100.0,1.0,0.049236
100.0,0.7,0.0046834
100.0,0.5,0.0
125.0,20.0,3.9333
125.0,10.0,6.49
125.0,5.0,3.9137
125.0,2.0,0.42314
125.0,1.0,0.033752
125.0,0.7,0.0042419
125.0,0.5,0.0
125.0,40.0,1.5406
125.0,30.0,2.25
150.0,40.0,2.0639
150.0,30.0,2.5286
150.0,25.7,3.6561
150.0,20.0,5.0991
150.0,10.0,7.6241
150.0,5.0,4.1575
150.0,2.0,0.41173
150.0,1.0,0.010007
150.0,0.5,0.0
175.0,40.0,1.7649
175.0,30.0,3.3068
175.0,20.0,5.7052
175.0,10.0,8.8265
175.0,5.0,3.9842
175.0,2.0,0.40473
175.0,1.0,0.0
200.0,40.0,2.4085
200.0,30.0,3.6468
200.0,20.0,6.3147
200.0,10.0,9.9889
200.0,5.0,4.4594
200.0,2.0,0.21106
200.0,1.0,0.0097947
225.0,40.0,2.7784
225.0,30.0,3.9569
225.0,20.0,6.9277
225.0,10.0,9.2858
225.0,5.0,4.935
225.0,2.0,0.27206
225.0,1.0,0.0
250.0,20.0,7.4239
250.0,10.0,9.5097
250.0,5.0,4.6945
250.0,2.0,0.23392
250.0,1.0,0.0063095
300.0,10.0,10.747
300.0,5.0,4.2231
300.0,2.0,0.14816
50.0,5.0,0.86983
50.0,2.0,0.20729
50.0,1.0,0.0322
50.0,0.7,0.0072123
50.0,0.5,0.001927
50.0,0.3,6.2892e-05
60.0,5.0,1.5156
60.0,2.0,0.28897
60.0,1.0,0.038124
60.0,0.7,0.0072813
60.0,0.5,0.001848
60.0,0.3,5.9889e-05
70.0,5.0,2.0342
70.0,2.0,0.35019
70.0,1.0,0.039019
70.0,0.7,0.0092088
70.0,0.5,0.00039027
90.0,40.0,0.95639
90.0,20.0,2.3353

