#: table_doi: 10.17182/hepdata.91374.v1/t41
#: name: Figure 31a
#: description: Acceptance (note the $z$-axis is in units of $10^{-4}$) for the N2C1m higgsino process in the SR-E-high region.  Truth dilepton invariant mass is constrained to be within the range [0.5,60] GeV.
#: data_file: figure_31a.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Acceptance (note the $z$-axis is in units of $10^{-4}$)
100.0,40.0,0.15257
100.0,20.0,0.60484
101.5,1.5,0.0098267
102.0,2.0,0.068197
103.0,3.0,0.32363
105.0,5.0,0.76535
110.0,10.0,1.3773
110.0,30.0,0.39572
115.0,15.0,1.3309
120.0,20.0,1.0488
120.0,60.0,0.13906
120.0,40.0,0.30997
126.5,1.5,0.0084975
127.0,2.0,0.057051
128.0,3.0,0.34012
130.0,30.0,0.71499
130.0,5.0,1.1319
135.0,10.0,1.9313
140.0,40.0,0.46636
140.0,15.0,1.6649
140.0,60.0,0.21141
145.0,20.0,1.34
152.0,2.0,0.05323
153.0,3.0,0.28562
155.0,30.0,0.8622
155.0,5.0,0.96242
160.0,60.0,0.3115
160.0,10.0,2.3753
165.0,40.0,0.65682
165.0,15.0,2.5952
170.0,20.0,2.1187
178.0,3.0,0.29598
180.0,30.0,1.2426
180.0,5.0,0.99601
185.0,10.0,2.5339
190.0,40.0,0.95323
190.0,15.0,3.2097
195.0,20.0,2.6566
202.0,2.0,0.03485
203.0,3.0,0.23332
205.0,5.0,0.99351
210.0,10.0,3.2409
215.0,15.0,3.0905
220.0,20.0,3.0355
230.0,30.0,1.923
230.0,5.0,1.0154
235.0,10.0,3.1619
240.0,40.0,1.3018
240.0,15.0,3.387
252.0,2.0,0.028391
253.0,3.0,0.26373
255.0,5.0,0.97557
260.0,10.0,3.4206
265.0,15.0,3.8405
270.0,20.0,3.5448
280.0,30.0,2.7118
290.0,40.0,1.6704
81.5,1.5,0.009653
82.0,2.0,0.069483
83.0,3.0,0.246
85.0,5.0,0.4883
90.0,10.0,0.9113
95.0,15.0,1.0446

