#: table_doi: 10.17182/hepdata.91374.v1/t67
#: name: Figure 35a
#: description: Acceptance (note the $z$-axis is in units of $10^{-4}$) for the N2C1p VBF higgsino process in the SR-VBF-high region.  Truth dilepton invariant mass is constrained to be within the range [1,40] GeV.
#: data_file: figure_35a.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO JET JET
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Acceptance (note the $z$-axis is in units of $10^{-4}$)
40.0,2.0,0.15785
40.0,3.0,0.69136
40.0,5.0,1.0301
40.0,10.0,0.77457
40.0,20.0,0.28776
40.0,40.0,0.037606
60.0,2.0,0.46949
60.0,3.0,1.4232
60.0,5.0,2.7651
60.0,10.0,3.2518
60.0,20.0,1.4739
60.0,40.0,0.37972
80.0,2.0,0.38904
80.0,3.0,1.5081
80.0,5.0,3.4419
80.0,10.0,4.4886
80.0,20.0,3.3293
80.0,40.0,1.071
120.0,2.0,0.1778
120.0,3.0,1.2298
120.0,5.0,3.1958
120.0,10.0,5.8233
120.0,20.0,5.1055
120.0,40.0,2.9158
100.0,2.0,0.24454
100.0,3.0,1.2381
100.0,5.0,3.2594

