#: table_doi: 10.17182/hepdata.91374.v1/t6
#: name: Figure 14c Observed
#: description: Observed 95% CL exclusion sensitivity for simplified models of direct wino-bino production, assuming $m(\tilde{\chi}_{2}^{0}) \times m(\tilde{\chi}_{1}^{0})>0$.
#: data_file: figure_14c_observed.yaml
#: keyword reactions: P P --> WINO BINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering | Exclusion | Limits
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]"
90.0,1.409
92.374,1.4491
92.49,1.4511
94.748,1.4907
95.926,1.5122
97.121,1.5346
99.233,1.5762
99.495,1.5812
101.87,1.6308
102.41,1.6425
104.24,1.6838
105.45,1.712
106.62,1.7406
108.33,1.7844
108.99,1.8018
111.07,1.8595
111.36,1.8681
113.68,1.9382
113.74,1.94
116.11,2.0179
116.17,2.0198
118.48,2.1014
118.59,2.1052
120.86,2.1908
120.94,2.1943
123.23,2.2856
123.27,2.2867
125.6,2.3834
125.61,2.3834
127.98,2.4837
127.99,2.4837
130.35,2.584
130.47,2.5888
132.73,2.6829
133.1,2.6984
135.1,2.7791
135.92,2.8119
137.47,2.8728
138.99,2.9309
139.85,2.9621
142.22,3.0486
142.4,3.0549
144.6,3.129
146.25,3.1835
146.97,3.2063
149.34,3.2794
150.64,3.3182
151.72,3.3489
154.09,3.4143
155.73,3.4578
156.46,3.477
158.84,3.5359
161.21,3.5934
161.68,3.6041
163.59,3.6475
165.96,3.6991
168.33,3.7489
168.68,3.7566
170.71,3.7975
173.08,3.8441
175.45,3.8896
176.8,3.9147
177.83,3.9346
180.2,3.9783
182.58,4.0216
184.95,4.0654
185.77,4.0804
187.32,4.1087
189.7,4.1534
192.07,4.1976
194.44,4.2442
194.88,4.2521
196.82,4.2914
199.19,4.3411
201.57,4.3924
203.31,4.432
203.94,4.4473
206.31,4.5051
208.69,4.5667
210.65,4.6196
211.06,4.6313
213.43,4.7022
215.81,4.7786
216.88,4.8139
218.18,4.8618
220.56,4.9534
222.13,5.0176
222.93,5.0536
225.3,5.1677
226.54,5.2288
227.68,5.2954
230.05,5.4388
230.23,5.45
232.42,5.6131
233.28,5.6807
234.8,5.8251
235.76,5.9197
237.17,6.101
237.7,6.1702
239.13,6.4313
239.55,6.5524
240.06,6.7019
240.49,6.9855
240.4,7.2795
239.77,7.5875
239.55,7.6472
238.57,7.9086
237.17,8.1639
236.75,8.2414
234.8,8.5114
234.23,8.5901
232.42,8.7922
230.96,8.9516
230.05,9.0365
227.68,9.2555
226.85,9.3304
225.3,9.4537
222.93,9.6405
221.84,9.7252
220.56,9.8152
218.18,9.9793
215.93,10.134
215.81,10.144
213.43,10.297
211.06,10.45
209.29,10.563
208.69,10.6
206.31,10.747
203.94,10.899
202.21,11.008
201.57,11.048
199.19,11.202
196.82,11.361
195.15,11.474
194.44,11.521
192.07,11.692
189.7,11.866
188.5,11.959
187.32,12.05
184.95,12.246
182.58,12.451
182.45,12.462
180.2,12.677
177.83,12.912
177.1,12.99
175.45,13.174
173.08,13.452
172.39,13.539
170.71,13.763
168.33,14.096
168.25,14.109
165.96,14.484
164.66,14.706
163.59,14.911
161.52,15.325
161.21,15.396
158.84,15.959
158.78,15.973
156.46,16.638
156.43,16.649
154.41,17.35
154.09,17.482
152.7,18.084
151.72,18.604
151.27,18.845
150.13,19.643
149.34,20.38
149.25,20.474
148.65,21.335
148.34,22.238
148.34,23.174
148.68,24.155
149.34,25.073
149.43,25.177
150.73,26.236
151.72,26.829
152.76,27.346
154.09,27.9
155.93,28.504
156.46,28.662
158.84,29.228
161.21,29.662
161.49,29.703
163.59,30.012
165.96,30.29
168.33,30.507
170.71,30.683
173.08,30.839
175.16,30.96
175.45,30.974
177.83,31.124
180.2,31.275
182.58,31.441
184.95,31.623
187.32,31.835
189.7,32.078
191.25,32.263
192.07,32.382
194.44,32.772
196.82,33.228
198.69,33.628
199.19,33.768
201.57,34.506
203.13,35.051
203.94,35.457
205.9,36.526
206.31,36.966
207.29,38.072
207.28,39.673
206.31,40.616
205.46,41.352
203.94,41.986
201.57,42.865
200.83,43.102
199.19,43.451
196.82,43.894
194.44,44.269
192.07,44.596
189.7,44.864
189.12,44.916
187.32,45.05
184.95,45.186
182.58,45.29
180.2,45.373
177.83,45.425
175.45,45.467
173.08,45.488
170.71,45.499
168.33,45.509
165.96,45.509
163.59,45.509
161.21,45.52
158.84,45.541
156.46,45.572
154.09,45.614
151.72,45.688
149.34,45.772
146.97,45.877
144.6,46.015
142.22,46.164
139.85,46.334
137.47,46.526
135.1,46.72
134.04,46.817
132.73,46.914
130.35,47.087
127.98,47.261
125.61,47.435
123.23,47.577
120.86,47.709
118.48,47.797
116.11,47.852
113.74,47.852
111.36,47.808
108.99,47.687
106.62,47.501
104.24,47.228
101.87,46.87
101.6,46.817
99.495,46.377
97.121,45.772
94.748,45.05
94.391,44.916
92.374,44.147
90.022,43.102
90.0,43.092

