#: table_doi: 10.17182/hepdata.91374.v1/t61
#: name: Figure 34a
#: description: Acceptance (note the $z$-axis is in units of $10^{-4}$) for the N2N1 VBF higgsino process in the SR-VBF-high region.  Truth dilepton invariant mass is constrained to be within the range [1,40] GeV.
#: data_file: figure_34a.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO JET JET
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Acceptance (note the $z$-axis is in units of $10^{-4}$)
40.0,2.0,0.36012
40.0,3.0,1.3889
40.0,5.0,2.2762
40.0,10.0,2.317
40.0,20.0,1.651
40.0,40.0,0.91178
60.0,2.0,0.50856
60.0,3.0,1.9827
60.0,5.0,3.9406
60.0,10.0,4.8159
60.0,20.0,3.5068
60.0,40.0,1.1303
80.0,2.0,0.47856
80.0,3.0,2.0404
80.0,5.0,4.4569
80.0,10.0,6.7816
80.0,20.0,5.588
80.0,40.0,3.0926
120.0,2.0,0.31191
120.0,3.0,1.5463
120.0,5.0,4.6221
120.0,10.0,8.7041
120.0,20.0,8.218
120.0,40.0,4.8641
100.0,2.0,0.36981
100.0,3.0,2.0301
100.0,5.0,4.7298

