#: table_doi: 10.17182/hepdata.91374.v1/t10
#: name: Figure 16a Observed
#: description: Observed 95% CL exclusion sensitivity for simplified models of direct slepton production.
#: data_file: figure_16a_observed.yaml
#: keyword reactions: P P --> SLEPTON SLEPTON
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering | Exclusion | Limits
$m(\tilde{\ell})$ [GeV],"$\Delta m(\tilde{\ell},\tilde{\chi}_{1}^{0})$ [GeV]"
50.0,0.3771
51.172,0.3841
52.525,0.3927
54.198,0.4036
55.05,0.4094
57.181,0.424
57.576,0.4269
60.101,0.4451
60.151,0.4455
62.626,0.4642
63.142,0.4681
65.151,0.4838
66.18,0.4918
67.677,0.5038
69.299,0.5167
70.202,0.5241
72.537,0.5429
72.727,0.5445
75.252,0.5649
75.947,0.5704
77.778,0.5852
79.56,0.5992
80.303,0.6052
82.828,0.625
83.421,0.6297
85.353,0.6448
87.564,0.6615
87.879,0.664
90.404,0.6831
92.017,0.695
92.929,0.7019
95.454,0.7208
96.764,0.7303
97.98,0.7394
100.51,0.7581
101.76,0.7672
103.03,0.7768
105.56,0.7958
106.93,0.8061
108.08,0.8151
110.61,0.8348
112.15,0.847
113.13,0.8551
115.66,0.8762
117.29,0.8898
118.18,0.8978
120.71,0.9209
122.24,0.935
123.23,0.9447
125.76,0.9703
126.93,0.9824
128.28,0.9972
130.81,1.0261
131.33,1.032
133.33,1.0573
135.44,1.0844
135.86,1.0902
138.38,1.1262
139.28,1.1395
140.91,1.1649
142.9,1.197
143.43,1.2064
145.96,1.2511
146.33,1.2578
148.48,1.299
149.65,1.3213
151.01,1.3499
152.88,1.3884
153.54,1.4031
156.06,1.4585
156.08,1.4588
158.59,1.516
159.34,1.5325
161.11,1.5743
162.69,1.6103
163.64,1.6327
166.16,1.6908
166.2,1.692
168.69,1.749
169.98,1.7775
171.21,1.8059
173.74,1.8612
174.05,1.8677
176.26,1.9156
178.51,1.9625
178.79,1.9683
181.31,2.0202
183.41,2.0616
183.84,2.0706
186.36,2.1208
188.71,2.1662
188.89,2.1697
191.41,2.2197
193.94,2.2688
194.31,2.2756
196.46,2.3201
198.99,2.3719
199.93,2.3911
201.52,2.4272
204.04,2.486
205.14,2.5125
206.57,2.5515
209.09,2.6248
209.59,2.6394
211.62,2.7133
213.13,2.7733
214.14,2.8229
215.82,2.9141
216.67,2.973
217.82,3.0613
219.19,3.2018
219.32,3.2166
220.51,3.3799
221.47,3.5506
221.72,3.6
222.33,3.7308
223.16,3.9201
223.98,4.1181
224.24,4.1773
224.87,4.3271
225.83,4.5457
226.77,4.7523
226.88,4.7764
228.05,5.0188
229.29,5.2662
229.33,5.2723
230.76,5.5399
231.82,5.7319
232.31,5.821
234.0,6.115
234.34,6.1745
235.84,6.4254
236.87,6.5993
237.79,6.7515
239.39,7.0194
239.85,7.0925
241.92,7.4439
241.97,7.4525
244.11,7.8289
244.44,7.8959
246.18,8.2262
246.97,8.4062
248.06,8.6437
249.49,9.0573
249.58,9.0803
250.62,9.5411
250.96,10.025
250.47,10.532
249.49,10.887
249.01,11.066
246.97,11.524
246.53,11.628
244.44,11.97
243.03,12.215
241.92,12.365
239.39,12.72
238.62,12.835
236.87,13.05
234.34,13.372
233.51,13.486
231.82,13.68
229.29,13.989
227.88,14.168
226.77,14.292
224.24,14.591
221.86,14.887
221.72,14.9
219.19,15.195
216.67,15.502
215.55,15.639
214.14,15.805
211.62,16.103
209.09,16.41
208.92,16.432
206.57,16.711
204.04,17.014
201.94,17.266
201.52,17.314
198.99,17.612
196.46,17.91
194.52,18.138
193.94,18.205
191.41,18.501
188.89,18.789
186.55,19.059
186.36,19.081
183.84,19.364
181.31,19.652
178.79,19.93
177.93,20.026
176.26,20.212
173.74,20.488
171.21,20.764
168.69,21.038
168.67,21.038
166.16,21.316
163.64,21.592
161.11,21.867
158.95,22.105
158.59,22.146
156.06,22.434
153.54,22.72
151.01,23.009
149.15,23.227
148.48,23.308
145.96,23.616
143.43,23.928
140.91,24.238
139.65,24.401
138.38,24.57
135.86,24.912
133.33,25.252
130.81,25.604
130.56,25.639
128.28,25.972
125.76,26.345
123.23,26.718
121.79,26.934
120.71,27.108
118.18,27.504
115.66,27.893
113.13,28.288
113.02,28.301
110.61,28.688
108.08,29.087
105.56,29.478
103.84,29.737
103.03,29.861
100.51,30.248
97.98,30.62
95.454,30.981
93.584,31.239
92.929,31.333
90.404,31.681
87.879,32.011
85.353,32.33
82.828,32.629
81.144,32.825
80.303,32.923
77.778,33.205
75.252,33.473
72.727,33.729
70.202,33.97
67.677,34.198
65.151,34.411
64.259,34.49
62.626,34.626
60.101,34.826
57.576,35.019
55.05,35.197
52.525,35.367
50.0,35.53

