#: table_doi: 10.17182/hepdata.91374.v1/t87
#: name: Figure 45cd
#: description: Observed and Expected upper cross-section limits for direct LH smuon scenarios.
#: data_file: figure_45cd.yaml
#: keyword reactions: P P --> SMUON SMUON
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\ell})$ [GeV],"$\Delta m(\tilde{\ell},\tilde{\chi}_{1}^{0})$ [GeV]",Observed 95% CL Upper Limit [fb]
100.0,20.0,0.1623
100.0,10.0,0.05311
100.0,5.0,0.049296
100.0,2.0,0.14391
100.0,1.0,0.15333
100.0,0.7,0.72217
100.0,0.5,6.2401
125.0,20.0,0.099988
125.0,10.0,0.036339
125.0,5.0,0.043495
125.0,2.0,0.10096
125.0,1.0,0.14842
125.0,0.7,0.95269
125.0,0.5,8.4044
125.0,40.0,0.25539
125.0,30.0,0.19289
150.0,25.7,0.10796
150.0,20.0,0.073157
150.0,10.0,0.025006
150.0,5.0,0.028981
150.0,2.0,0.079902
150.0,1.0,0.22795
150.0,0.5,4.7711
175.0,40.0,0.13967
175.0,20.0,0.043572
175.0,10.0,0.019124
175.0,5.0,0.02781
175.0,2.0,0.049053
175.0,1.0,0.23258
200.0,40.0,0.10869
200.0,30.0,0.090873
200.0,20.0,0.03421
200.0,10.0,0.018768
200.0,5.0,0.023148
200.0,2.0,0.048061
200.0,1.0,0.35049
225.0,40.0,0.19527
225.0,30.0,0.12085
225.0,20.0,0.040979
225.0,10.0,0.01696
225.0,5.0,0.020341
225.0,2.0,0.03604
225.0,1.0,0.41496
250.0,20.0,0.034735
250.0,10.0,0.012546
250.0,5.0,0.019572
250.0,2.0,0.022169
250.0,1.0,0.40333
300.0,10.0,0.013284
300.0,5.0,0.021151
300.0,2.0,0.03378
50.0,5.0,0.31843
50.0,2.0,0.55963
50.0,1.0,1.3889
50.0,0.7,2.0679
50.0,0.5,2.0391
50.0,0.3,27.24
60.0,5.0,0.16238
60.0,2.0,0.3678
60.0,1.0,0.84391
60.0,0.7,0.87946
60.0,0.5,1.701
60.0,0.3,35.045
70.0,5.0,0.10594
70.0,2.0,0.29948
70.0,1.0,0.39588
70.0,0.7,0.55584
70.0,0.5,2.2762
90.0,20.0,0.20976

$m(\tilde{\ell})$ [GeV],"$\Delta m(\tilde{\ell},\tilde{\chi}_{1}^{0})$ [GeV]",Expected 95% CL Upper Limit [fb]
100.0,20.0,0.19115
100.0,10.0,0.073377
100.0,5.0,0.061628
100.0,2.0,0.12057
100.0,1.0,0.25557
100.0,0.7,1.0378
100.0,0.5,6.9361
125.0,20.0,0.11825
125.0,10.0,0.047047
125.0,5.0,0.046924
125.0,2.0,0.098014
125.0,1.0,0.24994
125.0,0.7,1.3272
125.0,0.5,9.5296
125.0,40.0,0.2904
125.0,30.0,0.24408
150.0,25.7,0.11026
150.0,20.0,0.084128
150.0,10.0,0.03337
150.0,5.0,0.031276
150.0,2.0,0.073129
150.0,1.0,0.34453
150.0,0.5,5.3541
175.0,40.0,0.17947
175.0,20.0,0.05103
175.0,10.0,0.025167
175.0,5.0,0.027495
175.0,2.0,0.056145
175.0,1.0,0.32612
200.0,40.0,0.12194
200.0,30.0,0.085939
200.0,20.0,0.04334
200.0,10.0,0.022254
200.0,5.0,0.024264
200.0,2.0,0.060055
200.0,1.0,0.44658
225.0,40.0,0.20847
225.0,30.0,0.085651
225.0,20.0,0.043318
225.0,10.0,0.020037
225.0,5.0,0.023394
225.0,2.0,0.054422
225.0,1.0,0.50003
250.0,20.0,0.045368
250.0,10.0,0.015823
250.0,5.0,0.017646
250.0,2.0,0.036226
250.0,1.0,0.52454
300.0,10.0,0.016831
300.0,5.0,0.017901
300.0,2.0,0.043564
50.0,5.0,0.42172
50.0,2.0,0.60026
50.0,1.0,1.1553
50.0,0.7,2.5653
50.0,0.5,3.3101
50.0,0.3,32.886
60.0,5.0,0.21132
60.0,2.0,0.35142
60.0,1.0,0.81483
60.0,0.7,1.3563
60.0,0.5,2.7611
60.0,0.3,39.882
70.0,5.0,0.14152
70.0,2.0,0.25593
70.0,1.0,0.4921
70.0,0.7,0.91401
70.0,0.5,3.6213
90.0,20.0,0.24018

