#: table_doi: 10.17182/hepdata.91374.v1/t57
#: name: Figure 33c
#: description: Acceptance (note the $z$-axis is in units of $10^{-4}$) for the C1C1 VBF higgsino process in the SR-VBF-low region.  Truth dilepton invariant mass is constrained to be within the range [1,40] GeV.
#: data_file: figure_33c.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO JET JET
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Acceptance (note the $z$-axis is in units of $10^{-4}$)
40.0,2.0,0.03704
40.0,3.0,0.17777
40.0,5.0,0.69576
40.0,10.0,0.91621
40.0,20.0,0.69668
40.0,40.0,0.2741
60.0,2.0,0.049658
60.0,3.0,0.27537
60.0,5.0,0.69845
60.0,10.0,1.2289
60.0,20.0,1.2951
60.0,40.0,0.88801
80.0,2.0,0.025939
80.0,3.0,0.19977
80.0,5.0,0.64751
80.0,10.0,1.3874
80.0,20.0,1.4601
80.0,40.0,1.2836
120.0,2.0,0.0067911
120.0,3.0,0.07801
120.0,5.0,0.44609
120.0,10.0,1.0579
120.0,20.0,1.8924
120.0,40.0,2.1179
100.0,2.0,0.014384
100.0,3.0,0.10182
100.0,5.0,0.51901

