#: table_doi: 10.17182/hepdata.91374.v1/t14
#: name: Figure 16b RH smuon Observed
#: description: Observed 95% CL exclusion sensitivity for simplified models of direct RH smuon production.
#: data_file: figure_16b_rh_smuon_observed.yaml
#: keyword reactions: P P --> SLEPTON SLEPTON
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering | Exclusion | Limits
$m(\tilde{\ell})$ [GeV],"$\Delta m(\tilde{\ell},\tilde{\chi}_{1}^{0})$ [GeV]"
50.0,0.9036
51.203,0.935
52.525,0.9681
53.103,0.9824
55.05,1.0292
55.172,1.032
57.392,1.0844
57.576,1.0887
59.721,1.1395
60.101,1.1484
62.107,1.197
62.626,1.21
64.499,1.2578
65.151,1.275
66.855,1.3213
67.677,1.3449
69.141,1.3884
70.202,1.4217
71.335,1.4588
72.727,1.507
73.433,1.5325
75.252,1.6029
75.438,1.6103
77.379,1.692
77.778,1.7092
79.27,1.7775
80.303,1.8268
81.123,1.8677
82.828,1.9552
82.962,1.9625
84.832,2.0616
85.353,2.0898
86.741,2.1662
87.879,2.2289
88.705,2.2756
90.404,2.3714
90.746,2.3911
92.887,2.5125
92.929,2.5148
95.156,2.6394
95.454,2.6564
97.553,2.7733
97.98,2.797
100.09,2.9141
100.51,2.9363
102.78,3.0613
103.03,3.0754
105.56,3.2129
105.62,3.2166
108.08,3.3504
108.61,3.3799
110.61,3.4882
111.74,3.5506
113.13,3.6283
114.97,3.7308
115.66,3.7696
118.18,3.9147
118.27,3.9201
120.71,4.0635
121.62,4.1181
123.23,4.2189
124.94,4.3271
125.76,4.3813
128.18,4.5457
128.28,4.553
130.81,4.7381
131.32,4.7764
133.33,4.9386
134.3,5.0188
135.86,5.1606
137.08,5.2723
138.38,5.4075
139.64,5.5399
140.91,5.6925
141.95,5.821
143.43,6.0311
144.01,6.115
145.81,6.4254
145.96,6.458
147.32,6.7515
148.48,7.0795
148.53,7.0925
149.44,7.4525
150.01,7.8289
150.21,8.2262
150.0,8.6437
149.36,9.0803
148.48,9.4341
148.22,9.5411
146.54,10.025
145.96,10.155
144.28,10.532
143.43,10.688
141.39,11.066
140.91,11.143
138.38,11.543
137.84,11.628
135.86,11.907
133.64,12.215
133.33,12.255
130.81,12.578
128.79,12.835
128.28,12.894
125.76,13.195
123.3,13.486
123.23,13.493
120.71,13.775
118.18,14.057
117.19,14.168
115.66,14.332
113.13,14.598
110.61,14.863
110.38,14.887
108.08,15.118
105.56,15.367
103.03,15.61
102.71,15.639
100.51,15.845
97.98,16.069
95.454,16.285
93.658,16.432
92.929,16.493
90.404,16.688
87.879,16.873
85.353,17.045
82.828,17.203
81.799,17.266
80.303,17.354
77.778,17.486
75.252,17.612
72.727,17.717
70.202,17.816
67.677,17.898
65.151,17.972
62.626,18.03
60.101,18.08
57.576,18.122
55.89,18.138
55.05,18.151
52.525,18.168
50.0,18.18

