#: table_doi: 10.17182/hepdata.91374.v1/t22
#: name: Figure 28d
#: description: Efficiency for the C1C1 higgsino process in the SR-E-low region.  Truth dilepton invariant mass is constrained to be within the range [0.5,60] GeV.
#: data_file: figure_28d.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Efficiency
100.0,40.0,0.50178
100.0,20.0,0.4006
101.5,1.5,0.0
102.0,2.0,0.0
103.0,3.0,0.0
105.0,5.0,0.2907
110.0,10.0,0.3137
110.0,30.0,0.36435
115.0,15.0,0.48907
120.0,20.0,0.40592
120.0,60.0,0.29769
120.0,40.0,0.46135
126.5,1.5,0.0
127.0,2.0,0.0
128.0,3.0,0.0
130.0,30.0,0.41828
130.0,5.0,0.0
135.0,10.0,0.61154
140.0,40.0,0.44565
140.0,15.0,0.53225
140.0,60.0,0.4164
145.0,20.0,0.44636
152.0,2.0,0.0
153.0,3.0,0.0
155.0,30.0,0.45597
155.0,5.0,0.0
160.0,60.0,0.4633
160.0,10.0,0.31845
165.0,40.0,0.45359
165.0,15.0,0.39396
170.0,20.0,0.39471
178.0,3.0,0.0
180.0,30.0,0.48534
180.0,5.0,0.0
185.0,10.0,0.086625
190.0,40.0,0.40209
190.0,15.0,0.62487
195.0,20.0,0.31029
202.0,2.0,0.0
203.0,3.0,0.0
205.0,5.0,0.0
210.0,10.0,0.52464
215.0,15.0,0.33036
220.0,20.0,0.34578
230.0,30.0,0.33015
230.0,5.0,0.0
235.0,10.0,0.0
240.0,40.0,0.44658
240.0,15.0,0.97991
252.0,2.0,0.0
253.0,3.0,0.0
255.0,5.0,0.0
260.0,10.0,0.23479
265.0,15.0,0.49242
270.0,20.0,0.44529
280.0,30.0,0.41876
290.0,40.0,0.48738
81.5,1.5,0.0
82.0,2.0,0.70798
83.0,3.0,0.0
85.0,5.0,0.79997
90.0,10.0,0.37098
95.0,15.0,0.48478

