#: table_doi: 10.17182/hepdata.91374.v1/t91
#: name: Figure 46ef
#: description: Observed and Expected upper cross-section limits for direct RH selectron scenarios.
#: data_file: figure_46ef.yaml
#: keyword reactions: P P --> SELECTRON SELECTRON
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\ell})$ [GeV],"$\Delta m(\tilde{\ell},\tilde{\chi}_{1}^{0})$ [GeV]",Observed 95% CL Upper Limit [fb]
100.0,40.0,0.91504
100.0,30.0,0.81631
100.0,20.0,0.35457
100.0,10.0,0.10448
100.0,5.0,0.11421
100.0,2.0,0.22624
100.0,1.0,0.6859
100.0,0.7,4.2342
100.0,0.5,8.928
125.0,20.0,0.24335
125.0,10.0,0.084178
125.0,5.0,0.076628
125.0,2.0,0.16598
125.0,1.0,0.41622
125.0,40.0,0.46042
125.0,30.0,0.57922
150.0,40.0,0.38859
150.0,30.0,0.34151
150.0,25.7,0.17863
150.0,20.0,0.12643
150.0,10.0,0.054862
150.0,5.0,0.045633
150.0,2.0,0.13552
175.0,40.0,0.24535
175.0,30.0,0.18848
175.0,20.0,0.12719
175.0,10.0,0.036416
175.0,5.0,0.059868
175.0,2.0,0.19326
175.0,1.0,0.47021
200.0,40.0,0.14221
200.0,30.0,0.091385
200.0,20.0,0.12575
200.0,10.0,0.043952
200.0,5.0,0.039158
200.0,2.0,0.1437
225.0,40.0,0.17032
225.0,30.0,0.10499
225.0,20.0,0.071141
225.0,10.0,0.037077
225.0,5.0,0.037229
225.0,2.0,0.066958
250.0,20.0,0.053811
250.0,10.0,0.030015
250.0,5.0,0.050225
250.0,2.0,0.18884
300.0,10.0,0.022031
300.0,5.0,0.025193
300.0,2.0,0.10288
50.0,5.0,0.56424
50.0,2.0,1.3553
50.0,1.0,2.5817
50.0,0.7,4.3342
50.0,0.5,7.1094
50.0,0.3,79.871
60.0,5.0,0.34637
60.0,2.0,0.79284
60.0,1.0,1.7194
60.0,0.7,2.7482
60.0,0.5,6.4623
70.0,5.0,0.20586
70.0,2.0,0.6199
70.0,1.0,1.0871
70.0,0.7,4.2075
70.0,0.5,13.433
90.0,40.0,1.4875
90.0,20.0,0.34461

$m(\tilde{\ell})$ [GeV],"$\Delta m(\tilde{\ell},\tilde{\chi}_{1}^{0})$ [GeV]",Expected 95% CL Upper Limit [fb]
100.0,40.0,0.8092
100.0,30.0,0.57521
100.0,20.0,0.3151
100.0,10.0,0.10998
100.0,5.0,0.10922
100.0,2.0,0.20007
100.0,1.0,0.80587
100.0,0.7,4.0504
100.0,0.5,8.9421
125.0,20.0,0.19526
125.0,10.0,0.083021
125.0,5.0,0.0766
125.0,2.0,0.16333
125.0,1.0,0.5296
125.0,40.0,0.36974
125.0,30.0,0.36886
150.0,40.0,0.33687
150.0,30.0,0.24865
150.0,25.7,0.1569
150.0,20.0,0.1261
150.0,10.0,0.053863
150.0,5.0,0.041843
150.0,2.0,0.13421
175.0,40.0,0.2717
175.0,30.0,0.13552
175.0,20.0,0.11344
175.0,10.0,0.037279
175.0,5.0,0.055192
175.0,2.0,0.17792
175.0,1.0,0.61624
200.0,40.0,0.12867
200.0,30.0,0.078561
200.0,20.0,0.079181
200.0,10.0,0.040987
200.0,5.0,0.034847
200.0,2.0,0.17385
225.0,40.0,0.13978
225.0,30.0,0.11081
225.0,20.0,0.057117
225.0,10.0,0.035471
225.0,5.0,0.03714
225.0,2.0,0.079253
250.0,20.0,0.043497
250.0,10.0,0.02995
250.0,5.0,0.043911
250.0,2.0,0.20776
300.0,10.0,0.022583
300.0,5.0,0.024285
300.0,2.0,0.12398
50.0,5.0,0.67841
50.0,2.0,1.1957
50.0,1.0,2.2417
50.0,0.7,4.6628
50.0,0.5,8.7308
50.0,0.3,92.484
60.0,5.0,0.37329
60.0,2.0,0.70599
60.0,1.0,1.6401
60.0,0.7,3.2004
60.0,0.5,8.148
70.0,5.0,0.22949
70.0,2.0,0.48214
70.0,1.0,1.043
70.0,0.7,5.1488
70.0,0.5,17.107
90.0,40.0,1.0655
90.0,20.0,0.34369

