#: table_doi: 10.17182/hepdata.91374.v1/t78
#: name: Figure 36f
#: description: Efficiency for the N2C1m VBF higgsino process in the SR-VBF region.  Truth dilepton invariant mass is constrained to be within the range [1,40] GeV.
#: data_file: figure_36f.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO JET JET
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Efficiency
40.0,2.0,0.30464
40.0,3.0,0.25592
40.0,5.0,0.2884
40.0,10.0,0.32178
40.0,20.0,0.40865
40.0,40.0,0.56542
60.0,2.0,0.47196
60.0,3.0,0.48602
60.0,5.0,0.44704
60.0,10.0,0.37646
60.0,20.0,0.37374
60.0,40.0,0.52347
80.0,2.0,0.45302
80.0,3.0,0.47759
80.0,5.0,0.45345
80.0,10.0,0.39177
80.0,20.0,0.43264
80.0,40.0,0.38502
120.0,2.0,0.38647
120.0,3.0,0.45331
120.0,5.0,0.48556
120.0,10.0,0.41294
120.0,20.0,0.39686
120.0,40.0,0.47354
100.0,2.0,0.40145
100.0,3.0,0.48572
100.0,5.0,0.44942

