#: table_doi: 10.17182/hepdata.91374.v1/t66
#: name: Figure 34f
#: description: Efficiency for the N2N1 VBF higgsino process in the SR-VBF region.  Truth dilepton invariant mass is constrained to be within the range [1,40] GeV.
#: data_file: figure_34f.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO JET JET
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Efficiency
40.0,2.0,0.40287
40.0,3.0,0.53103
40.0,5.0,0.48841
40.0,10.0,0.47583
40.0,20.0,0.45558
40.0,40.0,0.55075
60.0,2.0,0.46946
60.0,3.0,0.51208
60.0,5.0,0.43955
60.0,10.0,0.46225
60.0,20.0,0.46988
60.0,40.0,0.47425
80.0,2.0,0.49174
80.0,3.0,0.48664
80.0,5.0,0.47073
80.0,10.0,0.46142
80.0,20.0,0.44387
80.0,40.0,0.49122
120.0,2.0,0.37643
120.0,3.0,0.47022
120.0,5.0,0.48255
120.0,10.0,0.41835
120.0,20.0,0.43255
120.0,40.0,0.46616
100.0,2.0,0.4392
100.0,3.0,0.4708
100.0,5.0,0.46997

